gene_id	TCGA-BH-A18Q-01A-12R-A12D-07	gene_id	TCGA-BH-A18Q-11A-34R-A12D-07
ADAM11|4185	9.3191	ADAM11|4185	36.4436
ADAM12|8038	474.8491	ADAM12|8038	378.2595
ADAM15|8751	6558.6064	ADAM15|8751	2070.688
ADAM17|6868	817.5368	ADAM17|6868	810.8702
ADAM19|8728	175.368	ADAM19|8728	180.9614
lowly_expressed	lowly_expressed	ADAM21|8747	6.9117
ADAM22|53616	91.4963	ADAM22|53616	138.2344
lowly_expressed	lowly_expressed	ADAM23|8745	17.2793
ADAM28|10863	223.6577	ADAM28|10863	114.0434
ADAM32|203102	141.9041	ADAM32|203102	34.8728
ADAM33|80332	72.4346	ADAM33|80332	910.5906
ADAM6|8755	18107.1693	ADAM6|8755	60290.3801
ADAM8|101	158.0006	ADAM8|101	131.951
ADAM9|8754	1734.1946	ADAM9|8754	1733.5847
ADAMDEC1|27299	56.338	lowly_expressed	lowly_expressed
ADAMTS10|81794	141.4805	ADAMTS10|81794	114.3575
ADAMTS12|81792	70.7402	ADAMTS12|81792	138.8627
ADAMTS13|11093	17.3674	ADAMTS13|11093	104.3041
ADAMTS14|140766	29.6516	ADAMTS14|140766	5.3409
ADAMTS15|170689	41.5122	ADAMTS15|170689	220.5467
ADAMTS16|170690	30.9224	ADAMTS16|170690	86.7107
ADAMTS17|170691	169.0141	ADAMTS17|170691	64.4046
ADAMTS18|170692	114.3704	ADAMTS18|170692	124.0968
ADAMTS19|171019	47.8661	ADAMTS19|171019	6.5975
ADAMTS1|9510	1595.6793	ADAMTS1|9510	4869.6199
ADAMTS2|9509	155.0355	ADAMTS2|9509	299.7172
ADAMTS3|9508	38.1235	ADAMTS3|9508	147.0311
ADAMTS4|9507	1708.779	ADAMTS4|9507	168.7088
ADAMTS5|11096	343.9585	ADAMTS5|11096	3600.6912
ADAMTS6|11174	39.8179	ADAMTS6|11174	21.9918
ADAMTS7|11173	63.1155	ADAMTS7|11173	51.8379
ADAMTS8|11095	9.7427	ADAMTS8|11095	30.4744
ADAMTS9|56999	155.0355	ADAMTS9|56999	923.9711
ADAMTSL1|92949	78.3649	ADAMTSL1|92949	545.3974
ADAMTSL2|9719	65.2335	ADAMTSL2|9719	29.2177
ADAMTSL3|57188	340.9933	ADAMTSL3|57188	270.4995
ADAMTSL4|54507	221.1162	ADAMTSL4|54507	704.6811
ADAMTSL5|339366	5.9303	ADAMTSL5|339366	16.3368
ADAP1|11033	64.5854	ADAP1|11033	83.2328
ADAP2|55803	234.6712	ADAP2|55803	156.142
ADARB1|104	746.373	ADARB1|104	762.174
ADARB2|105	8.0483	lowly_expressed	lowly_expressed
ADAR|103	12348.618	ADAR|103	7403.393
ADAT1|23536	502.8063	ADAT1|23536	390.8263
ADAT2|134637	249.497	ADAT2|134637	238.1401
ADAT3|113179	26.2628	ADAT3|113179	18.2218
ADA|100	60.9976	ADA|100	38.0145
ADCK1|57143	114.794	ADCK1|57143	118.4417
ADCK2|90956	329.5563	ADCK2|90956	583.726
ADCK4|79934	680.2923	ADCK4|79934	447.0625
ADCK5|203054	158.4242	ADCK5|203054	71.0022
ADCY10|55811	5.5067	lowly_expressed	lowly_expressed
ADCY1|107	309.2238	ADCY1|107	368.8344
ADCY2|108	413.8515	ADCY2|108	209.8649
ADCY3|109	1234.1586	ADCY3|109	1232.9689
ADCY4|196883	123.6895	ADCY4|196883	524.6623
ADCY5|111	52.5257	ADCY5|111	450.5184
ADCY6|112	1131.8437	ADCY6|112	2781.3384
ADCY7|113	457.0581	ADCY7|113	418.7873
ADCY9|115	812.8773	ADCY9|115	889.7267
lowly_expressed	lowly_expressed	ADCYAP1R1|117	56.5504
ADCYAP1|116	27.9572	lowly_expressed	lowly_expressed
ADC|113451	174.0972	ADC|113451	196.6698
ADD1|118	3833.5275	ADD1|118	6847.9422
ADD2|119	279.5722	ADD2|119	58.7496
ADD3|120	1690.988	ADD3|120	3536.9149
ADH1A|124	7.6247	ADH1A|124	197.8071
ADH1B|125	898.0197	ADH1B|125	18424.7565
ADH1C|126	33.4639	ADH1C|126	418.4731
ADH4|127	22.4505	ADH4|127	95.8216
ADH5|128	1846.8707	ADH5|128	3011.3101
ADHFE1|137872	83.4481	ADHFE1|137872	285.5796
ADI1|55256	1513.9257	ADI1|55256	1286.5221
ADIPOQ|9370	600.6566	ADIPOQ|9370	10056.8646
ADIPOR1|51094	3906.8093	ADIPOR1|51094	1875.2749
ADIPOR2|79602	3497.6173	ADIPOR2|79602	2322.6516
ADK|132	318.9664	ADK|132	374.4895
ADM2|79924	528.6456	ADM2|79924	114.9859
ADM|133	63.5391	ADM|133	422.8715
ADNP2|22850	685.3754	ADNP2|22850	930.5686
ADNP|23394	4909.0331	ADNP|23394	3409.0481
ADORA1|134	640.898	ADORA1|134	224.6309
ADORA2A|135	114.3704	ADORA2A|135	60.7571
ADORA2B|136	40.2414	ADORA2B|136	86.0823
ADORA3|140	109.7109	ADORA3|140	45.5545
ADO|84890	603.6217	ADO|84890	622.0547
