gene_id	TCGA-BH-A1F0-01A-11R-A137-07	gene_id	TCGA-BH-A1F0-11B-23R-A137-07
AFF1|4299	2727.175	AFF1|4299	3497.246
AFF2|2334	33.1218	AFF2|2334	46.8176
AFF3|3899	222.3895	AFF3|3899	1583.8433
AFF4|27125	2307.1298	AFF4|27125	3029.3758
AFG3L1|172	154.6403	AFG3L1|172	228.5802
AFG3L2|10939	2098.088	AFG3L2|10939	1335.5814
AFMID|125061	320.4646	AFMID|125061	518.9718
lowly_expressed	lowly_expressed	AFP|174	99.1432
AFTPH|54812	2343.4778	AFTPH|54812	1693.0845
AG2|387763	339.1763	AG2|387763	686.0465
AGAP11|119385	27.96	AGAP11|119385	239.9051
AGAP1|116987	575.1156	AGAP1|116987	608.6291
AGAP2|116986	196.8685	AGAP2|116986	67.2093
AGAP3|116988	945.6931	AGAP3|116988	1128.825
AGAP4|119016	97.2148	AGAP4|119016	183.2925
AGAP5|729092	27.8761	AGAP5|729092	48.4302
AGAP6|414189	71.8357	AGAP6|414189	119.033
lowly_expressed	lowly_expressed	AGAP7|653268	6.12
AGAP8|728404	36.348	AGAP8|728404	48.6536
AGA|175	381.1162	AGA|175	577.1114
AGBL2|79841	6.4523	AGBL2|79841	9.4859
lowly_expressed	lowly_expressed	AGBL3|340351	8.2619
lowly_expressed	lowly_expressed	AGBL4|84871	7.0379
AGBL5|60509	531.4636	AGBL5|60509	761.6463
AGER|177	31.8314	AGER|177	26.6218
AGFG1|3267	2872.5669	AGFG1|3267	2019.5838
AGFG2|3268	413.5929	AGFG2|3268	577.4174
AGGF1|55109	636.6276	AGGF1|55109	985.6181
AGK|55750	648.4568	AGK|55750	522.0318
AGL|178	905.6888	AGL|178	947.0624
AGMAT|79814	36.5631	AGMAT|79814	9.7919
AGPAT1|10554	1616.7631	AGPAT1|10554	1582.0226
AGPAT2|10555	852.7799	AGPAT2|10555	2807.5275
AGPAT3|56894	1558.4471	AGPAT3|56894	1539.7797
AGPAT4|56895	403.2692	AGPAT4|56895	235.0061
AGPAT5|55326	1109.5817	AGPAT5|55326	633.4149
AGPAT6|137964	2063.0175	AGPAT6|137964	1935.4345
AGPAT9|84803	411.6572	AGPAT9|84803	531.8237
AGPHD1|123688	20.6474	AGPHD1|123688	69.1554
AGPS|8540	1631.5733	AGPS|8540	1055.9976
AGR2|10551	11.184	AGR2|10551	1061.5055
AGR3|155465	6.4523	AGR3|155465	390.1469
AGRN|375790	3272.61	AGRN|375790	3141.9829
AGTPBP1|23287	794.279	AGTPBP1|23287	435.7405
AGTR1|185	98.2901	AGTR1|185	477.6622
AGTRAP|57085	723.0885	AGTRAP|57085	516.8299
AGT|183	40.2194	AGT|183	36.1077
AGXT2L2|85007	348.9816	AGXT2L2|85007	493.9994
AHCTF1|25909	2112.9154	AHCTF1|25909	1713.8923
AHCYL1|10768	3123.5617	AHCYL1|10768	4003.978
AHCYL2|23382	760.0817	AHCYL2|23382	594.2472
AHCY|191	2650.1774	AHCY|191	1842.1053
AHDC1|27245	381.9766	AHDC1|27245	798.0416
AHI1|54806	3275.1909	AHI1|54806	386.4749
AHNAK2|113146	1530.4871	AHNAK2|113146	1403.3048
AHNAK|79026	32680.5033	AHNAK|79026	77645.6548
AHRR|57491	93.5584	AHRR|57491	10.4039
AHR|196	3631.3582	AHR|196	3058.4455
AHSA1|10598	1508.3342	AHSA1|10598	1326.1934
AHSA2|130872	273.7929	AHSA2|130872	426.5606
AICDA|57379	11.3991	lowly_expressed	lowly_expressed
AIDA|64853	1262.3336	AIDA|64853	1688.2007
AIF1L|83543	5354.9844	AIF1L|83543	2449.2044
AIF1|199	1277.7718	AIF1|199	411.8727
AIFM1|9131	1003.9789	AIFM1|9131	647.1848
AIFM2|84883	414.6682	AIFM2|84883	1223.6842
AIFM3|150209	31.8314	AIFM3|150209	8.7638
AIG1|51390	432.9498	AIG1|51390	996.022
AIM1|202	4868.9106	AIM1|202	3541.9217
AIM2|9447	216.1523	AIM2|9447	17.7479
AIMP1|9255	1709.8656	AIMP1|9255	1308.5312
AIMP2|7965	367.5191	AIMP2|7965	253.7882
AIP|9049	597.0534	AIP|9049	721.8482
AJAP1|55966	14.6252	AJAP1|55966	10.4039
AK1|203	378.7504	AK1|203	535.4957
AK2|204	3195.3974	AK2|204	2157.2827
AK3L1|205	846.1125	AK3L1|205	465.7283
AK3|50808	2106.4631	AK3|50808	2485.0061
AK5|26289	96.1394	AK5|26289	2883.4149
lowly_expressed	lowly_expressed	AK7|122481	25.0918
AKAP10|11216	690.1817	AKAP10|11216	531.8237
AKAP11|11215	2056.3501	AKAP11|11215	1850.9792
AKAP12|9590	1533.0681	AKAP12|9590	4816.4015
AKAP13|11214	3929.4548	AKAP13|11214	3474.6022
AKAP1|8165	1660.1785	AKAP1|8165	2911.5667
AKAP2|11217	1422.9853	AKAP2|11217	2237.1603
AKAP3|10566	41.5098	AKAP3|10566	56.6095
AKAP5|9495	133.5627	AKAP5|9495	79.8654
AKAP6|9472	185.1812	AKAP6|9472	213.8923
AKAP7|9465	232.4981	AKAP7|9465	252.448
AKAP8L|26993	462.6304	AKAP8L|26993	676.5606
AKAP8|10270	604.151	AKAP8|10270	775.3978
AKAP9|10142	2399.3978	AKAP9|10142	2422.8886
AKD1|221264	129.9064	AKD1|221264	149.0208
AKIRIN1|79647	1814.1736	AKIRIN1|79647	1910.9547
AKIRIN2|55122	765.4587	AKIRIN2|55122	813.6475
AKNA|80709	1422.7336	AKNA|80709	897.4908
AKR1A1|10327	1617.8084	AKR1A1|10327	1365.0551
AKR1B10|57016	15.4855	AKR1B10|57016	6.7319
AKR1B15|441282	19.3569	AKR1B15|441282	11.3219
AKR1B1|231	1413.7004	AKR1B1|231	825.5814
AKR1C1|1645	297.718	AKR1C1|1645	1553.2436
AKR1C2|1646	153.78	AKR1C2|1646	1917.0747
AKR1C3|8644	730.186	AKR1C3|8644	1401.1628
AKR1E2|83592	76.9459	AKR1E2|83592	29.6818
AKR7A2|8574	845.4673	AKR7A2|8574	894.7368
AKR7A3|22977	14.8403	AKR7A3|22977	87.8213
AKR7L|246181	9.2483	AKR7L|246181	14.6879
AKT1S1|84335	736.2082	AKT1S1|84335	742.6561
AKT1|207	2444.1338	AKT1|207	2661.8727
AKT2|208	2126.8954	AKT2|208	2510.7099
AKT3|10000	685.45	AKT3|10000	1270.1958
AKTIP|64400	578.6278	AKTIP|64400	807.4602
ALAD|210	734.2725	ALAD|210	2473.6842
ALAS1|211	1167.2223	ALAS1|211	889.2289
lowly_expressed	lowly_expressed	ALB|213	1011.3219
ALCAM|214	1052.1561	ALCAM|214	3083.5373
ALDH16A1|126133	351.6507	ALDH16A1|126133	408.2007
ALDH18A1|5832	2443.0584	ALDH18A1|5832	1177.1726
ALDH1A1|216	1173.4595	ALDH1A1|216	5086.2913
ALDH1A2|8854	115.2812	ALDH1A2|8854	379.74300000000005
ALDH1A3|220	7082.525	ALDH1A3|220	3355.9486
ALDH1B1|219	1703.1939	ALDH1B1|219	530.2938
ALDH1L1|10840	152.0594	ALDH1L1|10840	1083.5373
ALDH1L2|160428	1198.4084	ALDH1L2|160428	272.9498
ALDH2|217	2589.5258	ALDH2|217	10161.2607
ALDH3A1|218	9.8935	ALDH3A1|218	66.7075
ALDH3A2|224	3721.2604	ALDH3A2|224	2926.8666
ALDH3B1|221	366.0609	ALDH3B1|221	187.8825
ALDH3B2|222	223.2498	ALDH3B2|222	1649.0208
ALDH4A1|8659	276.3738	ALDH4A1|8659	1279.3758
ALDH5A1|7915	681.3636	ALDH5A1|7915	638.3109
ALDH6A1|4329	154.1435	ALDH6A1|4329	549.4308
ALDH7A1|501	852.1346	ALDH7A1|501	1627.295
ALDH8A1|64577	89.2569	ALDH8A1|64577	11.0159
ALDH9A1|223	5523.3896	ALDH9A1|223	3428.3966
ALDOA|226	11474.7822	ALDOA|226	11955.6304
ALDOC|230	316.8083	ALDOC|230	831.7013
ALG10B|144245	196.5803	ALG10B|144245	391.0649
ALG10|84920	121.7335	ALG10|84920	110.1591
ALG11|440138	24.9489	ALG11|440138	9.4859
ALG12|79087	270.9969	ALG12|79087	390.7589
ALG13|79868	354.4467	ALG13|79868	549.8776
ALG14|199857	164.5338	ALG14|199857	194.3084
ALG1L|200810	5.1812	ALG1L|200810	8.1059
ALG1|56052	644.0779	ALG1|56052	376.9951
ALG2|85365	843.9617	ALG2|85365	883.7209
ALG3|10195	1142.0583	ALG3|10195	387.0869
ALG5|29880	696.419	ALG5|29880	697.6744
ALG6|29929	664.8027	ALG6|29929	286.4137
ALG8|79053	922.0346	ALG8|79053	720.6242
ALG9|79796	601.1399	ALG9|79796	576.4994
ALKBH1|8846	184.53599999999997	ALKBH1|8846	240.5141
ALKBH2|121642	200.4517	ALKBH2|121642	247.24599999999998
ALKBH3|221120	361.9744	ALKBH3|221120	398.7148
ALKBH4|54784	189.2784	ALKBH4|54784	191.9553
ALKBH5|54890	2618.0665	ALKBH5|54890	2099.7277
ALKBH6|84964	94.6338	ALKBH6|84964	78.6414
ALKBH7|84266	154.4252	ALKBH7|84266	323.4394
ALKBH8|91801	306.4846	ALKBH8|91801	313.6475
ALK|238	31.4012	ALK|238	25.3978
ALMS1|7840	1172.5992	ALMS1|7840	662.1787
lowly_expressed	lowly_expressed	ALOX12P2|245	15.2999
lowly_expressed	lowly_expressed	ALOX12|239	5.2081
ALOX15B|247	166.8997	ALOX15B|247	100.9792
ALOX15|246	28.8203	ALOX15|246	9.7919
