gene_id	TCGA-BH-A1EO-01A-11R-A137-07	gene_id	TCGA-BH-A1EO-11A-31R-A137-07
ADM|133	78.9671	ADM|133	1638.9088
ADNP2|22850	624.8704	ADNP2|22850	417.0854
ADNP|23394	3207.8967	ADNP|23394	1617.1333
ADORA1|134	121.3118	ADORA1|134	118.4494
ADORA2A|135	266.0849	ADORA2A|135	90.2082
ADORA2B|136	18.3112	ADORA2B|136	54.3192
ADORA3|140	295.8406	ADORA3|140	147.8823
ADO|84890	634.026	ADO|84890	905.4798
ADPGK|83440	666.6428	ADPGK|83440	963.0079
ADPRHL1|113622	93.2728	ADPRHL1|113622	82.3163
ADPRHL2|54936	504.1308	ADPRHL2|54936	657.3343
ADPRH|141	407.4246	ADPRH|141	865.7574
lowly_expressed	lowly_expressed	ADRA1A|148	33.5008
ADRA1B|147	44.0614	ADRA1B|147	91.1701
lowly_expressed	lowly_expressed	ADRA1D|146	18.1862
ADRA2A|150	290.6906	ADRA2A|150	1130.8926
ADRA2B|151	5.15	ADRA2B|151	60.7801
ADRA2C|152	90.4116	ADRA2C|152	207.7052
ADRB1|153	6.2945	ADRB1|153	127.7818
ADRB2|154	52.6448	ADRB2|154	522.1345
ADRBK1|156	1311.5411	ADRBK1|156	1484.0871
ADRBK2|157	602.5536	ADRBK2|157	2271.3568
ADRM1|11047	656.915	ADRM1|11047	1243.1204
ADSL|158	696.3986	ADSL|158	992.8212
ADSSL1|122622	76.6782	ADSSL1|122622	149.5573
ADSS|159	2752.9774	ADSS|159	1032.783
AEBP1|165	27380.4227	AEBP1|165	11747.7866
AEBP2|121536	931.0111	AEBP2|121536	701.364
AEN|64782	365.6522	AEN|64782	334.2905
AES|166	4220.736	AES|166	7553.721
AFAP1L1|134265	330.7464	AFAP1L1|134265	1097.3917
AFAP1L2|84632	811.4159	AFAP1L2|84632	631.4908
AFAP1|60312	2427.9361	AFAP1|60312	1013.3955
AFF1|4299	2415.9365	AFF1|4299	2143.575
AFF2|2334	53.7892	AFF2|2334	70.3518
AFF3|3899	2962.4119	AFF3|3899	187.1261
AFF4|27125	5647.8667	AFF4|27125	1797.3199
AFG3L1|172	88.695	AFG3L1|172	110.7921
AFG3L2|10939	1072.5453	AFG3L2|10939	1128.4111
AFMID|125061	287.2573	AFMID|125061	277.8177
lowly_expressed	lowly_expressed	AFP|174	8.6145
AFTPH|54812	2109.7958	AFTPH|54812	1027.04
AG2|387763	196.8456	AG2|387763	2237.8559
AGAP11|119385	25.1779	AGAP11|119385	115.8172
AGAP1|116987	497.8363	AGAP1|116987	296.2431
AGAP2|116986	67.145	AGAP2|116986	62.558
AGAP3|116988	843.4605	AGAP3|116988	1166.7863
AGAP4|119016	67.5226	AGAP4|119016	81.1199
AGAP5|729092	12.589	AGAP5|729092	13.0653
AGAP6|414189	20.0279	AGAP6|414189	45.7047
AGAP8|728404	5.7223	AGAP8|728404	14.1182
AGA|175	632.3093	AGA|175	453.6971
lowly_expressed	lowly_expressed	AGBL3|340351	6.9395
AGBL4|84871	18.3112	lowly_expressed	lowly_expressed
AGBL5|60509	597.415	AGBL5|60509	500.3685
AGER|177	5.15	AGER|177	32.0651
AGFG1|3267	2025.6786	AGFG1|3267	2419.9569
AGFG2|3268	235.1847	AGFG2|3268	433.118
AGGF1|55109	1384.786	AGGF1|55109	887.5329
AGK|55750	489.8251	AGK|55750	380.2345
AGL|178	1957.0116	AGL|178	1083.2735
AGMAT|79814	22.889	AGMAT|79814	5.0251
AGPAT1|10554	2705.66	AGPAT1|10554	2092.0292
AGPAT2|10555	381.1022	AGPAT2|10555	5906.1977
AGPAT3|56894	2109.2236	AGPAT3|56894	1568.3178
AGPAT4|56895	361.6466	AGPAT4|56895	378.3202
AGPAT5|55326	695.8263	AGPAT5|55326	582.436
AGPAT6|137964	4169.8079	AGPAT6|137964	1741.0864
AGPAT9|84803	88.1227	AGPAT9|84803	200.5264
AGPHD1|123688	31.4724	AGPHD1|123688	57.6693
AGPS|8540	967.6335	AGPS|8540	1886.0972
AGR2|10551	4442.1873	AGR2|10551	9.3324
AGR3|155465	2098.3513	lowly_expressed	lowly_expressed
AGRN|375790	4426.7372	AGRN|375790	882.0292
AGTPBP1|23287	476.6639	AGTPBP1|23287	482.4121
AGTR1|185	128.7508	AGTR1|185	1270.1603
AGTRAP|57085	682.0929	AGTRAP|57085	767.4085
AGT|183	204.8568	AGT|183	84.2307
AGXT2L2|85007	223.9233	AGXT2L2|85007	683.6301
lowly_expressed	lowly_expressed	AGXT|189	5.2644
AHCTF1|25909	1875.1833	AHCTF1|25909	1070.1125
AHCYL1|10768	6127.3917	AHCYL1|10768	4689.6387
AHCYL2|23382	969.9224	AHCYL2|23382	525.006
AHCY|191	3391.0089	AHCY|191	1705.4319
AHDC1|27245	652.3372	AHDC1|27245	483.8478
AHI1|54806	278.6739	AHI1|54806	290.5001
AHNAK2|113146	2125.2459	AHNAK2|113146	1871.0218
AHNAK|79026	52859.912	AHNAK|79026	75764.7763
AHRR|57491	33.1891	AHRR|57491	34.2187
AHR|196	11321.4835	AHR|196	3572.1464
AHSA1|10598	1664.032	AHSA1|10598	1833.2137
AHSA2|130872	106.434	AHSA2|130872	138.7892
AIDA|64853	1549.0319	AIDA|64853	2789.6674
AIF1L|83543	142.4842	AIF1L|83543	3277.8177
AIF1|199	406.8524	AIF1|199	1759.2726
AIFM1|9131	813.7048	AIFM1|9131	904.044
AIFM2|84883	127.0341	AIFM2|84883	2535.0562
lowly_expressed	lowly_expressed	AIFM3|150209	14.0105
AIG1|51390	1003.1115	AIG1|51390	1064.848
AIM1L|55057	5.15	lowly_expressed	lowly_expressed
AIM1|202	2975.0009	AIM1|202	1398.1814
AIM2|9447	14.8779	AIM2|9447	17.7076
AIMP1|9255	904.1164	AIMP1|9255	972.8787
AIMP2|7965	346.5341	AIMP2|7965	390.4666
AIP|9049	426.3081	AIP|9049	1204.3551
AJAP1|55966	12.0167	AJAP1|55966	25.8435
AK1|203	274.0961	AK1|203	1144.5322
AK2|204	2294.0524	AK2|204	2093.3238
AK3L1|205	198.5623	AK3L1|205	426.6571
AK3|50808	1535.2813	AK3|50808	3381.1917
AK5|26289	116.1618	AK5|26289	12.2039
AK7|122481	12.589	AK7|122481	20.5791
AKAP10|11216	500.1252	AKAP10|11216	465.4223
AKAP11|11215	1977.0394	AKAP11|11215	1521.1773
AKAP12|9590	1705.2323	AKAP12|9590	6269.6817
AKAP13|11214	4232.7528	AKAP13|11214	3180.6652
AKAP1|8165	901.2553	AKAP1|8165	1570.95
AKAP2|11217	849.6692	AKAP2|11217	1646.1067
AKAP3|10566	8.0112	AKAP3|10566	13.161
AKAP5|9495	134.473	AKAP5|9495	13.4003
AKAP6|9472	107.5784	AKAP6|9472	63.6516
AKAP7|9465	167.0899	AKAP7|9465	295.7645
AKAP8L|26993	533.8865	AKAP8L|26993	481.2156
AKAP8|10270	438.3248	AKAP8|10270	424.5035
AKAP9|10142	3928.3287	AKAP9|10142	824.8385
AKD1|221264	203.7123	AKD1|221264	91.4094
AKIRIN1|79647	1277.2075	AKIRIN1|79647	1592.4862
AKIRIN2|55122	698.1152	AKIRIN2|55122	1116.5351
AKNA|80709	519.5808	AKNA|80709	728.4039
AKR1A1|10327	1789.3495	AKR1A1|10327	2101.9383
AKR1B10|57016	5.7223	lowly_expressed	lowly_expressed
AKR1B15|441282	19.4557	AKR1B15|441282	41.1582
AKR1B1|231	853.1884	AKR1B1|231	2049.2941
AKR1C1|1645	96.1339	AKR1C1|1645	12765.9727
AKR1C2|1646	60.6559	AKR1C2|1646	8114.3814
AKR1C3|8644	234.6125	AKR1C3|8644	5782.9624
AKR1E2|83592	12.589	AKR1E2|83592	42.1153
AKR7A2|8574	1050.6062	AKR7A2|8574	1295.286
AKR7A3|22977	477.8084	AKR7A3|22977	9.0931
AKR7L|246181	10.8723	lowly_expressed	lowly_expressed
AKT1S1|84335	821.716	AKT1S1|84335	849.4855
AKT1|207	2114.9458	AKT1|207	3209.1409
AKT2|208	2441.1144	AKT2|208	2716.2
AKT3|10000	1673.1877	lowly_expressed	lowly_expressed
AKTIP|64400	729.2901	AKTIP|64400	883.6683
ALAD|210	1963.8783	ALAD|210	3068.1981
ALAS1|211	910.9832	ALAS1|211	1284.0392
lowly_expressed	lowly_expressed	ALAS2|212	35.4152
ALCAM|214	7289.5819	ALCAM|214	1040.6796
ALDH16A1|126133	391.9745	ALDH16A1|126133	510.4092
ALDH18A1|5832	2333.536	ALDH18A1|5832	1167.2649
ALDH1A1|216	613.9981	ALDH1A1|216	4381.431
ALDH1A2|8854	88.695	ALDH1A2|8854	797.7985
ALDH1A3|220	790.0433	ALDH1A3|220	1449.2175
ALDH1B1|219	1256.6074	ALDH1B1|219	683.1778
ALDH1L1|10840	5.7223	ALDH1L1|10840	1510.4092
ALDH1L2|160428	1292.6576	ALDH1L2|160428	336.6834
ALDH2|217	1888.3445	ALDH2|217	27128.0211
lowly_expressed	lowly_expressed	ALDH3A1|218	18.4255
ALDH3A2|224	1560.4592	ALDH3A2|224	4078.0091
ALDH3B1|221	377.0967	ALDH3B1|221	371.8593
ALDH3B2|222	1887.2	lowly_expressed	lowly_expressed
ALDH4A1|8659	359.9299	ALDH4A1|8659	1937.3056
ALDH5A1|7915	640.8927	ALDH5A1|7915	476.4298
ALDH6A1|4329	350.4596	ALDH6A1|4329	508.5164
ALDH7A1|501	1134.7234	ALDH7A1|501	1082.5556
ALDH8A1|64577	6.2945	lowly_expressed	lowly_expressed
ALDH9A1|223	2922.3561	ALDH9A1|223	4001.9143
ALDOA|226	22173.742000000002	ALDOA|226	13414.6925
lowly_expressed	lowly_expressed	ALDOB|229	22.4934
