gene_id	TCGA-BH-A1FM-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FM-11B-23R-A13Q-07
AJAP1|55966	7.2497	AJAP1|55966	8.2436
AK1|203	108.3824	AK1|203	361.4991
AK2|204	2506.9325	AK2|204	2089.0008
AK3L1|205	956.5927	AK3L1|205	545.6072
AK3|50808	1219.7553	AK3|50808	2005.0378
AK5|26289	90.6208	AK5|26289	1286.0087
AK7|122481	58.7222	AK7|122481	59.8428
AKAP10|11216	511.101	AKAP10|11216	582.551
AKAP11|11215	3713.2759	AKAP11|11215	2595.8324
AKAP12|9590	709.0168	AKAP12|9590	4001.2213
AKAP13|11214	1765.6547	AKAP13|11214	3912.9837
AKAP1|8165	2421.024	AKAP1|8165	2600.1069
AKAP2|11217	255.4382	AKAP2|11217	2341.6106
AKAP3|10566	7.9746	AKAP3|10566	74.1928
AKAP5|9495	146.8056	AKAP5|9495	83.6577
AKAP6|9472	143.1808	AKAP6|9472	343.4852
AKAP7|9465	121.4318	AKAP7|9465	231.1274
AKAP8L|26993	183.7789	AKAP8L|26993	653.6906
AKAP8|10270	387.4943	AKAP8|10270	715.3652
AKAP9|10142	2432.6235	AKAP9|10142	3665.9797
AKD1|221264	113.0947	AKD1|221264	156.0186
AKIRIN1|79647	1385.4101	AKIRIN1|79647	1933.8982
AKIRIN2|55122	1383.9601	AKIRIN2|55122	663.1555
lowly_expressed	lowly_expressed	AKNAD1|254268	11.2968
AKNA|80709	79.7463	AKNA|80709	720.5557
AKR1A1|10327	974.3543	AKR1A1|10327	1083.8867
lowly_expressed	lowly_expressed	AKR1B15|441282	178.6123
AKR1B1|231	547.7118	AKR1B1|231	921.1511
AKR1C1|1645	36.9733	AKR1C1|1645	1846.5766
AKR1C2|1646	33.7109	AKR1C2|1646	1329.0589
AKR1C3|8644	85.546	AKR1C3|8644	1482.3296
lowly_expressed	lowly_expressed	AKR1D1|6718	57.0949
AKR1E2|83592	34.4359	AKR1E2|83592	31.7533
AKR7A2|8574	1083.0992	AKR7A2|8574	752.0037
AKR7A3|22977	270.7748	AKR7A3|22977	112.3578
AKR7L|246181	14.1368	AKR7L|246181	23.2043
AKT1S1|84335	1291.8894	AKT1S1|84335	636.2873
AKT1|207	1097.961	AKT1|207	2488.9703
AKT2|208	1080.5618	AKT2|208	2690.7870000000003
AKT3|10000	886.6334	AKT3|10000	1580.9479999999999
AKTIP|64400	1192.0399	AKTIP|64400	688.6711
ALAD|210	632.5329	ALAD|210	1845.9660000000001
ALAS1|211	557.1364	ALAS1|211	839.6306
ALB|213	7.9746	ALB|213	4031.448
ALCAM|214	2762.4829999999997	ALCAM|214	4012.2128
ALDH16A1|126133	195.0159	ALDH16A1|126133	286.6957
ALDH18A1|5832	2668.9624	ALDH18A1|5832	1321.4258
ALDH1A1|216	166.0172	ALDH1A1|216	3767.9566
ALDH1A2|8854	39.8731	ALDH1A2|8854	609.1138
ALDH1A3|220	318.4413	ALDH1A3|220	1732.1212
ALDH1B1|219	1009.5152	ALDH1B1|219	573.086
lowly_expressed	lowly_expressed	ALDH1L1|10840	833.5242
ALDH1L2|160428	855.8224	ALDH1L2|160428	274.7882
ALDH2|217	553.5116	ALDH2|217	7020.8381
lowly_expressed	lowly_expressed	ALDH3A1|218	79.0779
ALDH3A2|224	1712.0072	ALDH3A2|224	3256.8506
ALDH3B1|221	118.5319	ALDH3B1|221	168.2314
ALDH3B2|222	860.5347	ALDH3B2|222	1336.6919
ALDH4A1|8659	200.0906	ALDH4A1|8659	850.3168
ALDH5A1|7915	817.7617	ALDH5A1|7915	558.736
ALDH6A1|4329	400.0471	ALDH6A1|4329	853.7791
ALDH7A1|501	1058.0879	ALDH7A1|501	2253.5684
lowly_expressed	lowly_expressed	ALDH8A1|64577	9.7702
ALDH9A1|223	3496.5111	ALDH9A1|223	3052.2861
ALDOA|226	32741.6402	ALDOA|226	12535.2263
lowly_expressed	lowly_expressed	ALDOB|229	7.0224
ALDOC|230	563.6611	ALDOC|230	887.2605
ALG10B|144245	956.5927	ALG10B|144245	354.7821
ALG10|84920	376.2574	ALG10|84920	124.876
ALG11|440138	31.8985	ALG11|440138	13.1288
ALG12|79087	136.2936	ALG12|79087	407.6025
ALG13|79868	1265.4282	ALG13|79868	620.4107
ALG14|199857	481.7399	ALG14|199857	175.8644
ALG1L|200810	45.256	ALG1L|200810	9.5779
ALG1|56052	381.2125	ALG1|56052	348.694
ALG2|85365	992.841	ALG2|85365	811.2358
ALG3|10195	1218.3054	ALG3|10195	352.3395
ALG5|29880	1034.164	ALG5|29880	533.0891
ALG6|29929	623.1083	ALG6|29929	273.8722
ALG8|79053	2147.3493	ALG8|79053	620.1053
ALG9|79796	959.13	ALG9|79796	625.6011
ALKBH1|8846	235.2515	ALKBH1|8846	197.2369
ALKBH2|121642	130.8564	ALKBH2|121642	203.6486
ALKBH3|221120	335.2968	ALKBH3|221120	396.6109
ALKBH4|54784	91.5487	ALKBH4|54784	158.9497
ALKBH5|54890	1676.1214	ALKBH5|54890	2303.6715
ALKBH6|84964	93.5206	ALKBH6|84964	65.3385
ALKBH7|84266	125.4191	ALKBH7|84266	246.3934
ALKBH8|91801	487.5396	ALKBH8|91801	309.9
lowly_expressed	lowly_expressed	ALK|238	8.2436
ALMS1|7840	756.8645	ALMS1|7840	1142.2029
ALOX12B|242	5.0748	lowly_expressed	lowly_expressed
ALOX12P2|245	96.4205	ALOX12P2|245	24.1203
