gene_id	TCGA-E2-A1LB-01A-11R-A144-07	gene_id	TCGA-E2-A1LB-11A-22R-A144-07
AFAP1L1|134265	200.8312	AFAP1L1|134265	219.9918
AFAP1L2|84632	114.1188	AFAP1L2|84632	947.1528
AFAP1|60312	870.6998	AFAP1|60312	1829.111
AFF1|4299	2291.8117	AFF1|4299	2061.8599
AFF2|2334	8.9857	AFF2|2334	190.086
AFF3|3899	1562.1701	AFF3|3899	1869.3159
AFF4|27125	3351.2299	AFF4|27125	3913.56
AFG3L1|172	117.2638	AFG3L1|172	242.5236
AFG3L2|10939	2258.1242	AFG3L2|10939	1599.6108
AFMID|125061	7888.5769	AFMID|125061	556.739
lowly_expressed	lowly_expressed	AFP|174	36.8701
AFTPH|54812	1633.1574	AFTPH|54812	1632.9373
AG2|387763	200.3819	AG2|387763	80.295
AGAP11|119385	33.701	AGAP11|119385	70.4711
AGAP1|116987	707.6266	AGAP1|116987	618.1893
AGAP2|116986	140.0607	AGAP2|116986	83.1381
AGAP3|116988	644.7265	AGAP3|116988	1799.6723
AGAP4|119016	111.8724	AGAP4|119016	287.1774
AGAP5|729092	41.2355	AGAP5|729092	65.3994
AGAP6|414189	74.1323	AGAP6|414189	151.9869
AGAP7|653268	9.435	AGAP7|653268	7.374
AGAP8|728404	9.435	AGAP8|728404	18.0254
AGA|175	1236.8864	AGA|175	494.8791
AGBL2|79841	7.6379	AGBL2|79841	11.4707
lowly_expressed	lowly_expressed	AGBL3|340351	6.145
lowly_expressed	lowly_expressed	AGBL4|84871	7.374
AGBL5|60509	459.1801	AGBL5|60509	1008.6235
AGER|177	9.435	AGER|177	50.7989
AGFG1|3267	4287.0942	AGFG1|3267	1527.2429
AGFG2|3268	246.2091	AGFG2|3268	504.7112
AGGF1|55109	1125.4633	AGGF1|55109	979.1069
AGK|55750	370.6616	AGK|55750	586.2351
AGL|178	668.988	AGL|178	1311.7575
AGMAT|79814	9.435	AGMAT|79814	16.3867
AGPAT1|10554	1097.3739	AGPAT1|10554	1830.9914
AGPAT2|10555	1201.8421	AGPAT2|10555	271.61
AGPAT3|56894	2649.8933	AGPAT3|56894	2063.4986
AGPAT4|56895	84.9152	AGPAT4|56895	189.2667
AGPAT5|55326	326.1822	AGPAT5|55326	913.56
AGPAT6|137964	1200.4942	AGPAT6|137964	2211.3888
AGPAT9|84803	8.9857	AGPAT9|84803	74.5596
AGPHD1|123688	42.6822	AGPHD1|123688	63.0889
AGPS|8540	430.4167	AGPS|8540	859.8935
AGR2|10551	5597.6637	AGR2|10551	1497.7468
lowly_expressed	lowly_expressed	AGR3|155465	305.6125
AGRN|375790	1323.1495	AGRN|375790	7294.1417
AGTPBP1|23287	169.8304	AGTPBP1|23287	422.3679
AGTR1|185	21.1165	AGTR1|185	115.5264
AGTRAP|57085	1313.2652	AGTRAP|57085	617.7796
AGT|183	14.8265	AGT|183	9.4224
AGXT2L2|85007	379.7866	AGXT2L2|85007	400.8111
AHCTF1|25909	1130.4055	AHCTF1|25909	1535.846
AHCYL1|10768	7017.4099	AHCYL1|10768	3660.3851
AHCYL2|23382	326.1822	AHCYL2|23382	833.6747
AHCY|191	5118.724	AHCY|191	6467.0217
AHDC1|27245	779.0632	AHDC1|27245	2170.422
