gene_id	TCGA-BH-A0DP-01A-21R-A056-07	gene_id	TCGA-BH-A0DP-11A-12R-A089-07
ADCY3|109	792.6061	ADCY3|109	880.2002
ADCY4|196883	95.5851	ADCY4|196883	216.097
ADCY5|111	102.0146	ADCY5|111	386.7356
ADCY6|112	1390.4844	ADCY6|112	2444.5764
ADCY7|113	522.9318	ADCY7|113	226.6135
ADCY9|115	2278.1826	ADCY9|115	1101.8573
lowly_expressed	lowly_expressed	ADCYAP1R1|117	14.2482
ADCYAP1|116	12.4303	ADCYAP1|116	15.2659
ADC|113451	300.4715	ADC|113451	158.7652
ADD1|118	5050.5787	ADD1|118	6710.2027
ADD2|119	27.4325	ADD2|119	23.7469
ADD3|120	1039.4342	ADD3|120	2653.5493
lowly_expressed	lowly_expressed	ADH1A|124	27.4786
ADH1B|125	1000.8573	ADH1B|125	3032.8216
ADH1C|126	7.2868	ADH1C|126	131.9651
lowly_expressed	lowly_expressed	ADH4|127	12.2127
ADH5|128	1824.2606	ADH5|128	3164.7867
lowly_expressed	lowly_expressed	ADH7|131	37.3166
ADHFE1|137872	69.8671	ADHFE1|137872	199.8134
ADI1|55256	1603.5148	ADI1|55256	1485.5398
ADIPOQ|9370	1342.9061	ADIPOQ|9370	2863.54
ADIPOR1|51094	4817.8311	ADIPOR1|51094	2575.1845
ADIPOR2|79602	2015.4308	ADIPOR2|79602	2259.0111
ADK|132	621.5174	ADK|132	404.7155
ADM2|79924	176.168	ADM2|79924	51.2255
ADM|133	330.0471	ADM|133	155.712
ADNP2|22850	1035.1479	ADNP2|22850	846.069
ADNP|23394	2957.1367	ADNP|23394	3272.3264
ADORA1|134	149.5928	ADORA1|134	193.3678
ADORA2A|135	1031.6202	ADORA2A|135	46.1369
ADORA2B|136	92.156	ADORA2B|136	90.9168
ADORA3|140	311.1873	ADORA3|140	88.5421
ADO|84890	602.6575	ADO|84890	573.3186
ADPGK|83440	706.8367	ADPGK|83440	829.263
