gene_id	TCGA-BH-A1FN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FN-11A-34R-A13Q-07
ALDH1A1|216	48.6232	ALDH1A1|216	4287.8883
ALDH1A2|8854	28.6877	ALDH1A2|8854	560.2802
ALDH1A3|220	479.1674	ALDH1A3|220	2073.5069
ALDH1B1|219	1320.6070000000002	ALDH1B1|219	523.6587
ALDH1L1|10840	5.8348	ALDH1L1|10840	74.6848
ALDH1L2|160428	346.1974	ALDH1L2|160428	290.9536
ALDH2|217	534.8556	ALDH2|217	1804.5464
lowly_expressed	lowly_expressed	ALDH3A1|218	31.4311
ALDH3A2|224	2197.2839	ALDH3A2|224	1787.8216
ALDH3B1|221	119.6132	ALDH3B1|221	178.7822
ALDH3B2|222	1053.6655	ALDH3B2|222	228.6682
ALDH4A1|8659	252.8408	ALDH4A1|8659	282.5912
ALDH5A1|7915	297.08799999999997	ALDH5A1|7915	535.1931
ALDH6A1|4329	576.0638	ALDH6A1|4329	271.6624
ALDH7A1|501	1203.9113	ALDH7A1|501	2002.9369
ALDH8A1|64577	241.1712	ALDH8A1|64577	10.9576
ALDH9A1|223	3429.3966	ALDH9A1|223	3418.7763
ALDOA|226	60862.1872	ALDOA|226	7248.4632
ALDOC|230	221.7219	ALDOC|230	733.0069
ALG10B|144245	362.2431	ALG10B|144245	389.5721
ALG10|84920	108.916	ALG10|84920	77.5684
ALG11|440138	31.6051	ALG11|440138	9.5158
ALG12|79087	421.0772	ALG12|79087	363.6198
ALG13|79868	297.5742	ALG13|79868	484.1536
ALG14|199857	115.2371	ALG14|199857	194.3535
ALG1L|200810	36.9634	lowly_expressed	lowly_expressed
ALG1|56052	484.2485	ALG1|56052	385.5581
ALG2|85365	761.9261	ALG2|85365	1111.6213
ALG3|10195	1021.5741	ALG3|10195	741.3693
ALG5|29880	429.3431	ALG5|29880	830.472
ALG6|29929	636.4781	ALG6|29929	340.8395
ALG8|79053	724.4862	ALG8|79053	850.6571
ALG9|79796	621.8912	ALG9|79796	662.3591
ALKBH1|8846	317.9959	ALKBH1|8846	321.5195
ALKBH2|121642	178.4473	ALKBH2|121642	258.9458
ALKBH3|221120	349.601	ALKBH3|221120	394.1858
ALKBH4|54784	131.555	ALKBH4|54784	174.9528
ALKBH5|54890	3389.9632	ALKBH5|54890	2584.5413
ALKBH6|84964	90.9254	ALKBH6|84964	44.1188
ALKBH7|84266	232.9053	ALKBH7|84266	247.1231
ALKBH8|91801	157.053	ALKBH8|91801	358.4294
lowly_expressed	lowly_expressed	ALK|238	8.9391
ALMS1|7840	722.5412	ALMS1|7840	616.7985
ALOX12B|242	6.321000000000001	lowly_expressed	lowly_expressed
ALOX12P2|245	23.8254	ALOX12P2|245	8.9391
ALOX15B|247	150.732	ALOX15B|247	659.4755
ALOX15|246	46.1921	ALOX15|246	6.0555
ALOX5AP|241	327.7206	ALOX5AP|241	853.2523
ALOX5|240	178.4473	ALOX5|240	764.1496
ALOXE3|59344	35.495	ALOXE3|59344	18.7433
ALPK1|80216	277.1524	ALPK1|80216	770.4934
ALPK2|115701	130.3103	ALPK2|115701	7.209
