gene_id	TCGA-BH-A1EV-01A-11R-A137-07	gene_id	TCGA-BH-A1EV-11A-24R-A137-07
ADAP2|55803	247.5987	ADAP2|55803	430.224
ADARB1|104	754.4387	ADARB1|104	723.3571
ADARB2|105	8.926	lowly_expressed	lowly_expressed
ADAR|103	10719.317	ADAR|103	8092.5425
ADAT1|23536	319.7827	ADAT1|23536	378.2919
ADAT2|134637	41.9133	ADAT2|134637	200.0984
ADAT3|113179	42.3013	ADAT3|113179	12.5523
ADA|100	138.5466	ADA|100	72.1142
ADCK1|57143	162.2199	ADCK1|57143	121.585
ADCK2|90956	438.5951	ADCK2|90956	480.1871
ADCK4|79934	868.924	ADCK4|79934	330.0517
ADCK5|203054	220.8208	ADCK5|203054	35.934
ADCY10|55811	5.0451	lowly_expressed	lowly_expressed
ADCY1|107	176.579	ADCY1|107	392.8132
ADCY2|108	36.4801	ADCY2|108	231.8484
ADCY3|109	304.7638	ADCY3|109	1251.0534
ADCY4|196883	67.5269	ADCY4|196883	381.4915
ADCY5|111	202.1927	ADCY5|111	347.0342
ADCY6|112	2049.869	ADCY6|112	2505.2917
ADCY7|113	524.692	ADCY7|113	606.4484
lowly_expressed	lowly_expressed	ADCY8|114	6.3992
ADCY9|115	1345.1053	ADCY9|115	844.696
lowly_expressed	lowly_expressed	ADCYAP1R1|117	36.9185
lowly_expressed	lowly_expressed	ADCYAP1|116	103.618
ADC|113451	143.2036	ADC|113451	84.9126
ADD1|118	4396.2356	ADD1|118	5756.8299
ADD2|119	25.6137	ADD2|119	74.5754
ADD3|120	5607.8393	ADD3|120	5533.1036
lowly_expressed	lowly_expressed	ADH1A|124	185.6387
lowly_expressed	lowly_expressed	ADH1B|125	32367.9547
lowly_expressed	lowly_expressed	ADH1C|126	437.8538
lowly_expressed	lowly_expressed	ADH4|127	298.794
ADH5|128	1482.0995	ADH5|128	3903.0273
ADHFE1|137872	77.2291	ADHFE1|137872	235.7864
ADI1|55256	1577.9567	ADI1|55256	1796.2097
lowly_expressed	lowly_expressed	ADIPOQ|9370	27066.4534
ADIPOR1|51094	5533.3269	ADIPOR1|51094	2316.5149
ADIPOR2|79602	2248.957	ADIPOR2|79602	3167.6101
ADK|132	394.2951	ADK|132	486.8324
ADM2|79924	1171.2428	ADM2|79924	81.4669
ADM|133	171.5339	ADM|133	410.288
ADNP2|22850	664.7909	ADNP2|22850	968.0039
ADNP|23394	3701.9501	ADNP|23394	3560.6695
ADORA1|134	50.4511	ADORA1|134	126.2614
ADORA2A|135	88.4836	ADORA2A|135	38.6316
ADORA2B|136	19.0162	ADORA2B|136	207.9744
ADORA3|140	290.6762	ADORA3|140	155.304
ADO|84890	617.4445	ADO|84890	757.8144
ADPGK|83440	773.7266	ADPGK|83440	884.5188
ADPRHL1|113622	187.8335	ADPRHL1|113622	44.3022
ADPRHL2|54936	1413.0203	ADPRHL2|54936	364.7551
ADPRH|141	325.604	ADPRH|141	480.4332
lowly_expressed	lowly_expressed	ADRA1A|148	9.3527
ADRA1B|147	14.3592	ADRA1B|147	16.4903
lowly_expressed	lowly_expressed	ADRA1D|146	5.907
ADRA2A|150	199.088	ADRA2A|150	1097.2188
ADRA2B|151	17.4639	ADRA2B|151	23.6279
ADRA2C|152	62.0937	ADRA2C|152	28.7965
lowly_expressed	lowly_expressed	ADRB1|153	91.558
ADRB2|154	42.6894	ADRB2|154	307.1622
ADRBK1|156	1089.7448	ADRBK1|156	1097.9572
ADRBK2|157	965.1693	ADRBK2|157	3196.1605
