gene_id	TCGA-E9-A1N9-01A-11R-A14D-07	gene_id	TCGA-E9-A1N9-11A-71R-A14D-07
ADRA2B|151	19.5508	ADRA2B|151	29.744
ADRA2C|152	88.2059	ADRA2C|152	42.5452
lowly_expressed	lowly_expressed	ADRB1|153	45.5572
ADRB2|154	34.1002	ADRB2|154	395.7078
lowly_expressed	lowly_expressed	ADRB3|155	7.5301
ADRBK1|156	1213.9674	ADRBK1|156	1494.3524
ADRBK2|157	685.1869	ADRBK2|157	1181.4759
ADRM1|11047	1011.1849	ADRM1|11047	1126.506
ADSL|158	691.5522	ADSL|158	661.1446
ADSSL1|122622	126.3981	ADSSL1|122622	134.7892
ADSS|159	3206.329	ADSS|159	1122.741
AEBP1|165	12564.7904	AEBP1|165	6867.4699
AEBP2|121536	721.5604	AEBP2|121536	733.8102
AEN|64782	244.1575	AEN|64782	541.4157
AES|166	6437.2101	AES|166	5642.3193
AFAP1L1|134265	328.2713	AFAP1L1|134265	601.6566
AFAP1L2|84632	352.3688	AFAP1L2|84632	772.2139
AFAP1|60312	1973.2427	AFAP1|60312	1195.7492
lowly_expressed	lowly_expressed	AFARP1|246182	6.4006
AFF1|4299	2417.9322	AFF1|4299	3223.6446
AFF2|2334	130.4901	AFF2|2334	55.7229
AFF3|3899	4186.1417	AFF3|3899	2198.0422
AFF4|27125	4162.9535	AFF4|27125	4693.1476
AFG3L1|172	175.9571	AFG3L1|172	341.8675
AFG3L2|10939	1932.0678	AFG3L2|10939	1618.5693
AFMID|125061	436.9373	AFMID|125061	4572.6657
AFP|174	15.4588	AFP|174	48.9458
AFTPH|54812	2772.5743	AFTPH|54812	1653.991
AG2|387763	102.3006	AG2|387763	283.1325
AGAP11|119385	65.9271	AGAP11|119385	232.3343
AGAP1|116987	320.542	AGAP1|116987	560.994
AGAP2|116986	60.4347	AGAP2|116986	109.68
AGAP3|116988	1186.2326	AGAP3|116988	1421.6867
AGAP4|119016	160.4983	AGAP4|119016	251.1295
AGAP5|729092	46.3035	AGAP5|729092	116.3479
AGAP6|414189	90.4792	AGAP6|414189	120.4819
AGAP7|653268	6.3654	AGAP7|653268	8.6596
AGAP8|728404	41.3749	AGAP8|728404	52.3343
AGA|175	981.6314	AGA|175	869.7289
AGBL2|79841	13.1854	AGBL2|79841	16.9428
AGBL3|340351	15.9134	lowly_expressed	lowly_expressed
AGBL4|84871	54.1057	lowly_expressed	lowly_expressed
AGBL5|60509	703.3873	AGBL5|60509	617.4887
AGER|177	21.8241	AGER|177	39.5331
AGFG1|3267	1196.69	AGFG1|3267	1909.6386
AGFG2|3268	171.4104	AGFG2|3268	486.0693
AGGF1|55109	1257.6157	AGGF1|55109	843.3735
AGK|55750	467.4002	AGK|55750	503.012
AGL|178	1424.4794	AGL|178	1033.1325
AGMAT|79814	97.2993	AGMAT|79814	9.0361
AGPAT1|10554	1845.9625	AGPAT1|10554	1289.2018
AGPAT2|10555	239.1561	AGPAT2|10555	2190.8886
AGPAT3|56894	2479.7672	AGPAT3|56894	4038.7801
AGPAT4|56895	95.4806	AGPAT4|56895	228.9157
AGPAT5|55326	464.2175	AGPAT5|55326	823.7952
AGPAT6|137964	607.8931	AGPAT6|137964	1500.753
AGPAT9|84803	45.4669	AGPAT9|84803	135.5422
AGPHD1|123688	30.0082	AGPHD1|123688	54.5934
AGPS|8540	417.8412	AGPS|8540	803.4639
AGR2|10551	215.968	AGR2|10551	176.5813
AGR3|155465	26.8255	AGR3|155465	57.6054
AGRN|375790	3226.3345	AGRN|375790	2787.2741
AGTPBP1|23287	523.7792	AGTPBP1|23287	446.5361
AGTR1|185	89.1152	AGTR1|185	279.3675
AGTRAP|57085	656.088	AGTRAP|57085	856.9277
AGT|183	52.7417	AGT|183	32.003
AGXT2L2|85007	142.9162	AGXT2L2|85007	658.125
AHCTF1|25909	2655.7243	AHCTF1|25909	1569.2771
AHCYL1|10768	2944.4394	AHCYL1|10768	4171.6867
AHCYL2|23382	690.1882	AHCYL2|23382	690.512
AHCY|191	6308.5387	AHCY|191	3138.1777
AHDC1|27245	514.6858	AHDC1|27245	1264.3072
AHI1|54806	548.786	AHI1|54806	461.2199
AHNAK2|113146	450.1228	AHNAK2|113146	1166.7922
AHNAK|79026	33933.3455	AHNAK|79026	113989.8343
AHRR|57491	38.6469	AHRR|57491	10.5422
AHR|196	1324.9068	AHR|196	3064.759
AHSA1|10598	2446.5763	AHSA1|10598	1546.6867
AHSA2|130872	147.7676	AHSA2|130872	576.4307
AIDA|64853	1294.9259	AIDA|64853	844.6122
AIF1L|83543	3889.6972	AIF1L|83543	2154.744
AIF1|199	270.983	AIF1|199	210.8434
AIFM1|9131	1056.6518	AIFM1|9131	1295.9337
AIFM2|84883	475.1296	AIFM2|84883	1013.9307
lowly_expressed	lowly_expressed	AIFM3|150209	9.4127
AIG1|51390	915.7043	AIG1|51390	676.9578
AIM1L|55057	63.6537	lowly_expressed	lowly_expressed
AIM1|202	4404.8377	AIM1|202	5171.3102
AIM2|9447	15.9134	lowly_expressed	lowly_expressed
AIMP1|9255	1269.819	AIMP1|9255	863.4789
AIMP2|7965	362.4989	AIMP2|7965	209.9096
AIP|9049	801.5822	AIP|9049	617.4699
lowly_expressed	lowly_expressed	AJAP1|55966	8.2831
AK1|203	260.5256	AK1|203	429.9699
AK2|204	1459.0343	AK2|204	1832.0783
AK3L1|205	507.8658	AK3L1|205	868.2229
AK3|50808	750.2046	AK3|50808	1356.9277
AK5|26289	264.6176	AK5|26289	1744.7289
AK7|122481	27.2802	AK7|122481	39.1566
AKAP10|11216	961.6259	AKAP10|11216	633.2831
AKAP11|11215	1396.7446	AKAP11|11215	2177.3343
AKAP12|9590	816.5863	AKAP12|9590	3681.4759
AKAP13|11214	3395.9262	AKAP13|11214	3984.9398
AKAP1|8165	1838.6833	AKAP1|8165	2780.1205
AKAP2|11217	633.1954	AKAP2|11217	1877.0181
AKAP3|10566	64.1084	AKAP3|10566	46.6867
AKAP5|9495	193.6892	AKAP5|9495	42.9217
AKAP6|9472	35.4642	AKAP6|9472	238.7048
AKAP7|9465	145.0396	AKAP7|9465	175.8283
AKAP8L|26993	1193.0527	AKAP8L|26993	823.7952
AKAP8|10270	996.1808	AKAP8|10270	798.9458
AKAP9|10142	2447.4857	AKAP9|10142	3268.4488
AKD1|221264	460.1255	AKD1|221264	140.4367
AKIRIN1|79647	2285.1687	AKIRIN1|79647	1156.6265
AKIRIN2|55122	737.9285	AKIRIN2|55122	516.1898
AKNA|80709	648.3586	AKNA|80709	753.012
AKR1A1|10327	1353.551	AKR1A1|10327	5503.3886
lowly_expressed	lowly_expressed	AKR1B10|57016	6.7771
lowly_expressed	lowly_expressed	AKR1B15|441282	899.8494
AKR1B1|231	449.6681	AKR1B1|231	1349.0211
AKR1C1|1645	42.7389	AKR1C1|1645	4096.9616
AKR1C2|1646	38.6469	AKR1C2|1646	3335.8434
AKR1C3|8644	160.0436	AKR1C3|8644	1422.4398
lowly_expressed	lowly_expressed	AKR1D1|6718	1335.0904
AKR1E2|83592	146.4036	AKR1E2|83592	70.9601
AKR7A2|8574	484.6776	AKR7A2|8574	694.6536
AKR7A3|22977	12.2761	AKR7A3|22977	141.9428
lowly_expressed	lowly_expressed	AKR7L|246181	13.5542
AKT1S1|84335	982.9954	AKT1S1|84335	785.3916
AKT1|207	4217.9685	AKT1|207	2979.2922
AKT2|208	1902.3370000000002	AKT2|208	2632.9066
AKT3|10000	587.8876	AKT3|10000	1145.3313
AKTIP|64400	721.9242	AKTIP|64400	565.8208
ALAD|210	1263.5264	ALAD|210	2147.2139
ALAS1|211	798.3996	ALAS1|211	855.4217
ALB|213	210.512	ALB|213	622.741
ALCAM|214	3016.7318	ALCAM|214	12193.5241
ALDH16A1|126133	834.3185	ALDH16A1|126133	593.3735
ALDH18A1|5832	4022.006	ALDH18A1|5832	1583.9608
ALDH1A1|216	495.5897	ALDH1A1|216	3533.1325
ALDH1A2|8854	47.7403	ALDH1A2|8854	408.1325
ALDH1A3|220	631.9996	ALDH1A3|220	4015.3765
ALDH1B1|219	529.6899	ALDH1B1|219	322.6657
ALDH1L1|10840	25.4615	ALDH1L1|10840	606.1747
ALDH1L2|160428	334.18199999999996	ALDH1L2|160428	241.3404
ALDH2|217	1371.7377	ALDH2|217	7246.988
lowly_expressed	lowly_expressed	ALDH3A1|218	39.9096
ALDH3A2|224	2138.3104	ALDH3A2|224	2292.1687
ALDH3B1|221	62.2897	ALDH3B1|221	144.5783
ALDH3B2|222	3403.6555	ALDH3B2|222	16754.5181
ALDH4A1|8659	682.9135	ALDH4A1|8659	3615.9639
ALDH5A1|7915	678.3668	ALDH5A1|7915	602.0331
ALDH6A1|4329	340.8521	ALDH6A1|4329	904.8532
ALDH7A1|501	2066.9273	ALDH7A1|501	2181.0994
ALDH8A1|64577	6.3654	ALDH8A1|64577	7.1536
ALDH9A1|223	2775.757	ALDH9A1|223	2716.491
ALDOA|226	17395.1987	ALDOA|226	16893.4488
lowly_expressed	lowly_expressed	ALDOB|229	6.4006
ALDOC|230	49.559	ALDOC|230	778.9910000000001
ALG10B|144245	169.137	ALG10B|144245	287.2741
ALG10|84920	120.0327	ALG10|84920	132.5301
ALG11|440138	14.5494	ALG11|440138	13.9307
ALG12|79087	423.7519	ALG12|79087	423.5693
ALG13|79868	446.4854	ALG13|79868	548.5693
ALG14|199857	104.1193	ALG14|199857	175.0753
ALG1L|200810	28.9488	lowly_expressed	lowly_expressed
ALG1|56052	314.6085	ALG1|56052	437.4661
ALG2|85365	600.1637	ALG2|85365	773.3434
ALG3|10195	584.2503	lowly_expressed	lowly_expressed
ALG5|29880	549.2407	ALG5|29880	637.4247
ALG6|29929	802.9463	ALG6|29929	324.1717
ALG8|79053	735.2005	ALG8|79053	867.4699
ALG9|79796	497.4084	ALG9|79796	619.7289
ALKBH1|8846	249.1589	ALKBH1|8846	300.0753
ALKBH2|121642	256.8882	ALKBH2|121642	202.1837
ALKBH3|221120	99.5726	ALKBH3|221120	300.4518
ALKBH4|54784	196.6764	ALKBH4|54784	161.2613
ALKBH5|54890	1492.2252	ALKBH5|54890	1794.4277
ALKBH6|84964	61.835	ALKBH6|84964	94.1265
ALKBH7|84266	361.4622	ALKBH7|84266	303.8404
ALKBH8|91801	222.78799999999998	ALKBH8|91801	235.6928
ALK|238	5.456	ALK|238	21.8373
ALMS1P|200420	5.456	lowly_expressed	lowly_expressed
