gene_id	TCGA-BH-A18U-01A-21R-A12D-07	gene_id	TCGA-BH-A18U-11A-23R-A12D-07
ALDH1A2|8854	13.0144	ALDH1A2|8854	187.2642
ALDH1A3|220	116.7147	ALDH1A3|220	3821.9104
ALDH1B1|219	1304.6078	ALDH1B1|219	725.4717
lowly_expressed	lowly_expressed	ALDH1L1|10840	305.1887
ALDH1L2|160428	288.7795	ALDH1L2|160428	267.4528
ALDH2|217	1011.6075	ALDH2|217	3663.6792
lowly_expressed	lowly_expressed	ALDH3A1|218	58.4906
ALDH3A2|224	2443.5456	ALDH3A2|224	2204.2453
ALDH3B1|221	130.1442	ALDH3B1|221	192.9245
ALDH3B2|222	7075.2726	ALDH3B2|222	975.9434
ALDH4A1|8659	743.2289999999999	ALDH4A1|8659	796.2264
ALDH5A1|7915	864.2279	ALDH5A1|7915	618.3962
ALDH6A1|4329	249.40200000000002	ALDH6A1|4329	458.0377
ALDH7A1|501	1284.5586	ALDH7A1|501	2480.1887
ALDH8A1|64577	25.3254	ALDH8A1|64577	24.5283
ALDH9A1|223	3521.6321	ALDH9A1|223	3197.1698
ALDOA|226	80493.8445	ALDOA|226	13632.0755
lowly_expressed	lowly_expressed	ALDOB|229	5.1887
ALDOC|230	2309.5322	ALDOC|230	1087.2642
ALG10B|144245	598.3116	ALG10B|144245	327.3585
ALG10|84920	193.1059	ALG10|84920	97.1698
ALG11|440138	11.9592	ALG11|440138	10.8491
ALG12|79087	894.4777	ALG12|79087	375.9434
ALG13|79868	687.3021	ALG13|79868	539.6226
ALG14|199857	135.4203	ALG14|199857	163.6792
ALG1L|200810	67.1157	ALG1L|200810	9.2736
ALG1|56052	598.0338	ALG1|56052	398.7028
ALG2|85365	816.0394	ALG2|85365	911.3208
ALG3|10195	1534.2948	ALG3|10195	490.566
ALG5|29880	433.3451	ALG5|29880	501.8868
ALG6|29929	298.98	ALG6|29929	277.3585
ALG8|79053	2456.9117	ALG8|79053	661.7925
ALG9|79796	862.4692	ALG9|79796	589.1509
ALKBH1|8846	252.9019	ALKBH1|8846	203.3019
ALKBH2|121642	362.6451	ALKBH2|121642	276.4151
ALKBH3|221120	193.8094	ALKBH3|221120	340.566
ALKBH4|54784	204.2279	ALKBH4|54784	154.5943
ALKBH5|54890	3589.1171	ALKBH5|54890	1871.6981
