gene_id	TCGA-A7-A0CE-01A-11R-A00Z-07	gene_id	TCGA-A7-A0CE-11A-21R-A089-07
AES|166	6995.8471	AES|166	8663.4921
AFAP1L1|134265	157.9795	AFAP1L1|134265	245.0794
AFAP1L2|84632	96.2793	AFAP1L2|84632	1119.6825
AFAP1|60312	1344.8123	AFAP1|60312	1032.6794
AFF1|4299	1244.8513	AFF1|4299	1631.746
AFF2|2334	22.7138	AFF2|2334	21.5873
AFF3|3899	434.9521	AFF3|3899	2145.3968
AFF4|27125	3231.7993	AFF4|27125	2418.0952
AFG3L1|172	174.2521	AFG3L1|172	293.0159
AFG3L2|10939	3521.9358	AFG3L2|10939	1499.8984
AFMID|125061	435.2911	AFMID|125061	609.2063
lowly_expressed	lowly_expressed	AFP|174	43.4921
AFTPH|54812	1142.1307	AFTPH|54812	1315.2381
AG2|387763	80.3458	AG2|387763	420.6349
AGAP11|119385	16.615	AGAP11|119385	99.0508
AGAP1|116987	257.988	AGAP1|116987	448.254
AGAP2|116986	52.3536	AGAP2|116986	81.7937
AGAP3|116988	1688.9567	AGAP3|116988	1468.8889
AGAP4|119016	150.8602	AGAP4|119016	324.4444
AGAP5|729092	20.3712	AGAP5|729092	50.5556
AGAP6|414189	98.9914	AGAP6|414189	146.9841
lowly_expressed	lowly_expressed	AGAP7|653268	8.5714
AGAP8|728404	39.6644	AGAP8|728404	20.3175
AGA|175	265.4462	AGA|175	519.0476
lowly_expressed	lowly_expressed	AGBL2|79841	18.4127
AGBL3|340351	6.4412	AGBL3|340351	5.7143
lowly_expressed	lowly_expressed	AGBL4|84871	10.7937
AGBL5|60509	1180.8153	AGBL5|60509	825.1683
AGER|177	25.4259	AGER|177	65.7143
AGFG1|3267	972.6248	AGFG1|3267	1207.619
AGFG2|3268	305.7886	lowly_expressed	lowly_expressed
AGGF1|55109	1278.0744	AGGF1|55109	894.2857
AGK|55750	937.0286	AGK|55750	550.4762
AGL|178	1283.4986	AGL|178	699.3651
AGMAT|79814	81.7018	AGMAT|79814	28.8889
AGPAT1|10554	2883.919	AGPAT1|10554	1947.2825
