gene_id	TCGA-BH-A0HK-01A-11R-A056-07	gene_id	TCGA-BH-A0HK-11A-11R-A089-07
ADNP2|22850	474.1834	ADNP2|22850	719.1639
ADNP|23394	2997.8925	ADNP|23394	2618.2644
ADORA1|134	19.4942	ADORA1|134	264.3655
ADORA2A|135	2756.5595	ADORA2A|135	51.5289
ADORA2B|136	74.8156	ADORA2B|136	184.8318
ADORA3|140	114.3309	ADORA3|140	218.0642
ADO|84890	690.2002	ADO|84890	604.5308
ADPGK|83440	927.8188	ADPGK|83440	709.3921
ADPRHL1|113622	301.3699	ADPRHL1|113622	122.4744
ADPRHL2|54936	489.9895	ADPRHL2|54936	716.1767
ADPRH|141	216.0169	ADPRH|141	508.941
ADRA1A|148	7.9031	ADRA1A|148	10.4551
ADRA1B|147	14.7524	ADRA1B|147	21.2837
lowly_expressed	lowly_expressed	ADRA1D|146	6.7212
ADRA2A|150	259.2202	ADRA2A|150	538.4394
ADRA2B|151	39.5153	ADRA2B|151	47.4215
ADRA2C|152	24.7629	ADRA2C|152	105.2981
ADRB1|153	977.8714	ADRB1|153	12.6955
ADRB2|154	118.019	ADRB2|154	296.4777
ADRBK1|156	2094.8367	ADRBK1|156	1630.2542
ADRBK2|157	2324.0253	ADRBK2|157	658.3001
ADRM1|11047	1351.9494	ADRM1|11047	1330.0425
ADSL|158	886.196	ADSL|158	882.3387
ADSSL1|122622	80.6112	ADSSL1|122622	129.9424
ADSS|159	3982.0864	ADSS|159	1492.097
AEBP1|165	9388.3035	AEBP1|165	12186.5793
AEBP2|121536	756.5859	AEBP2|121536	877.1111
AEN|64782	409.9052	AEN|64782	654.9395
AES|166	8586.4067	AES|166	7876.4502
AFAP1L1|134265	366.1749	AFAP1L1|134265	358.0884
AFAP1L2|84632	247.6291	AFAP1L2|84632	1161.6401
AFAP1|60312	1303.5774	AFAP1|60312	1330.0275
AFF1|4299	4109.589	AFF1|4299	1645.9369
AFF2|2334	17.9136	AFF2|2334	17.1763
AFF3|3899	79.0306	AFF3|3899	981.289
AFF4|27125	2828.7671	AFF4|27125	2804.2164
AFG3L1|172	110.6428	AFG3L1|172	170.6427
AFG3L2|10939	1545.2002	AFG3L2|10939	1476.138
AFMID|125061	753.4247	AFMID|125061	503.34
lowly_expressed	lowly_expressed	AFP|174	74.3061
AFTPH|54812	2022.6554	AFTPH|54812	1582.8327
AG2|387763	275.5532	AG2|387763	1203.8191
AGAP11|119385	17.3867	AGAP11|119385	68.3392
AGAP1|116987	297.6818	AGAP1|116987	757.2504
AGAP2|116986	108.2929	AGAP2|116986	49.2213
AGAP3|116988	968.3878	AGAP3|116988	1456.2509
AGAP4|119016	141.2013	AGAP4|119016	122.101
AGAP5|729092	41.9916	AGAP5|729092	22.2545
AGAP6|414189	119.0727	AGAP6|414189	69.8254
lowly_expressed	lowly_expressed	AGAP7|653268	7.0946
AGAP8|728404	9.4837	lowly_expressed	lowly_expressed
AGA|175	651.7387	AGA|175	571.2984
AGBL2|79841	9.4837	AGBL2|79841	10.0817
lowly_expressed	lowly_expressed	AGBL3|340351	5.601
AGBL5|60509	936.7808	AGBL5|60509	835.7461
AGER|177	14.7524	AGER|177	11.2019
AGFG1|3267	1844.5732	AGFG1|3267	1491.3502
AGFG2|3268	496.3119	AGFG2|3268	560.0965
AGGF1|55109	806.1117	AGGF1|55109	689.2921
AGK|55750	548.9989	AGK|55750	495.1253
AGL|178	1362.4868	AGL|178	937.2281
AGMAT|79814	143.3087	AGMAT|79814	10.4551
AGPAT1|10554	1746.4173	AGPAT1|10554	1884.0675
AGPAT2|10555	1512.6449	AGPAT2|10555	905.4893
AGPAT3|56894	2875.1317	AGPAT3|56894	1521.5955
AGPAT4|56895	55.8483	AGPAT4|56895	342.779
AGPAT5|55326	628.5564	AGPAT5|55326	540.3064
AGPAT6|137964	3085.8799	AGPAT6|137964	2066.0092
AGPAT9|84803	145.4162	AGPAT9|84803	156.827
AGPHD1|123688	64.8051	AGPHD1|123688	63.851
AGPS|8540	1556.902	AGPS|8540	1358.0473
AGR2|10551	85337.7239	AGR2|10551	1796.4161
AGR3|155465	2628.0295	AGR3|155465	951.7906
AGRN|375790	4596.9442	AGRN|375790	6430.6545
AGTPBP1|23287	200.2107	AGTPBP1|23287	316.6412
AGTR1|185	105.9009	AGTR1|185	219.9312
AGTRAP|57085	504.7418	AGTRAP|57085	622.8273
AGT|183	28.9779	AGT|183	40.7003
AGXT2L2|85007	316.7492	AGXT2L2|85007	387.8033
AHCTF1|25909	3061.6438	AHCTF1|25909	1244.9078
AHCYL1|10768	3622.2339	AHCYL1|10768	3646.9749
AHCYL2|23382	555.3214	AHCYL2|23382	490.2711
AHCY|191	11023.7092	AHCY|191	2721.6955
AHDC1|27245	444.1517	AHDC1|27245	980.1689
AHI1|54806	267.1233	AHI1|54806	240.8415
AHNAK2|113146	777.6607	lowly_expressed	lowly_expressed
AHNAK|79026	45351.9494	AHNAK|79026	96480.3537
AHRR|57491	22.6554	AHRR|57491	17.9231
AHR|196	1500.5269	AHR|196	2935.6524
AHSA1|10598	2138.04	AHSA1|10598	1623.9064
AHSA2|130872	153.3193	AHSA2|130872	171.3895
AIDA|64853	1823.0295	AIDA|64853	1063.8249
AIF1L|83543	1543.7302	AIF1L|83543	2300.8764
AIF1|199	256.059	AIF1|199	624.3209
AIFM1|9131	728.1349	AIFM1|9131	662.034
AIFM2|84883	319.8103	AIFM2|84883	365.1829
AIFM3|150209	7.9031	lowly_expressed	lowly_expressed
AIG1|51390	660.1686	AIG1|51390	925.2794
AIM1L|55057	111.1697	lowly_expressed	lowly_expressed
AIM1|202	3256.059	AIM1|202	3467.744
lowly_expressed	lowly_expressed	AIM2|9447	10.8285
AIMP1|9255	1433.6776	AIMP1|9255	1041.4061
AIMP2|7965	533.8145	AIMP2|7965	323.1906
AIP|9049	1121.7071	AIP|9049	918.5582
AJAP1|55966	15.2792	AJAP1|55966	36.593
AK1|203	302.9505	AK1|203	511.1814
AK2|204	2415.7007	AK2|204	2273.9917
AK3L1|205	345.627	AK3L1|205	326.3496
AK3|50808	2053.2139	AK3|50808	2037.631
AK5|26289	7.3762	AK5|26289	3447.954
AK7|122481	15.8061	AK7|122481	47.0481
AKAP10|11216	260.8008	AKAP10|11216	281.1684
AKAP11|11215	1298.7355	AKAP11|11215	1177.3228
AKAP12|9590	2099.5785	AKAP12|9590	5558.7709
AKAP13|11214	2333.509	AKAP13|11214	4568.5203
AKAP1|8165	1708.6407	AKAP1|8165	2047.3394
AKAP2|11217	1455.9905	AKAP2|11217	1832.5498
AKAP3|10566	15.2792	AKAP3|10566	28.7516
AKAP5|9495	269.2308	AKAP5|9495	45.1811
AKAP6|9472	42.1496	AKAP6|9472	282.662
AKAP7|9465	285.5638	AKAP7|9465	143.0113
AKAP8L|26993	911.4858	AKAP8L|26993	755.7569
AKAP8|10270	661.7492	AKAP8|10270	760.2376
AKAP9|10142	8128.5564	AKAP9|10142	2067.5028
AKD1|221264	218.6512	AKD1|221264	105.6715
AKIRIN1|79647	884.0885	AKIRIN1|79647	1710.9081
AKIRIN2|55122	621.7071	AKIRIN2|55122	678.8369
lowly_expressed	lowly_expressed	AKNAD1|254268	13.8456
AKNA|80709	814.0148	AKNA|80709	672.8626
AKR1A1|10327	2218.6512	AKR1A1|10327	1813.219
AKR1B10|57016	3575.3425	AKR1B10|57016	334.5643
AKR1B15|441282	39.5153	AKR1B15|441282	6.3478
AKR1B1|231	846.1538	AKR1B1|231	1212.7956
AKR1C1|1645	8346.1538	AKR1C1|1645	1213.5424
AKR1C2|1646	1933.6143	AKR1C2|1646	553.7487
AKR1C3|8644	2752.3709	AKR1C3|8644	1002.1993
AKR1E2|83592	12.118	AKR1E2|83592	17.1763
AKR7A2|8574	1827.1865	AKR7A2|8574	1145.5839999999998
AKR7A3|22977	549.5258	AKR7A3|22977	148.6123
AKR7L|246181	51.1064	AKR7L|246181	14.1891
AKT1S1|84335	1063.2244	AKT1S1|84335	841.2649
AKT1|207	3672.8135	AKT1|207	3326.5997
AKT2|208	1899.3678	AKT2|208	2166.8266
AKT3|10000	422.5501	AKT3|10000	1126.9141
AKTIP|64400	354.3309	AKTIP|64400	654.5325
ALAD|210	1669.1254	ALAD|210	1995.0637
ALAS1|211	1417.8082	ALAS1|211	943.5759
lowly_expressed	lowly_expressed	ALB|213	638.8834
ALCAM|214	5435.7218	ALCAM|214	3405.0132
ALDH16A1|126133	390.411	ALDH16A1|126133	615.3593
ALDH18A1|5832	3228.6617	ALDH18A1|5832	1625.0266
ALDH1A1|216	1586.4067	ALDH1A1|216	3511.805
ALDH1A2|8854	82.7187	ALDH1A2|8854	529.8513
ALDH1A3|220	691.2381	ALDH1A3|220	6166.6474
ALDH1B1|219	896.2065	ALDH1B1|219	641.8706
ALDH1L1|10840	213.9094	ALDH1L1|10840	163.1748
ALDH1L2|160428	345.1001	ALDH1L2|160428	142.6379
ALDH2|217	2755.0053	ALDH2|217	3504.7104
ALDH3A1|218	3590.6217	ALDH3A1|218	409.2438
ALDH3A2|224	1965.7534	ALDH3A2|224	1840.4771
ALDH3B1|221	93.2561	ALDH3B1|221	256.5242
ALDH3B2|222	2032.6660000000002	ALDH3B2|222	2310.2113
ALDH4A1|8659	779.7682	ALDH4A1|8659	665.0212
ALDH5A1|7915	511.5911	ALDH5A1|7915	343.8992
ALDH6A1|4329	524.0991	ALDH6A1|4329	314.3187
ALDH7A1|501	1108.5353	ALDH7A1|501	1912.9162
lowly_expressed	lowly_expressed	ALDH8A1|64577	6.3478
ALDH9A1|223	4369.3361	ALDH9A1|223	2533.5031
ALDOA|226	39792.9399	ALDOA|226	16872.3465
ALDOC|230	341.412	ALDOC|230	623.9475
ALG10B|144245	204.4257	ALG10B|144245	161.3078
ALG10|84920	81.6649	ALG10|84920	74.6795
ALG11|440138	18.9673	ALG11|440138	10.8285
ALG12|79087	494.7313	ALG12|79087	558.6029
ALG13|79868	1051.1064	ALG13|79868	460.0259
ALG14|199857	263.9621	ALG14|199857	208.7293
ALG1L|200810	35.7218	ALG1L|200810	20.4883
ALG1|56052	657.0232	ALG1|56052	441.0909
ALG2|85365	867.7555	ALG2|85365	902.1287
ALG3|10195	1079.5574	ALG3|10195	554.8689
ALG5|29880	812.961	ALG5|29880	657.9267
ALG6|29929	668.0717	ALG6|29929	197.9008
ALG8|79053	560.0632	ALG8|79053	632.909
ALG9|79796	347.7345	ALG9|79796	461.8929
ALKBH1|8846	216.0169	ALKBH1|8846	124.7148
ALKBH2|121642	321.3909	ALKBH2|121642	271.0867
ALKBH3|221120	220.7587	ALKBH3|221120	391.3207
ALKBH4|54784	196.8967	ALKBH4|54784	165.0866
ALKBH5|54890	1390.411	ALKBH5|54890	2356.0085
ALKBH6|84964	92.7292	ALKBH6|84964	57.1298
ALKBH7|84266	633.2982	ALKBH7|84266	547.7744
ALKBH8|91801	171.7597	ALKBH8|91801	157.9472
lowly_expressed	lowly_expressed	ALK|238	8.5881
ALMS1|7840	1208.1138	ALMS1|7840	657.1799
ALOX12B|242	10.5374	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ALOX12P2|245	6.3478
ALOX12|239	13.6986	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ALOX15B|247	73.5593
ALOX15|246	26.3435	ALOX15|246	35.4728
ALOX5AP|241	109.589	ALOX5AP|241	489.1509
ALOX5|240	871.4436	ALOX5|240	1153.052
ALOXE3|59344	30.5585	ALOXE3|59344	10.4551
