gene_id	TCGA-BH-A0DG-01A-21R-A12P-07	gene_id	TCGA-BH-A0DG-11A-43R-A12P-07
ADORA2A|135	416.9046	ADORA2A|135	88.8742
ADORA2B|136	34.1862	ADORA2B|136	83.9184
ADORA3|140	300.5883	ADORA3|140	154.6213
ADO|84890	719.1605	ADO|84890	820.6822
ADPGK|83440	969.9245	ADPGK|83440	907.2504
ADPRHL1|113622	194.2776	ADPRHL1|113622	83.588
ADPRHL2|54936	1120.2228	ADPRHL2|54936	486.3302
ADPRH|141	324.7687	ADPRH|141	362.1046
lowly_expressed	lowly_expressed	ADRA1A|148	8.9205
ADRA1B|147	15.4255	ADRA1B|147	17.8409
ADRA1D|146	7.0874	lowly_expressed	lowly_expressed
ADRA2A|150	572.4101	ADRA2A|150	617.494
lowly_expressed	lowly_expressed	ADRA2B|151	9.9116
ADRA2C|152	25.4312	ADRA2C|152	22.136
ADRB1|153	7.0874	ADRB1|153	15.8586
ADRB2|154	38.3552	ADRB2|154	118.9395
ADRB3|155	5.4198	lowly_expressed	lowly_expressed
ADRBK1|156	2368.4353	ADRBK1|156	1345.007
ADRBK2|157	760.4341	ADRBK2|157	1635.0871
ADRM1|11047	1750.9995	ADRM1|11047	602.6266
ADSL|158	814.2148	ADSL|158	888.4117
ADSSL1|122622	56.699	ADSSL1|122622	83.2576
ADSS|159	1851.4735	ADSS|159	1559.098
AEBP1|165	40036.6042	AEBP1|165	3450.5658
AEBP2|121536	258.064	AEBP2|121536	974.6428
AEN|64782	431.0794	AEN|64782	364.7477
AES|166	7525.1289	AES|166	4252.0856
AFAP1L1|134265	312.6785	AFAP1L1|134265	296.0271
AFAP1L2|84632	490.2799	AFAP1L2|84632	1003.7169
AFAP1|60312	2060.7513	AFAP1|60312	1627.8087
AFF1|4299	2142.8899	AFF1|4299	2837.6972
AFF2|2334	30.0171	AFF2|2334	56.8266
AFF3|3899	2215.4313	AFF3|3899	3501.4454
AFF4|27125	3412.7815	AFF4|27125	5610.3081
AFG3L1|172	225.9623	AFG3L1|172	222.3507
AFG3L2|10939	1236.8644	AFG3L2|10939	1383.3947
AFMID|125061	798.7893	AFMID|125061	469.4805
AFP|174	183.855	AFP|174	296.0271
AFTPH|54812	1360.7768	AFTPH|54812	2283.968
AG2|387763	136.7447	AG2|387763	55.1747
AGAP11|119385	22.9298	AGAP11|119385	162.5605
AGAP1|116987	472.353	AGAP1|116987	779.7142
AGAP2|116986	103.0255	AGAP2|116986	74.8393
AGAP3|116988	1077.6985	AGAP3|116988	1153.3823
AGAP4|119016	149.2519	AGAP4|119016	238.2093
AGAP5|729092	33.3524	AGAP5|729092	80.7995
AGAP6|414189	92.5528	AGAP6|414189	134.4677
AGAP7|653268	7.9212	AGAP7|653268	6.6077
AGAP8|728404	27.5157	AGAP8|728404	98.1251
AGA|175	598.2582	AGA|175	441.0672
AGBL2|79841	6.2536	AGBL2|79841	16.189
lowly_expressed	lowly_expressed	AGBL3|340351	6.9381
AGBL4|84871	5.8367	AGBL4|84871	11.8939
AGBL5|60509	534.059	AGBL5|60509	833.2436
AGER|177	22.9298	AGER|177	51.8708
AGFG1|3267	1369.1149	AGFG1|3267	1861.0721
AGFG2|3268	269.7373	AGFG2|3268	421.9047
AGGF1|55109	915.9395	AGGF1|55109	1144.4619
AGK|55750	456.9275	AGK|55750	605.2697
AGL|178	1374.1177	AGL|178	1698.8519
AGMAT|79814	19.5945	AGMAT|79814	15.8586
AGPAT1|10554	2173.5741	AGPAT1|10554	1627.5411
AGPAT2|10555	943.0383	AGPAT2|10555	447.0141
AGPAT3|56894	2247.533	AGPAT3|56894	1648.3026
AGPAT4|56895	273.0725	AGPAT4|56895	301.6437
AGPAT5|55326	263.4837	AGPAT5|55326	1057.9004
AGPAT6|137964	1536.7105	AGPAT6|137964	2017.015
AGPAT9|84803	53.3638	AGPAT9|84803	227.6369
AGPHD1|123688	80.4626	AGPHD1|123688	57.4874
AGPS|8540	952.2102	AGPS|8540	984.5544
AGR2|10551	8211.7709	AGR2|10551	1842.9008
AGR3|155465	2879.1435	AGR3|155465	543.8176
AGRN|375790	7004.8319	AGRN|375790	3154.5387
AGTPBP1|23287	237.6357	AGTPBP1|23287	460.2296
AGTR1|185	97.1388	AGTR1|185	205.5009
AGTRAP|57085	1434.5689	AGTRAP|57085	576.8564
AGT|183	26.6819	AGT|183	20.1536
AGXT2L2|85007	458.2074	AGXT2L2|85007	572.449
AGXT|189	5.0029	lowly_expressed	lowly_expressed
AHCTF1|25909	1637.1846	AHCTF1|25909	1759.6432
AHCYL1|10768	2496.0081	AHCYL1|10768	4492.6076
AHCYL2|23382	852.9869	AHCYL2|23382	898.6537
AHCY|191	3449.0522	AHCY|191	3458.8255
AHDC1|27245	747.9269	AHDC1|27245	979.929
AHI1|54806	350.6168	AHI1|54806	544.148
AHNAK2|113146	1497.5215	AHNAK2|113146	944.9079
AHNAK|79026	43574.874	AHNAK|79026	109186.0907
AHRR|57491	43.3581	AHRR|57491	62.4432
AHR|196	1497.9384	AHR|196	3673.9077
AHSA1|10598	2098.698	AHSA1|10598	1333.7738
AHSA2|130872	379.3832	AHSA2|130872	604.2785
AIDA|64853	1149.9898	lowly_expressed	lowly_expressed
AIF1L|83543	884.6717	AIF1L|83543	3084.4966
AIF1|199	352.7013	AIF1|199	252.0856
AIFM1|9131	922.61	AIFM1|9131	631.3703
AIFM2|84883	430.6625	AIFM2|84883	480.3832
AIFM3|150209	13.5494	AIFM3|150209	6.1948
AIG1|51390	397.727	AIG1|51390	932.3532
AIM1L|55057	40.4398	lowly_expressed	lowly_expressed
AIM1|202	2277.5501	AIM1|202	5014.95
AIM2|9447	16.2593	AIM2|9447	5.2862
AIMP1|9255	737.2167	AIMP1|9255	1305.2086
AIMP2|7965	392.5949	AIMP2|7965	173.7672
AIP|9049	740.4227	AIP|9049	635.0045
AJAP1|55966	15.0086	AJAP1|55966	11.5636
AK1|203	681.6391	AK1|203	243.1651
AK2|204	1155.2428	AK2|204	1989.5895
AK3L1|205	112.1474	AK3L1|205	601.305
AK3|50808	1218.1954	AK3|50808	1937.722
AK5|26289	89.6345	AK5|26289	2392.335
AK7|122481	16.6762	AK7|122481	54.1835
AKAP10|11216	449.4232	AKAP10|11216	674.9814
AKAP11|11215	1206.1052	AKAP11|11215	3056.4136
AKAP12|9590	1040.594	AKAP12|9590	1970.4303
AKAP13|11214	4439.6176	AKAP13|11214	6325.9271
AKAP1|8165	2996.2937	AKAP1|8165	2453.4567
AKAP2|11217	781.4252	AKAP2|11217	1476.4979
AKAP3|10566	11.6733	AKAP3|10566	39.6465
AKAP5|9495	338.5266	AKAP5|9495	134.7981
AKAP6|9472	72.1245	AKAP6|9472	555.7116
AKAP7|9465	109.229	AKAP7|9465	241.1828
AKAP8L|26993	488.1953	AKAP8L|26993	655.4886
AKAP8|10270	463.598	AKAP8|10270	608.2432
AKAP9|10142	2696.1224	AKAP9|10142	4257.7022
AKD1|221264	136.3278	AKD1|221264	222.0203
AKIRIN1|79647	1322.8385	AKIRIN1|79647	1085.3225
AKIRIN2|55122	681.6391	AKIRIN2|55122	635.6653
AKNA|80709	960.1314	AKNA|80709	664.7394
AKR1A1|10327	2740.3143	AKR1A1|10327	1411.4149
AKR1B1|231	955.9624	AKR1B1|231	742.3804
AKR1C1|1645	224.2947	AKR1C1|1645	355.1664
AKR1C2|1646	178.0183	AKR1C2|1646	441.7279
AKR1C3|8644	434.8315	AKR1C3|8644	421.2439
AKR1E2|83592	9.1719	AKR1E2|83592	26.1006
