gene_id	TCGA-E9-A1NG-01A-21R-A14M-07	gene_id	TCGA-E9-A1NG-11A-52R-A14M-07
ADCK2|90956	653.4714	ADCK2|90956	481.2165
ADCK4|79934	593.179	ADCK4|79934	340.3399
ADCK5|203054	88.6114	ADCK5|203054	75.5814
ADCY1|107	83.4348	ADCY1|107	445.8855
ADCY2|108	78.8672	ADCY2|108	81.8426
ADCY3|109	438.4896	ADCY3|109	1479.6467
ADCY4|196883	130.0244	ADCY4|196883	786.6726
removed	removed	ADCY5|111	531.7531
ADCY6|112	657.7345	ADCY6|112	3048.3005
ADCY7|113	1219.5493	ADCY7|113	1056.7979
removed	removed	ADCY8|114	9.3918
ADCY9|115	736.9062	ADCY9|115	753.5778
removed	removed	ADCYAP1R1|117	34.8837
removed	removed	ADCYAP1|116	6.2612
ADC|113451	243.9099	ADC|113451	105.9928
ADD1|118	5986.6017	ADD1|118	7504.025
ADD2|119	24.056	ADD2|119	102.415
ADD3|120	1632.1559	ADD3|120	3607.7818
removed	removed	ADH1A|124	499.9821
removed	removed	ADH1B|125	53801.4311
removed	removed	ADH1C|126	445.4383
removed	removed	ADH4|127	13.864
ADH5|128	2150.7308	ADH5|128	4455.2773
ADHFE1|137872	40.8039	ADHFE1|137872	338.1038
ADI1|55256	1463.4592	ADI1|55256	1887.746
removed	removed	ADIPOQ|9370	56835.4204
ADIPOR1|51094	2695.1888	ADIPOR1|51094	2152.9517
ADIPOR2|79602	2289.5859	ADIPOR2|79602	4038.4615
ADK|132	455.2375	ADK|132	416.3685
ADM2|79924	47.1985	ADM2|79924	22.3614
ADM|133	1040.4994	ADM|133	1834.9732
ADNP2|22850	665.3471	ADNP2|22850	581.3953
ADNP|23394	3176.9184	ADNP|23394	2147.585
ADORA1|134	62.1194	ADORA1|134	156.0823
ADORA2A|135	93.7881	ADORA2A|135	33.542
ADORA2B|136	59.6833	ADORA2B|136	84.0787
ADORA3|140	666.8697	ADORA3|140	135.0626
ADO|84890	713.1547	ADO|84890	627.4597
ADPGK|83440	1039.257	ADPGK|83440	788.314
ADPRHL1|113622	97.7467	ADPRHL1|113622	63.5063
ADPRHL2|54936	757.0037	ADPRHL2|54936	545.1699
ADPRH|141	431.1815	ADPRH|141	655.1878
removed	removed	ADRA1A|148	78.2648
ADRA1B|147	12.4848	ADRA1B|147	63.9535
ADRA1D|146	14.0073	removed	removed
ADRA2A|150	783.1912	ADRA2A|150	2077.3703
ADRA2B|151	9.1352	ADRA2B|151	31.3059
removed	removed	ADRA2C|152	101.9678
ADRB1|153	9.4397	ADRB1|153	193.6494
ADRB2|154	29.5371	ADRB2|154	529.9642
ADRBK1|156	1455.542	ADRBK1|156	1423.0769
ADRBK2|157	380.0244	ADRBK2|157	2430.2326
ADRM1|11047	1089.8295	ADRM1|11047	1163.2379
ADSL|158	651.9488	ADSL|158	671.7352
ADSSL1|122622	173.2643	ADSSL1|122622	95.2594
ADSS|159	2012.7893	ADSS|159	1119.4097
AEBP1|165	66478.6845	AEBP1|165	7981.2165
AEBP2|121536	669.9147	AEBP2|121536	736.5832
AEN|64782	433.922	AEN|64782	361.8068
AES|166	3649.8173	AES|166	6118.9624
AFAP1L1|134265	626.0658	AFAP1L1|134265	1328.712
AFAP1L2|84632	661.084	AFAP1L2|84632	688.2826
AFAP1|60312	2125.1309	AFAP1|60312	1699.8971
AFF1|4299	2197.9294	AFF1|4299	3702.5939
AFF2|2334	16.4434	AFF2|2334	52.7728
AFF3|3899	740.8648	AFF3|3899	812.6118
AFF4|27125	4080.6943	AFF4|27125	3477.6386
AFG3L1|172	120.2801	AFG3L1|172	171.288
AFG3L2|10939	869.4123	AFG3L2|10939	1213.6449
AFMID|125061	357.1864	AFMID|125061	334.9732
AFTPH|54812	1682.095	AFTPH|54812	1275.0447
AG2|387763	292.3264	AG2|387763	1503.1306
AGAP11|119385	18.5749	AGAP11|119385	345.4383
AGAP1|116987	526.1876	AGAP1|116987	463.7746
AGAP2|116986	111.8879	AGAP2|116986	107.6476
AGAP3|116988	1172.6553	AGAP3|116988	1010.7335
AGAP4|119016	96.5286	AGAP4|119016	133.2737
AGAP5|729092	41.6352	AGAP5|729092	54.3784
AGAP6|414189	47.8076	AGAP6|414189	46.9589
AGAP7|653268	14.3118	AGAP7|653268	16.9946
AGAP8|728404	14.9208	AGAP8|728404	12.9696
AGA|175	432.704	AGA|175	382.3792
AGBL2|79841	13.7028	AGBL2|79841	6.2612
removed	removed	AGBL3|340351	14.3113
AGBL4|84871	9.7442	removed	removed
AGBL5|60509	468.6419	AGBL5|60509	544.28
AGER|177	16.7479	AGER|177	24.5975
AGFG1|3267	1756.6991	AGFG1|3267	3340.3399
AGFG2|3268	276.7966	AGFG2|3268	363.1485
AGGF1|55109	1093.4836	AGGF1|55109	822.0036
AGK|55750	467.7223	AGK|55750	393.1127
AGL|178	3224.1169	AGL|178	1203.9356
AGMAT|79814	12.7893	AGMAT|79814	8.0501
AGPAT1|10554	1731.5104	AGPAT1|10554	1399.2129
AGPAT2|10555	944.2753	AGPAT2|10555	5014.7585
AGPAT3|56894	1448.2339	AGPAT3|56894	2156.9767
AGPAT4|56895	340.134	AGPAT4|56895	330.5009
AGPAT5|55326	619.3666	AGPAT5|55326	405.1878
AGPAT6|137964	1587.3934	AGPAT6|137964	1572.898
AGPAT9|84803	82.5213	AGPAT9|84803	127.4597
AGPHD1|123688	28.6236	AGPHD1|123688	59.034
AGPS|8540	2729.5981	AGPS|8540	1972.2719
AGR2|10551	5550.5481	AGR2|10551	680.2326
AGR3|155465	2410.1705	AGR3|155465	261.1807
AGRN|375790	4991.7783	AGRN|375790	2162.7907
AGTPBP1|23287	387.028	AGTPBP1|23287	609.1234
AGTR1|185	589.8295	AGTR1|185	593.0233
AGTRAP|57085	422.0463	AGTRAP|57085	284.4365
AGT|183	80.9988	AGT|183	180.6798
AGXT2L2|85007	293.1912	AGXT2L2|85007	691.6905
AHCTF1|25909	1299.0256	AHCTF1|25909	1646.2433
