gene_id	TCGA-BH-A1FU-01A-11R-A14D-07	gene_id	TCGA-BH-A1FU-11A-23R-A14D-07
ADAMTS3|9508	152.0139	ADAMTS3|9508	102.7792
ADAMTS4|9507	1117.7999	ADAMTS4|9507	207.656
ADAMTS5|11096	683.8458	ADAMTS5|11096	2599.3707
ADAMTS6|11174	139.4543	ADAMTS6|11174	19.9266
ADAMTS7|11173	386.7475	ADAMTS7|11173	116.4132
ADAMTS8|11095	35.5132	ADAMTS8|11095	134.7666
ADAMTS9|56999	729.3201	ADAMTS9|56999	825.3802
ADAMTSL1|92949	244.6947	ADAMTSL1|92949	380.7027
ADAMTSL2|9719	290.1689	ADAMTSL2|9719	51.3896
ADAMTSL3|57188	665.223	ADAMTSL3|57188	328.7887
ADAMTSL4|54507	117.7999	ADAMTSL4|54507	564.7614
ADAMTSL5|339366	27.2845	ADAMTSL5|339366	61.8773
ADAP1|11033	49.3374	ADAP1|11033	115.0813
ADAP2|55803	203.1182	ADAP2|55803	155.2176
ADARB1|104	776.9597	ADARB1|104	987.4148
ADAR|103	11724.123	ADAR|103	7756.1615
ADAT1|23536	482.893	ADAT1|23536	449.9213
ADAT2|134637	122.1308	ADAT2|134637	200.3146
ADAT3|113179	28.5838	ADAT3|113179	29.3655
ADA|100	161.1087	ADA|100	42.9995
ADCK1|57143	324.8159	ADCK1|57143	175.1442
ADCK2|90956	519.7055	ADCK2|90956	602.517
ADCK4|79934	343.4387	ADCK4|79934	486.6282
ADCK5|203054	183.6293	ADCK5|203054	105.4012
ADCY1|107	235.1667	ADCY1|107	1510.2255
ADCY2|108	320.4851	ADCY2|108	68.1699
ADCY3|109	919.2161	ADCY3|109	1510.021
ADCY4|196883	209.1815	ADCY4|196883	506.5548
ADCY5|111	61.4985	ADCY5|111	393.8123
ADCY6|112	1233.8675	ADCY6|112	2899.8427
ADCY7|113	697.2715	ADCY7|113	485.0551
ADCY9|115	764.4002	ADCY9|115	949.6592
ADCYAP1R1|117	19.489	ADCYAP1R1|117	72.365
lowly_expressed	lowly_expressed	ADCYAP1|116	5.2438
ADC|113451	129.0602	ADC|113451	137.3886
ADD1|118	3917.2802	ADD1|118	6282.1185
ADD2|119	67.5617	ADD2|119	91.7672
ADD3|120	1740.5803	ADD3|120	2753.5396
lowly_expressed	lowly_expressed	ADH1A|124	99.6329
ADH1B|125	271.113	ADH1B|125	11004.1951
ADH1C|126	35.0801	ADH1C|126	200.3146
ADH4|127	8.2287	ADH4|127	8.9145
ADH5|128	3064.097	ADH5|128	2672.2601
ADHFE1|137872	17.7566	ADHFE1|137872	248.0336
ADI1|55256	1091.3816	ADI1|55256	1227.5826
ADIPOQ|9370	47.2066	ADIPOQ|9370	12855.2701
ADIPOR1|51094	2373.7549	ADIPOR1|51094	1807.5511
ADIPOR2|79602	1576.44	ADIPOR2|79602	2932.8789
ADK|132	582.0702	ADK|132	327.2155
ADM2|79924	870.9398	ADM2|79924	111.6938
ADM|133	170.2036	ADM|133	333.5081
ADNP2|22850	817.2369	ADNP2|22850	779.2344
ADNP|23394	3559.9827	ADNP|23394	3274.7771
ADORA1|134	148.1161	ADORA1|134	290.5087
ADORA2A|135	177.9991	ADORA2A|135	80.2307
ADORA2B|136	40.7103	ADORA2B|136	38.8044
ADORA3|140	75.3573	ADORA3|140	50.8652
ADO|84890	815.9376	ADO|84890	679.6015
ADPGK|83440	962.9926	ADPGK|83440	876.4657
ADPRHL1|113622	38.5448	ADPRHL1|113622	52.4384
ADPRHL2|54936	737.9818	ADPRHL2|54936	529.6277
ADPRH|141	268.0814	ADPRH|141	358.6786
lowly_expressed	lowly_expressed	ADRA1A|148	29.8899
ADRA1B|147	21.2213	ADRA1B|147	17.3047
ADRA1D|146	13.4257	ADRA1D|146	7.8658
ADRA2A|150	519.2724	ADRA2A|150	677.5039
ADRA2B|151	284.9718	ADRA2B|151	53.4872
ADRA2C|152	67.9948	ADRA2C|152	74.4625
lowly_expressed	lowly_expressed	ADRB1|153	28.3167
ADRB2|154	60.6323	ADRB2|154	189.3026
ADRBK1|156	1844.9545	ADRBK1|156	1757.2103
ADRBK2|157	700.7362	ADRBK2|157	1794.9659
ADRM1|11047	1253.7895	ADRM1|11047	987.9392
ADSL|158	1289.7358	ADSL|158	660.1993
ADSSL1|122622	48.0728	ADSSL1|122622	190.3513
ADSS|159	1950.1949	ADSS|159	1214.473
AEBP1|165	25121.6977	AEBP1|165	8064.4992
AEBP2|121536	454.7423	AEBP2|121536	690.6135
AEN|64782	621.4812	AEN|64782	463.5553
AES|166	3556.0849	AES|166	5100.6817
AFAP1L1|134265	441.3166	AFAP1L1|134265	571.5784
AFAP1L2|84632	686.0113	AFAP1L2|84632	1257.4725
AFAP1|60312	2268.9216	AFAP1|60312	1790.7551
AFF1|4299	2388.0468	AFF1|4299	3201.3634
AFF2|2334	50.2382	AFF2|2334	63.9748
AFF3|3899	345.6042	AFF3|3899	3457.2627
AFF4|27125	4269.8138	AFF4|27125	4384.3734
AFG3L1|172	167.605	AFG3L1|172	362.3492
AFG3L2|10939	2454.79	AFG3L2|10939	1167.2522
AFMID|125061	964.0537	AFMID|125061	403.7756
lowly_expressed	lowly_expressed	AFP|174	40.9019
AFTPH|54812	1211.3469	AFTPH|54812	1663.3456
AG2|387763	206.5829	AG2|387763	204.5097
AGAP11|119385	15.1581	AGAP11|119385	237.053
AGAP1|116987	651.7973	AGAP1|116987	713.6864
AGAP2|116986	155.3183	AGAP2|116986	155.569
AGAP3|116988	1226.505	AGAP3|116988	1542.7373
AGAP4|119016	90.0823	AGAP4|119016	297.3256
AGAP5|729092	36.0676	AGAP5|729092	109.1662
AGAP6|414189	53.7029	AGAP6|414189	124.279
lowly_expressed	lowly_expressed	AGAP7|653268	8.3901
AGAP8|728404	35.9463	AGAP8|728404	94.9135
AGA|175	702.0355	AGA|175	402.2024
lowly_expressed	lowly_expressed	AGBL2|79841	26.2192
lowly_expressed	lowly_expressed	AGBL3|340351	5.7682
lowly_expressed	lowly_expressed	AGBL4|84871	6.817
AGBL5|60509	317.0247	AGBL5|60509	627.698
AGER|177	12.5595	AGER|177	55.0603
AGFG1|3267	2967.0853	AGFG1|3267	1706.345
AGFG2|3268	192.7241	AGFG2|3268	499.7378
AGGF1|55109	677.3495	AGGF1|55109	978.5003
AGK|55750	546.557	AGK|55750	469.3235
AGL|178	1006.0632	AGL|178	1287.3623
AGMAT|79814	42.8757	AGMAT|79814	9.9633
AGPAT1|10554	1817.4881	AGPAT1|10554	1583.8123
AGPAT2|10555	1400.6063	AGPAT2|10555	2155.2176
AGPAT3|56894	2161.5418	AGPAT3|56894	1812.795
AGPAT4|56895	327.8476	AGPAT4|56895	327.2155
AGPAT5|55326	590.2988	AGPAT5|55326	746.1982
AGPAT6|137964	1007.3625	AGPAT6|137964	1942.3178
AGPAT9|84803	66.2625	AGPAT9|84803	174.0954
AGPHD1|123688	53.2698	AGPHD1|123688	68.6943
AGPS|8540	649.1988	AGPS|8540	982.1709
AGR2|10551	1270.2469	AGR2|10551	4045.6214
AGR3|155465	36.3794	AGR3|155465	517.5669
AGRN|375790	10371.1563	AGRN|375790	4986.8904
AGTPBP1|23287	378.0858	AGTPBP1|23287	383.849
AGTR1|185	61.4985	AGTR1|185	227.5826
AGTR2|186	21.2213	AGTR2|186	13.1096
AGTRAP|57085	535.2967	AGTRAP|57085	483.4819
AGT|183	464.7033	AGT|183	145.2543
AGXT2L2|85007	198.0944	AGXT2L2|85007	494.2213
AHCTF1|25909	2140.7536	AHCTF1|25909	1655.4798
AHCYL1|10768	3460.3725	AHCYL1|10768	3701.6256
AHCYL2|23382	466.4357	AHCYL2|23382	596.7488
AHCY|191	3789.0862	AHCY|191	2352.3859
AHDC1|27245	1153.7462	AHDC1|27245	1494.494
AHI1|54806	346.0372	AHI1|54806	582.5905
AHNAK2|113146	1352.1005	AHNAK2|113146	1429.4704
AHNAK|79026	46696.8385	AHNAK|79026	113603.5658
AHRR|57491	15.1581	AHRR|57491	52.4384
AHR|196	2477.2629	AHR|196	3675.9308
AHSA1|10598	2559.5496	AHSA1|10598	1360.2517
AHSA2|130872	148.1161	AHSA2|130872	975.8783
AIDA|64853	1121.3729	AIDA|64853	889.979
AIF1L|83543	1977.0463	AIF1L|83543	1528.0545
AIF1|199	323.9498	AIF1|199	243.3141
AIFM1|9131	946.7302	AIFM1|9131	602.517
AIFM2|84883	331.3123	AIFM2|84883	776.6125
lowly_expressed	lowly_expressed	AIFM3|150209	11.0121
AIG1|51390	618.8826	AIG1|51390	682.7478
AIM1L|55057	32.4816	lowly_expressed	lowly_expressed
AIM1|202	2025.5522	AIM1|202	3111.1694
AIM2|9447	41.1434	AIM2|9447	8.3901
AIMP1|9255	962.2087	AIMP1|9255	882.4803
AIMP2|7965	455.1321	AIMP2|7965	245.5218
AIP|9049	673.4517	AIP|9049	773.9906
AJAP1|55966	36.8125	AJAP1|55966	24.646
AK1|203	481.5938	AK1|203	417.4095
AK2|204	2067.5617	AK2|204	1850.0262
AK3L1|205	928.5405	AK3L1|205	524.9082
AK3|50808	896.492	AK3|50808	1465.1285
AK5|26289	178.4322	AK5|26289	1329.3131
AK7|122481	34.647	AK7|122481	39.8532
AKAP10|11216	372.0225	AKAP10|11216	658.1017
AKAP11|11215	1791.6847	AKAP11|11215	2804.4048
AKAP12|9590	1786.0546	AKAP12|9590	2292.6062
AKAP13|11214	4780.8575	AKAP13|11214	4748.8201
AKAP1|8165	2015.1581	AKAP1|8165	2723.6497
AKAP2|11217	1347.1893	AKAP2|11217	1724.2685
