gene_id	TCGA-BH-A0BA-01A-11R-A056-07	gene_id	TCGA-BH-A0BA-11A-22R-A19E-07
ADRA1A|148	8.2255	ADRA1A|148	144.9008
ADRA1B|147	15.4228	ADRA1B|147	39.6862
ADRA1D|146	5.8264	lowly_expressed	lowly_expressed
ADRA2A|150	803.3588	ADRA2A|150	1477.6188
ADRA2B|151	21.2493	ADRA2B|151	28.611
ADRA2C|152	32.9021	ADRA2C|152	59.9908
ADRB1|153	8.911	ADRB1|153	52.1458
ADRB2|154	155.5993	ADRB2|154	254.2686
ADRBK1|156	1244.7948	ADRBK1|156	1670.9737
ADRBK2|157	653.9285	ADRBK2|157	2353.9455
ADRM1|11047	1110.7874	ADRM1|11047	1057.222
ADSL|158	442.807	ADSL|158	773.8809
ADSSL1|122622	114.4718	ADSSL1|122622	181.8182
ADSS|159	2372.376	ADSS|159	1160.1292
AEBP1|165	10647.588	AEBP1|165	8177.665
AEBP2|121536	932.9106	AEBP2|121536	733.7333
AEN|64782	322.5088	AEN|64782	370.5584
AES|166	5997.4295	AES|166	5553.2995
AFAP1L1|134265	361.2373	AFAP1L1|134265	451.3152
AFAP1L2|84632	294.4049	AFAP1L2|84632	902.6304
AFAP1|60312	1222.1301	AFAP1|60312	1586.9312
AFF1|4299	2193.1283	AFF1|4299	3030.4569
AFF2|2334	24.3338	AFF2|2334	120.9045
AFF3|3899	1772.5987	AFF3|3899	1692.6627
AFF4|27125	5401.7651	AFF4|27125	4162.4365
AFG3L1|172	209.0652	AFG3L1|172	179.0494
AFG3L2|10939	1028.5048	AFG3L2|10939	1002.8334
AFMID|125061	2199.9829	AFMID|125061	440.7014
AFP|174	19.5356	AFP|174	13.3826
AFTPH|54812	1973.0957	AFTPH|54812	1449.9308
AG2|387763	248.1364	AG2|387763	201.1998
AGAP11|119385	50.0386	AGAP11|119385	79.8431
AGAP1|116987	428.4123	AGAP1|116987	514.9977
AGAP2|116986	122.8961	AGAP2|116986	125.3392
AGAP3|116988	1401.0796	AGAP3|116988	1214.1209
AGAP4|119016	146.3456	AGAP4|119016	141.6705
