gene_id	TCGA-E2-A1IG-01A-11R-A144-07	gene_id	TCGA-E2-A1IG-11A-22R-A144-07
ADAP2|55803	260.2517	ADAP2|55803	230.037
ADARB1|104	800.2436	ADARB1|104	1023.2681
ADARB2|105	5.2781	ADARB2|105	8.4611
ADAR|103	13983.7596	ADAR|103	6078.7943
ADAT1|23536	391.7986	ADAT1|23536	396.6155
ADAT2|134637	95.4121	ADAT2|134637	114.2253
ADAT3|113179	39.3829	ADAT3|113179	24.8546
ADA|100	111.6525	ADA|100	107.8794
ADCK1|57143	90.946	ADCK1|57143	185.0873
ADCK2|90956	752.3346	ADCK2|90956	649.3919
ADCK4|79934	507.9172	ADCK4|79934	465.8911
ADCK5|203054	139.2611	ADCK5|203054	69.2755
ADCY1|107	2179.0499	ADCY1|107	505.5526
ADCY2|108	26.7966	ADCY2|108	66.1026
ADCY3|109	577.7426	ADCY3|109	1529.9365
ADCY4|196883	128.2988	ADCY4|196883	791.6446
ADCY5|111	22.3305	ADCY5|111	883.1306
ADCY6|112	1410.069	ADCY6|112	5087.7842
ADCY7|113	511.1652	ADCY7|113	551.0312
ADCY9|115	489.2408	ADCY9|115	762.0307
lowly_expressed	lowly_expressed	ADCYAP1R1|117	40.7192
lowly_expressed	lowly_expressed	ADCYAP1|116	16.3934
ADC|113451	256.1916	ADC|113451	72.4484
ADD1|118	6738.1242	ADD1|118	7342.147
ADD2|119	64.5554	ADD2|119	84.6113
ADD3|120	764.5148	ADD3|120	2736.1185
lowly_expressed	lowly_expressed	ADH1A|124	329.8308
ADH1B|125	19.4884	ADH1B|125	40423.0513
lowly_expressed	lowly_expressed	ADH1C|126	239.5558
lowly_expressed	lowly_expressed	ADH4|127	43.8921
ADH5|128	2551.3601	ADH5|128	3698.0434
ADHFE1|137872	27.6086	ADHFE1|137872	439.9788
ADI1|55256	631.7499	ADI1|55256	1981.4913
ADIPOQ|9370	28.8266	ADIPOQ|9370	50821.7874
ADIPOR1|51094	4533.9017	ADIPOR1|51094	1976.2031
ADIPOR2|79602	3543.24	ADIPOR2|79602	4281.8614
ADK|132	193.2603	ADK|132	427.816
ADM2|79924	319.529	ADM2|79924	72.4484
ADM|133	173.7718	ADM|133	694.3416
ADNP2|22850	650.4263	ADNP2|22850	745.6372
ADNP|23394	3002.8421	ADNP|23394	2514.0137
ADORA1|134	1994.7219	ADORA1|134	399.2597
ADORA2A|135	75.1117	ADORA2A|135	40.1904
ADORA2B|136	52.7812	ADORA2B|136	127.9746
ADORA3|140	323.1831	ADORA3|140	243.2575
ADO|84890	720.6659	ADO|84890	533.0513
ADPGK|83440	692.6594	ADPGK|83440	690.7192
ADPRHL1|113622	97.4421	ADPRHL1|113622	65.0449
ADPRHL2|54936	853.0248	ADPRHL2|54936	499.7356
ADPRH|141	394.6407	ADPRH|141	539.926
lowly_expressed	lowly_expressed	ADRA1A|148	171.3379
ADRA1B|147	13.3983	ADRA1B|147	46.0074
ADRA1D|146	11.3683	ADRA1D|146	10.5764
ADRA2A|150	63.3374	ADRA2A|150	1041.248
ADRA2B|151	9.7442	ADRA2B|151	180.8567
ADRA2C|152	6.0901	ADRA2C|152	112.6388
lowly_expressed	lowly_expressed	ADRB1|153	80.9096
ADRB2|154	13.8043	ADRB2|154	576.4146
lowly_expressed	lowly_expressed	ADRB3|155	12.1629
ADRBK1|156	5860.3329	ADRBK1|156	1527.2343
ADRBK2|157	340.6415	ADRBK2|157	2826.5468
ADRM1|11047	1625.6598	ADRM1|11047	1176.0973
ADSL|158	939.5047	ADSL|158	717.0809
ADSSL1|122622	180.674	ADSSL1|122622	257.5357
ADSS|159	1522.5335	ADSS|159	969.3284
AEBP1|165	50062.9314	AEBP1|165	7751.4543
AEBP2|121536	479.0905	AEBP2|121536	745.1084
AEN|64782	591.555	AEN|64782	425.1719
AES|166	8101.9082	AES|166	7368.588
AFAP1L1|134265	403.5729	AFAP1L1|134265	1293.4955
AFAP1L2|84632	515.6313	AFAP1L2|84632	820.7298
AFAP1|60312	2652.8542	AFAP1|60312	1306.166
AFF1|4299	1797.8076	AFF1|4299	3989.4236
AFF2|2334	11.3683	AFF2|2334	170.8091
AFF3|3899	3277.3041	AFF3|3899	1091.486
AFF4|27125	2812.4239	AFF4|27125	4107.8794
AFG3L1|172	297.6045	AFG3L1|172	237.4405
AFG3L2|10939	1128.2907	AFG3L2|10939	1330.9677
AFMID|125061	751.5225	AFMID|125061	340.5605
lowly_expressed	lowly_expressed	AFP|174	5.817
AFTPH|54812	1655.2984	AFTPH|54812	1159.7039
AG2|387763	188.7942	AG2|387763	521.4172
AGAP11|119385	38.1892	AGAP11|119385	143.3104
AGAP1|116987	167.2757	AGAP1|116987	550.5024
AGAP2|116986	136.8331	AGAP2|116986	87.1497
AGAP3|116988	1555.8262	AGAP3|116988	1238.4981
AGAP4|119016	272.432	AGAP4|119016	157.5886
AGAP5|729092	40.8648	AGAP5|729092	43.2364
AGAP6|414189	120.9907	AGAP6|414189	96.2454
AGAP7|653268	153.0654	AGAP7|653268	23.7969
AGAP8|728404	18.2704	AGAP8|728404	28.0275
AGA|175	582.6228	AGA|175	298.2549
AGBL2|79841	32.8867	lowly_expressed	lowly_expressed
AGBL3|340351	6.9022	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AGBL4|84871	9.5188
AGBL5|60509	1151.8514	AGBL5|60509	650.9836
AGER|177	38.1648	AGER|177	29.0851
AGFG1|3267	1561.5104	AGFG1|3267	2249.0746
AGFG2|3268	249.6955	AGFG2|3268	454.257
AGGF1|55109	935.8506	AGGF1|55109	749.339
AGK|55750	460.4141	AGK|55750	486.5151
AGL|178	1113.2765	AGL|178	1532.5225
AGMAT|79814	43.443	AGMAT|79814	7.9323
AGPAT1|10554	2007.7588	AGPAT1|10554	1913.5854
AGPAT2|10555	854.2428	AGPAT2|10555	8476.4675
AGPAT3|56894	1896.8737	AGPAT3|56894	2624.0085
AGPAT4|56895	174.5838	AGPAT4|56895	265.468
AGPAT5|55326	691.0272	AGPAT5|55326	416.1819
AGPAT6|137964	4951.2789	AGPAT6|137964	1905.8699
AGPAT9|84803	41.8189	AGPAT9|84803	142.7816
AGPHD1|123688	36.1348	AGPHD1|123688	51.2956
AGPS|8540	2000.812	AGPS|8540	1317.2924
AGR2|10551	12590.743	AGR2|10551	657.3242
AGR3|155465	2028.4206	AGR3|155465	124.2729
AGRN|375790	6148.5993	AGRN|375790	4902.1682
AGTPBP1|23287	266.3419	AGTPBP1|23287	430.9889
AGTR1|185	18.6764	AGTR1|185	619.2491
AGTRAP|57085	1442.1437	AGTRAP|57085	474.3522
AGT|183	46.691	AGT|183	189.8466
AGXT2L2|85007	295.1157	AGXT2L2|85007	643.395
lowly_expressed	lowly_expressed	AGXT|189	5.2882
AHCTF1|25909	1782.7852	AHCTF1|25909	1842.4114
AHCYL1|10768	6904.5879	AHCYL1|10768	5110.5235
AHCYL2|23382	766.1389	AHCYL2|23382	679.5346
