gene_id	TCGA-GI-A2C9-01A-11R-A21T-07	gene_id	TCGA-GI-A2C9-11A-22R-A21T-07
ADAMTSL2|9719	292.5363	ADAMTSL2|9719	101.1772
ADAMTSL3|57188	124.5617	ADAMTSL3|57188	485.5234
ADAMTSL4|54507	158.2902	ADAMTSL4|54507	1748.966
ADAMTSL5|339366	13.0239	ADAMTSL5|339366	54.4066
ADAP1|11033	333.7552	ADAP1|11033	111.5017
ADAP2|55803	258.4739	ADAP2|55803	270.7604
ADARB1|104	1717.4821	ADARB1|104	811.3268
removed	removed	ADARB2|105	5.727
ADAR|103	10332.6098	ADAR|103	6277.7601
ADAT1|23536	393.7218	ADAT1|23536	286.0325
ADAT2|134637	205.3765	ADAT2|134637	179.4464
ADAT3|113179	51.7616	ADAT3|113179	28.9532
ADA|100	151.9452	ADA|100	168.9469
ADCK1|57143	194.6903	ADCK1|57143	137.1301
ADCK2|90956	704.6251	ADCK2|90956	571.7467
ADCK4|79934	524.2945	ADCK4|79934	542.1572
ADCK5|203054	178.9948	ADCK5|203054	86.8597
ADCY1|107	36.4001	removed	removed
ADCY2|108	1766.2381	ADCY2|108	88.4505
ADCY3|109	1988.8896	ADCY3|109	2137.986
ADCY4|196883	52.4295	ADCY4|196883	672.6058
ADCY5|111	7.6807	ADCY5|111	333.7576
ADCY6|112	639.1718	ADCY6|112	2346.8024
ADCY7|113	1397.5622	ADCY7|113	836.462
removed	removed	ADCY8|114	9.545
ADCY9|115	535.9826	ADCY9|115	807.1906
removed	removed	ADCYAP1R1|117	36.2711
ADCYAP1|116	14.3597	ADCYAP1|116	95.7684
ADC|113451	169.3104	ADC|113451	146.9933
ADD1|118	3044.5817	ADD1|118	6106.2679
ADD2|119	102.8552	ADD2|119	87.1779
ADD3|120	1350.8098	ADD3|120	4672.6058
removed	removed	ADH1A|124	68.406
ADH1B|125	6.345	ADH1B|125	9928.7305
removed	removed	ADH1C|126	400.2545
removed	removed	ADH4|127	84.3143
ADH5|128	2556.0194	ADH5|128	2937.321
ADHFE1|137872	173.6517	ADHFE1|137872	107.5406
ADI1|55256	2124.2278	ADI1|55256	1802.7362
removed	removed	ADIPOQ|9370	3803.3726
ADIPOR1|51094	3960.2605	ADIPOR1|51094	1876.5511
ADIPOR2|79602	3816.6639	ADIPOR2|79602	1826.917
ADK|132	350.6428	ADK|132	272.3513
ADM2|79924	1370.5126	ADM2|79924	55.043
ADM|133	113.8754	ADM|133	434.2984
ADNP2|22850	529.3037	ADNP2|22850	704.7407
ADNP|23394	2872.5998	ADNP|23394	2420.6172
ADORA1|134	514.2762	ADORA1|134	427.6169
ADORA2A|135	212.3827	ADORA2A|135	66.497
ADORA2B|136	313.9088	ADORA2B|136	122.4944
ADORA3|140	168.3086	ADORA3|140	108.1769
ADO|84890	508.5991	ADO|84890	676.742
ADPGK|83440	986.4685	ADPGK|83440	802.7808
ADPRHL1|113622	46.7524	ADPRHL1|113622	37.5437
ADPRHL2|54936	665.2196	ADPRHL2|54936	502.7044
ADPRH|141	276.5069	ADPRH|141	469.615
ADRA1A|148	7.3468	removed	removed
ADRA1B|147	11.6881	ADRA1B|147	60.4518
removed	removed	ADRA1D|146	7.636
ADRA2A|150	532.6432	ADRA2A|150	782.0554
ADRA2B|151	56.7707	ADRA2B|151	46.1343
ADRA2C|152	10.0184	ADRA2C|152	127.5851
ADRB1|153	13.0239	ADRB1|153	13.0449
ADRB2|154	95.1745	ADRB2|154	276.8056
ADRBK1|156	1785.6069	ADRBK1|156	2047.7251
ADRBK2|157	1075.6387	ADRBK2|157	1102.4499
ADRM1|11047	1662.715	ADRM1|11047	1151.1295
ADSL|158	1453.999	ADSL|158	778.2374
ADSSL1|122622	44.7487	ADSSL1|122622	94.4957
ADSS|159	2448.155	ADSS|159	1433.9803
AEBP1|165	16051.0937	AEBP1|165	9062.9971
AEBP2|121536	1543.4964	AEBP2|121536	1218.8991
AEN|64782	592.0855	AEN|64782	760.7381
AES|166	8881.2824	AES|166	6148.9023
AFAP1L1|134265	190.6829	AFAP1L1|134265	699.3318
AFAP1L2|84632	185.6737	AFAP1L2|84632	1138.4028
AFAP1|60312	1349.6176	AFAP1|60312	1593.0417
AFARP1|246182	6.6789	removed	removed
AFF1|4299	1327.7676	AFF1|4299	2785.8734
AFF2|2334	112.5397	AFF2|2334	96.4047
AFF3|3899	81.8167	AFF3|3899	633.153
AFF4|27125	2327.6006	AFF4|27125	3851.0977
AFG3L1|172	230.0885	AFG3L1|172	245.9434
AFG3L2|10939	2461.8634	AFG3L2|10939	1045.3452
AFMID|125061	805.4767	AFMID|125061	440.0255
removed	removed	AFP|174	20.3627
AFTPH|54812	1967.2733	AFTPH|54812	1644.6071
AG2|387763	60.7781	AG2|387763	2742.2844
AGAP11|119385	18.7043	AGAP11|119385	274.9189
AGAP1|116987	710.6362	AGAP1|116987	643.9707
AGAP2|116986	71.2874	AGAP2|116986	106.2265
AGAP3|116988	1114.3764	AGAP3|116988	1681.5145
AGAP4|119016	169.9783	AGAP4|119016	250.0795
AGAP5|729092	17.3652	AGAP5|729092	70.3945
AGAP6|414189	159.626	AGAP6|414189	163.8562
AGAP7|653268	8.6826	AGAP7|653268	7.636
AGAP8|728404	22.0404	AGAP8|728404	39.1346
AGA|175	696.2765	AGA|175	408.2087
AGBL2|79841	8.3486	AGBL2|79841	13.363
removed	removed	AGBL3|340351	7.9542
removed	removed	AGBL4|84871	5.4088
AGBL5|60509	1028.8896	AGBL5|60509	571.1168
AGER|177	11.3541	AGER|177	81.4508
AGFG1|3267	1761.8968	AGFG1|3267	1988.546
AGFG2|3268	197.0279	AGFG2|3268	579.7009
AGGF1|55109	416.4301	AGGF1|55109	858.4155
AGK|55750	813.1575	AGK|55750	502.7044
AGL|178	884.2879	AGL|178	1033.4076
AGMAT|79814	111.8718	AGMAT|79814	11.7722
AGPAT1|10554	2770.4926	AGPAT1|10554	1488.4664
AGPAT2|10555	939.7228	AGPAT2|10555	1168.3105
AGPAT3|56894	1603.9406	AGPAT3|56894	1331.8486
AGPAT4|56895	326.5988	AGPAT4|56895	355.3929
AGPAT5|55326	1161.4627	AGPAT5|55326	622.6535
AGPAT6|137964	1203.2059	AGPAT6|137964	2060.77
AGPAT9|84803	485.5569	AGPAT9|84803	161.9472
AGPHD1|123688	48.4221	AGPHD1|123688	40.4073
AGPS|8540	1256.9711	AGPS|8540	1177.5374
AGR2|10551	78.4772	AGR2|10551	924.9125
removed	removed	AGR3|155465	589.5641
AGRN|375790	8294.54	AGRN|375790	5076.6783
AGTPBP1|23287	776.7574	AGTPBP1|23287	321.9854
AGTR1|185	18.0331	removed	removed
AGTRAP|57085	734.0124	AGTRAP|57085	603.8816
