gene_id	TCGA-AC-A2FM-01A-11R-A19W-07	gene_id	TCGA-AC-A2FM-11B-32R-A19W-07
AIP|9049	2731.0391	AIP|9049	1858.075
AJAP1|55966	11.3598	AJAP1|55966	31.8108
AK1|203	633.4781	AK1|203	1217.7814
AK2|204	979.285	AK2|204	2495.5139
AK3L1|205	36.4183	AK3L1|205	251.2235
AK3|50808	1413.9659	AK3|50808	1414.7635
AK5|26289	27.7314	AK5|26289	2977.5693
AK7|122481	49.7828	AK7|122481	31.4029
AKAP10|11216	583.0271	AKAP10|11216	214.9266
AKAP11|11215	1459.7394	AKAP11|11215	557.5041
AKAP12|9590	398.9308	AKAP12|9590	1081.9739
AKAP13|11214	1652.1884	AKAP13|11214	1489.3964
AKAP1|8165	2122.6194	AKAP1|8165	1793.23
AKAP2|11217	319.1848	AKAP2|11217	271.925
AKAP3|10566	54.7945	AKAP3|10566	46.0848
AKAP5|9495	201.8042	AKAP5|9495	38.3361
AKAP6|9472	22.0515	AKAP6|9472	74.2251
AKAP7|9465	41.7641	AKAP7|9465	156.6069
AKAP8L|26993	2264.9516	AKAP8L|26993	1079.5269
AKAP8|10270	1576.0107	AKAP8|10270	682.3002
AKAP9|10142	2296.3582	AKAP9|10142	1035.0734
AKD1|221264	123.6218	AKD1|221264	84.8287
AKIRIN1|79647	616.7725	AKIRIN1|79647	1517.9445
AKIRIN2|55122	497.16	AKIRIN2|55122	837.6835
AKNA|80709	415.6365	AKNA|80709	767.9445
AKR1A1|10327	1592.3822	AKR1A1|10327	3231.2398
lowly_expressed	lowly_expressed	AKR1B15|441282	11.4192
AKR1B1|231	300.3675	AKR1B1|231	1477.1615
AKR1C1|1645	126.9629	AKR1C1|1645	1875.6117
AKR1C2|1646	88.5399	AKR1C2|1646	2152.1207
AKR1C3|8644	177.0799	AKR1C3|8644	1495.9217
AKR1E2|83592	22.0515	AKR1E2|83592	39.9674
AKR7A2|8574	1088.5399	AKR7A2|8574	2196.9821
AKR7A3|22977	1775.8102	AKR7A3|22977	386.6232
AKR7L|246181	122.9536	AKR7L|246181	28.5481
AKT1S1|84335	1217.1734	AKT1S1|84335	1604.4046
AKT1|207	8523.8891	AKT1|207	4579.1191
AKT2|208	4193.4514	AKT2|208	3288.3361
AKT3|10000	278.9843	AKT3|10000	468.5971
AKTIP|64400	414.9582	AKTIP|64400	657.5775
ALAD|210	1092.5493	ALAD|210	1889.8858
ALAS1|211	1074.1731	ALAS1|211	1163.1321
ALB|213	17.0398	ALB|213	103.1811
ALCAM|214	3920.4811	ALCAM|214	1711.2561
ALDH16A1|126133	730.0368	ALDH16A1|126133	1329.1191
ALDH18A1|5832	1866.0207	ALDH18A1|5832	1301.7945
ALDH1A1|216	298.3628	ALDH1A1|216	2226.3458
ALDH1A2|8854	25.0585	ALDH1A2|8854	163.1321
ALDH1A3|220	164.42700000000002	ALDH1A3|220	1676.9657
ALDH1B1|219	357.5008	ALDH1B1|219	574.633
ALDH1L1|10840	65.152	ALDH1L1|10840	683.9315
ALDH1L2|160428	85.867	ALDH1L2|160428	73.8173
ALDH2|217	779.4855	ALDH2|217	6664.3556
lowly_expressed	lowly_expressed	ALDH3A1|218	112.5612
ALDH3A2|224	1403.2743	ALDH3A2|224	1963.2953
ALDH3B1|221	162.0448	ALDH3B1|221	341.7618
