gene_id	TCGA-A7-A0CH-01A-21R-A00Z-07	gene_id	TCGA-A7-A0CH-11A-32R-A089-07
lowly_expressed	lowly_expressed	AKR1B15|441282	566.4316
AKR1B1|231	335.3831	AKR1B1|231	1440.9027
AKR1C1|1645	17.8813	AKR1C1|1645	7627.2685
lowly_expressed	lowly_expressed	AKR1C2|1646	8429.5252
AKR1C3|8644	73.2697	AKR1C3|8644	4857.1697
lowly_expressed	lowly_expressed	AKR1D1|6718	204.6074
lowly_expressed	lowly_expressed	AKR1E2|83592	39.1161
AKR7A2|8574	1198.9184	AKR7A2|8574	1509.3559
AKR7A3|22977	590.5186	AKR7A3|22977	303.9022
AKR7L|246181	49.7187	AKR7L|246181	22.566999999999997
AKT1S1|84335	824.7198	AKT1S1|84335	1247.9549
AKT1|207	3922.5435	AKT1|207	3733.3333
AKT2|208	1676.0434	AKT2|208	4223.4133
AKT3|10000	322.2993	AKT3|10000	733.0512
AKTIP|64400	453.8009	AKTIP|64400	652.2238
ALAD|210	1829.1247	ALAD|210	2130.7005
ALAS1|211	1184.09	ALAS1|211	1266.3846
lowly_expressed	lowly_expressed	ALAS2|212	40.9967
lowly_expressed	lowly_expressed	ALB|213	531.4528
ALCAM|214	3914.6932	ALCAM|214	2896.4739
ALDH16A1|126133	503.2928	ALDH16A1|126133	920.3573
ALDH18A1|5832	2310.611	ALDH18A1|5832	1451.8101
ALDH1A1|216	166.6012	ALDH1A1|216	2341.3258
ALDH1A2|8854	8.7226	ALDH1A2|8854	525.0588
ALDH1A3|220	169.9289	ALDH1A3|220	1804.7428
ALDH1B1|219	806.8385	ALDH1B1|219	565.6794
lowly_expressed	lowly_expressed	ALDH1L1|10840	1243.0654
ALDH1L2|160428	351.95599999999996	ALDH1L2|160428	256.5115
ALDH2|217	3295.8262	ALDH2|217	13807.9925
lowly_expressed	lowly_expressed	ALDH3A1|218	413.7283
ALDH3A2|224	2033.6692	ALDH3A2|224	3734.8378
ALDH3B1|221	108.16	ALDH3B1|221	409.591
ALDH3B2|222	7369.2704	ALDH3B2|222	5254.3488
ALDH4A1|8659	618.4308	ALDH4A1|8659	3307.1932
ALDH5A1|7915	346.2864	ALDH5A1|7915	616.8312
ALDH6A1|4329	786.6632	ALDH6A1|4329	381.2694
ALDH7A1|501	1287.8887	ALDH7A1|501	1637.9878
ALDH8A1|64577	9.1587	ALDH8A1|64577	14.2924
ALDH9A1|223	4825.7665	ALDH9A1|223	4010.9074
ALDOA|226	26743.4254	ALDOA|226	24610.8134
ALDOC|230	45.3574	ALDOC|230	2056.6055
ALG10B|144245	437.0012	ALG10B|144245	223.0371
ALG10|84920	136.9445	ALG10|84920	66.5726
ALG11|440138	19.6258	ALG11|440138	7.1462
ALG12|79087	539.4915	ALG12|79087	685.6606
ALG13|79868	468.4025	ALG13|79868	391.1613
ALG14|199857	311.39599999999996	ALG14|199857	302.3977
ALG1L|200810	8.4609	ALG1L|200810	10.0799
ALG1|56052	776.1045	ALG1|56052	633.9257
ALG2|85365	917.6152	ALG2|85365	847.3907
ALG3|10195	512.8876	ALG3|10195	768.0301
ALG5|29880	548.2141	ALG5|29880	696.9441
ALG6|29929	440.0541	ALG6|29929	247.8608
ALG8|79053	1066.3352	ALG8|79053	962.1063
ALG9|79796	656.3739999999999	ALG9|79796	775.9285
ALKBH1|8846	386.4102	ALKBH1|8846	198.9657
ALKBH2|121642	235.0735	ALKBH2|121642	264.7861
ALKBH3|221120	302.6735	ALKBH3|221120	415.985
