gene_id	TCGA-BH-A1FJ-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FJ-11B-42R-A13Q-07
AEBP1|165	6788.4655	AEBP1|165	3251.1268
AEBP2|121536	803.0541	AEBP2|121536	1740.9379
AEN|64782	422.1147	AEN|64782	445.6208
AES|166	5730.452	AES|166	4376.5575
AFAP1L1|134265	207.2398	AFAP1L1|134265	492.4586
AFAP1L2|84632	1139.8187	AFAP1L2|84632	1048.9554
AFAP1|60312	1222.4228	AFAP1|60312	999.998
AFARP1|246182	9.5439	lowly_expressed	lowly_expressed
AFF1|4299	3063.6035	AFF1|4299	4142.1038
AFF2|2334	6.5444	AFF2|2334	125.9593
AFF3|3899	9213.4433	AFF3|3899	1472.8774
AFF4|27125	4999.9318	AFF4|27125	6378.4112
AFG3L1|172	200.6953	AFG3L1|172	231.0136
AFG3L2|10939	1430.4179	AFG3L2|10939	1357.3679
AFMID|125061	641.0798	AFMID|125061	475.7876
lowly_expressed	lowly_expressed	AFP|174	15.348
AFTPH|54812	2507.3284	AFTPH|54812	2600.4251
AG2|387763	56.1729	AG2|387763	371.2625
AGAP11|119385	49.1649	AGAP11|119385	224.4008
AGAP1|116987	609.1758	AGAP1|116987	563.9062
AGAP2|116986	21.1794	AGAP2|116986	16.859
AGAP3|116988	736.7919	AGAP3|116988	361.2069
AGAP4|119016	130.0702	AGAP4|119016	119.0792
AGAP5|729092	97.0182	AGAP5|729092	61.8127
AGAP6|414189	69.8071	AGAP6|414189	118.2853
AGAP7|653268	6.8171	AGAP7|653268	5.8216
AGAP8|728404	52.3553	AGAP8|728404	44.1916
AGA|175	1156.1797	AGA|175	673.1944
AGBL2|79841	38.9938	AGBL2|79841	19.3173
lowly_expressed	lowly_expressed	AGBL3|340351	15.8772
AGBL4|84871	24.8142	AGBL4|84871	7.9386
AGBL5|60509	849.6939	AGBL5|60509	616.0496
AGER|177	9.8166	AGER|177	19.0527
AGFG1|3267	1670.7342	AGFG1|3267	3198.2027
AGFG2|3268	418.5698	AGFG2|3268	429.2144
AGGF1|55109	1159.1792	AGGF1|55109	942.3134
AGK|55750	576.1811	AGK|55750	602.8054
AGL|178	665.6214	AGL|178	1782.7479
AGMAT|79814	43.9021	AGMAT|79814	14.2895
AGPAT1|10554	2066.663	AGPAT1|10554	1459.1806
AGPAT2|10555	483.7412	AGPAT2|10555	453.0302
AGPAT3|56894	1989.229	AGPAT3|56894	1239.4822
AGPAT4|56895	103.8926	AGPAT4|56895	275.4699
AGPAT5|55326	792.4194	AGPAT5|55326	887.8016
AGPAT6|137964	1540.664	AGPAT6|137964	1375.7617
AGPAT9|84803	62.4446	AGPAT9|84803	180.7358
AGPHD1|123688	41.448	AGPHD1|123688	73.8291
AGPS|8540	261.2312	AGPS|8540	2073.8304
