gene_id	TCGA-BH-A0BT-01A-11R-A12P-07	gene_id	TCGA-BH-A0BT-11A-21R-A12P-07
ADAMTS8|11095	8.8199	ADAMTS8|11095	44.1574
ADAMTS9|56999	140.7354	ADAMTS9|56999	428.327
ADAMTSL1|92949	34.1293	ADAMTSL1|92949	30.5088
ADAMTSL2|9719	148.4049	ADAMTSL2|9719	18.8673
ADAMTSL3|57188	49.0848	ADAMTSL3|57188	59.4118
ADAMTSL4|54507	371.5875	ADAMTSL4|54507	293.8476
ADAMTSL5|339366	174.8647	ADAMTSL5|339366	54.1932
ADAP1|11033	270.6569	ADAP1|11033	112.9547
ADAP2|55803	126.5468	ADAP2|55803	121.2322
ADARB1|104	221.6487	ADARB1|104	752.6833
ADAR|103	15770.8045	ADAR|103	7257.0715
ADAT1|23536	138.0511	ADAT1|23536	344.4279
ADAT2|134637	77.0785	ADAT2|134637	180.644
ADAT3|113179	21.8581	ADAT3|113179	12.0429
ADA|100	356.632	ADA|100	43.756
ADCK1|57143	603.9736	ADCK1|57143	152.5438
ADCK2|90956	1359.4199	ADCK2|90956	1000.3663
ADCK4|79934	942.5822	ADCK4|79934	494.5631
ADCK5|203054	236.6042	ADCK5|203054	57.8061
lowly_expressed	lowly_expressed	ADCY10|55811	5.62
ADCY1|107	971.7264	ADCY1|107	1770.7126
ADCY2|108	133.4494	ADCY2|108	67.4404
ADCY3|109	306.3354	ADCY3|109	967.6938
ADCY4|196883	108.907	ADCY4|196883	309.5034
ADCY5|111	32.5954	ADCY5|111	348.8436
ADCY6|112	1310.335	ADCY6|112	2054.5244
ADCY7|113	302.1785	ADCY7|113	263.3388
ADCY9|115	937.2136	ADCY9|115	801.6579
lowly_expressed	lowly_expressed	ADCYAP1R1|117	12.4444
ADCYAP1|116	9.5869	ADCYAP1|116	6.4229
ADC|113451	131.9155	ADC|113451	144.1138
ADD1|118	3973.1874	ADD1|118	6349.8372
ADD2|119	15.339	ADD2|119	32.5159
ADD3|120	723.6179	ADD3|120	2220.7169
lowly_expressed	lowly_expressed	ADH1A|124	5.62
ADH1B|125	141.8859	ADH1B|125	757.5005
ADH1C|126	74.0107	ADH1C|126	52.5875
lowly_expressed	lowly_expressed	ADH4|127	16.8601
ADH5|128	2301.6186	ADH5|128	3015.9519
ADHFE1|137872	440.9966	ADHFE1|137872	150.5367
ADI1|55256	1268.5362	ADI1|55256	1252.0636
ADIPOQ|9370	71.3264	ADIPOQ|9370	81.8919
