gene_id	TCGA-BH-A18M-01A-11R-A12D-07	gene_id	TCGA-BH-A18M-11A-33R-A12D-07
ALMS1P|200420	8.4482	ALMS1P|200420	6.1701
ALMS1|7840	1342.8932	ALMS1|7840	883.6492
ALOX12P2|245	62.8104	ALOX12P2|245	24.2398
ALOX12|239	6.2663	lowly_expressed	lowly_expressed
ALOX15B|247	51.0564	ALOX15B|247	97.3997
ALOX15|246	5.877000000000001	ALOX15|246	9.2552
ALOX5AP|241	250.5069	ALOX5AP|241	245.0419
ALOX5|240	341.6003	ALOX5|240	441.6042
ALOXE3|59344	35.262	ALOXE3|59344	14.1031
ALPK1|80216	625.8999	ALPK1|80216	741.7364
ALPK2|115701	87.053	ALPK2|115701	13.2217
