gene_id	TCGA-BH-A0B5-01A-11R-A12P-07	gene_id	TCGA-BH-A0B5-11A-23R-A12P-07
ADH1B|125	735.4903	ADH1B|125	118616.1179
ADH1C|126	11.0073	ADH1C|126	1008.2322
lowly_expressed	lowly_expressed	ADH4|127	35.0953
ADH5|128	1436.2909	ADH5|128	6690.6412
ADHFE1|137872	94.7298	ADHFE1|137872	904.6794
ADI1|55256	1808.539	ADI1|55256	2841.4211
ADIPOQ|9370	828.8859	ADIPOQ|9370	125298.0936
ADIPOR1|51094	3850.9006	ADIPOR1|51094	2300.26
ADIPOR2|79602	4456.3042	ADIPOR2|79602	9971.4038
ADK|132	278.519	ADK|132	532.4957
ADM2|79924	170.7805	lowly_expressed	lowly_expressed
ADM|133	103.4023	ADM|133	771.6638
ADNP2|22850	853.2355	ADNP2|22850	610.4853
ADNP|23394	4858.5724	ADNP|23394	1928.9428
ADORA1|134	149.0994	ADORA1|134	834.0555
ADORA2A|135	552.3616	ADORA2A|135	34.2288
ADORA2B|136	36.6911	ADORA2B|136	20.364
ADORA3|140	319.8799	ADORA3|140	52.4263
ADO|84890	632.0881	ADO|84890	456.2392
ADPGK|83440	920.4003	ADPGK|83440	618.1239
ADPRHL1|113622	110.4069	ADPRHL1|113622	74.9567
ADPRHL2|54936	599.7332	ADPRHL2|54936	419.844
ADPRH|141	171.7812	ADPRH|141	516.8977
lowly_expressed	lowly_expressed	ADRA1A|148	142.5477
lowly_expressed	lowly_expressed	ADRA1B|147	44.1941
lowly_expressed	lowly_expressed	ADRA1D|146	8.6655
ADRA2A|150	231.1541	ADRA2A|150	2941.9411
ADRA2B|151	31.0207	ADRA2B|151	41.5945
ADRA2C|152	19.6798	ADRA2C|152	126.0832
ADRB1|153	67.0447	ADRB1|153	312.825
ADRB2|154	82.0547	ADRB2|154	811.5251
lowly_expressed	lowly_expressed	ADRB3|155	110.4853
ADRBK1|156	1675.4503	ADRBK1|156	920.7106
ADRBK2|157	590.7272	ADRBK2|157	8125.6499
ADRM1|11047	1093.7292	ADRM1|11047	1578.4229
ADSL|158	523.6825	ADSL|158	770.7972
ADSSL1|122622	100.0667	ADSSL1|122622	364.818
ADSS|159	2263.509	ADSS|159	590.1213
AEBP1|165	15694.7965	AEBP1|165	5488.7348
AEBP2|121536	711.1408	AEBP2|121536	605.286
AEN|64782	421.6144	AEN|64782	101.8198
AES|166	7134.7565	AES|166	7082.3224
AFAP1L1|134265	228.4857	AFAP1L1|134265	1893.4142
AFAP1L2|84632	3151.7678	AFAP1L2|84632	321.4905
AFAP1|60312	1801.1841	AFAP1|60312	1315.4246
AFF1|4299	2513.3422	AFF1|4299	2642.9809
AFF2|2334	38.0254	AFF2|2334	601.3865
AFF3|3899	1568.0454	AFF3|3899	454.5061
AFF4|27125	4606.4043	AFF4|27125	2204.5061
AFG3L1|172	231.1541	AFG3L1|172	149.4801
AFG3L2|10939	1604.0127	AFG3L2|10939	1684.1638
AFMID|125061	344.8966	AFMID|125061	194.1075
AFP|174	30.6871	lowly_expressed	lowly_expressed
AFTPH|54812	2159.4396	AFTPH|54812	857.4523
AG2|387763	152.1014	AG2|387763	369.1508
AGAP11|119385	23.6858	AGAP11|119385	357.8856
AGAP1|116987	831.5544	AGAP1|116987	330.5893
AGAP2|116986	96.3442	AGAP2|116986	38.2322
AGAP3|116988	1095.7305	AGAP3|116988	1000
AGAP4|119016	293.8626	AGAP4|119016	145.5806
AGAP5|729092	80.3869	AGAP5|729092	19.4194
AGAP6|414189	155.1034	AGAP6|414189	73.2236
AGAP7|653268	14.6765	lowly_expressed	lowly_expressed
AGAP8|728404	62.0414	AGAP8|728404	32.0624
AGA|175	327.2181	AGA|175	401.2132
AGBL2|79841	38.6925	lowly_expressed	lowly_expressed
AGBL3|340351	5.3369	AGBL3|340351	6.0659
AGBL4|84871	9.6731	lowly_expressed	lowly_expressed
AGBL5|60509	829.5697	AGBL5|60509	625.221
AGER|177	79.0527	AGER|177	23.3969
AGFG1|3267	1979.9867	AGFG1|3267	2626.0832
AGFG2|3268	506.3376	AGFG2|3268	302.4263
AGGF1|55109	1151.7678	AGGF1|55109	991.3345
AGK|55750	537.3582	AGK|55750	453.6395
AGL|178	1103.4023	AGL|178	1665.078
