gene_id	TCGA-BH-A0BM-01A-11R-A056-07	gene_id	TCGA-BH-A0BM-11A-12R-A089-07
ADORA2B|136	35.0318	ADORA2B|136	155.9891
ADORA3|140	112.1019	ADORA3|140	92.3287
ADO|84890	787.8981	ADO|84890	928.3462
ADPGK|83440	1048.4076	ADPGK|83440	710.8046
ADPRHL1|113622	136.3057	ADPRHL1|113622	30.3546
ADPRHL2|54936	840.1274	ADPRHL2|54936	640.3987
ADPRH|141	220.3822	ADPRH|141	461.2219
ADRA1A|148	6.3694	ADRA1A|148	5.4807
ADRA1B|147	14.6497	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADRA1D|146	10.1182
ADRA2A|150	390.4459	ADRA2A|150	695.2057
ADRA2B|151	14.6497	ADRA2B|151	39.2081
ADRA2C|152	15.9236	ADRA2C|152	39.6297
ADRB1|153	31.8471	ADRB1|153	34.5706
ADRB2|154	75.1592	ADRB2|154	170.3233
ADRB3|155	11.465	lowly_expressed	lowly_expressed
ADRBK1|156	1514.6497	ADRBK1|156	1500.8685
ADRBK2|157	725.4777	ADRBK2|157	1083.9137
ADRM1|11047	1412.1019	ADRM1|11047	1204.4891
ADSL|158	755.414	ADSL|158	961.652
ADSSL1|122622	166.879	ADSSL1|122622	124.3697
ADSS|159	1889.8089	ADSS|159	1225.5687
AEBP1|165	14505.7325	AEBP1|165	2804.0102
AEBP2|121536	728.6624	AEBP2|121536	916.12
AEN|64782	432.4841	AEN|64782	477.664
AES|166	11283.4395	AES|166	7189.8346
AFAP1L1|134265	228.6624	AFAP1L1|134265	182.1279
AFAP1L2|84632	477.0701	AFAP1L2|84632	1830.5536
AFAP1|60312	1245.2038	AFAP1|60312	1248.3221
AFF1|4299	1969.4268	AFF1|4299	1730.2147
AFF2|2334	47.1338	AFF2|2334	24.4524
AFF3|3899	526.7516	AFF3|3899	1212.4994
AFF4|27125	2733.758	AFF4|27125	2895.4957
AFG3L1|172	154.7771	AFG3L1|172	254.6417
AFG3L2|10939	951.6561	AFG3L2|10939	1199.8727
AFMID|125061	1021.0191	AFMID|125061	560.2961
lowly_expressed	lowly_expressed	AFP|174	199.8347
AFTPH|54812	2404.4586	AFTPH|54812	1648.4258
AG2|387763	488.535	AG2|387763	113.4083
AGAP11|119385	13.3758	AGAP11|119385	68.7238
AGAP1|116987	476.4331	AGAP1|116987	403.4638
AGAP2|116986	57.5732	AGAP2|116986	59.9378
AGAP3|116988	1233.758	AGAP3|116988	2024.9077
AGAP4|119016	201.2739	AGAP4|119016	227.6598
AGAP5|729092	43.3121	AGAP5|729092	41.1643
AGAP6|414189	133.121	AGAP6|414189	108.3492
AGAP7|653268	22.9299	AGAP7|653268	13.491
AGAP8|728404	45.8599	AGAP8|728404	33.3058
AGA|175	485.9873	AGA|175	392.0808
AGBL2|79841	36.9427	AGBL2|79841	13.491
AGBL4|84871	12.1019	AGBL4|84871	16.0205
AGBL5|60509	512.1529	AGBL5|60509	850.8069
AGER|177	25.4777	AGER|177	32.8842
AGFG1|3267	1503.8217	AGFG1|3267	1287.1212
AGFG2|3268	485.3503	AGFG2|3268	538.7949
AGGF1|55109	771.9745	AGGF1|55109	827.5856
AGK|55750	657.9618	AGK|55750	608.3576
AGL|178	984.0764	AGL|178	781.6321
AGMAT|79814	15.9236	AGMAT|79814	6.3239
AGPAT1|10554	1527.8217	AGPAT1|10554	1992.8119
AGPAT2|10555	2603.8217	AGPAT2|10555	978.0941
AGPAT3|56894	2006.3694	AGPAT3|56894	1703.2328
AGPAT4|56895	156.051	AGPAT4|56895	406.4149
AGPAT5|55326	583.4395	AGPAT5|55326	683.4011
AGPAT6|137964	1533.758	AGPAT6|137964	1614.6984
AGPAT9|84803	91.7197	AGPAT9|84803	116.7811
AGPHD1|123688	65.6051	AGPHD1|123688	56.915
AGPS|8540	569.4268	AGPS|8540	1034.1658
AGR2|10551	7988.535	AGR2|10551	1981.9053
AGR3|155465	3509.5541	AGR3|155465	318.7238
AGRN|375790	3952.8662	AGRN|375790	6453.3129
AGTPBP1|23287	156.6879	AGTPBP1|23287	253.377
AGTR1|185	137.5796	AGTR1|185	117.2027
AGTRAP|57085	1443.3121	AGTRAP|57085	666.5374
AGT|183	115.9236	AGT|183	8.4318
lowly_expressed	lowly_expressed	AGXT2L1|64850	6.3239
AGXT2L2|85007	513.3121	AGXT2L2|85007	369.9346
AHCTF1|25909	1562.4204	AHCTF1|25909	1252.129
AHCYL1|10768	3241.4013	AHCYL1|10768	3329.3142
AHCYL2|23382	785.9873	AHCYL2|23382	442.2503
AHCY|191	5414.6497	AHCY|191	3259.3298
AHDC1|27245	849.6815	AHDC1|27245	1993.2883
AHI1|54806	173.2484	AHI1|54806	311.1351
AHNAK2|113146	524.8408	AHNAK2|113146	461.6435
AHNAK|79026	30665.6051	AHNAK|79026	69510.8686
AHRR|57491	15.9236	AHRR|57491	18.1285
AHR|196	2356.6879	AHR|196	2830.9921
AHSA1|10598	2150.3185	AHSA1|10598	2113.442
AHSA2|130872	377.0701	AHSA2|130872	360.883
AIDA|64853	1729.9363	AIDA|64853	1172.0265
AIF1L|83543	937.5796	AIF1L|83543	2371.0349
AIF1|199	352.8662	AIF1|199	365.0989
AIFM1|9131	882.8025	AIFM1|9131	617.6327
AIFM2|84883	515.9236	AIFM2|84883	414.4252
AIFM3|150209	38.7197	AIFM3|150209	10.1182
AIG1|51390	677.0701	AIG1|51390	929.611
AIM1L|55057	17.1975	lowly_expressed	lowly_expressed
AIM1|202	810.828	AIM1|202	4165.7532
AIM2|9447	10.1911	AIM2|9447	5.4807
AIMP1|9255	1364.3567	AIMP1|9255	1129.4457
AIMP2|7965	357.2038	AIMP2|7965	291.2486
AIP|9049	1108.2803	AIP|9049	955.3281
AJAP1|55966	7.0064	AJAP1|55966	31.1978
AK1|203	617.1975	AK1|203	602.8769
AK2|204	3065.6051	AK2|204	2227.6936
AK3L1|205	363.6943	AK3L1|205	404.307
AK3|50808	1375.1592	AK3|50808	1645.053
AK5|26289	965.6051	AK5|26289	2573.8208
AK7|122481	8.9172	AK7|122481	28.2467
AKAP10|11216	212.7389	AKAP10|11216	332.6363
AKAP11|11215	1224.2038	AKAP11|11215	1559.4698
AKAP12|9590	826.7516	AKAP12|9590	732.7274
AKAP13|11214	2041.4013	AKAP13|11214	3257.2219
AKAP1|8165	1529.2994	AKAP1|8165	3236.5639
AKAP2|11217	585.0637	AKAP2|11217	1716.1714
AKAP3|10566	16.5605	AKAP3|10566	58.1797
AKAP5|9495	746.4968	AKAP5|9495	94.0151
AKAP6|9472	59.2357	AKAP6|9472	386.6001
AKAP7|9465	80.2548	AKAP7|9465	207.845
AKAP8L|26993	880.8917	AKAP8L|26993	847.8221
AKAP8|10270	607.0064	AKAP8|10270	693.5193
AKAP9|10142	1634.3949	AKAP9|10142	2047.6737
AKD1|221264	110.828	AKD1|221264	90.6423
AKIRIN1|79647	833.758	AKIRIN1|79647	1039.6465
AKIRIN2|55122	593.6306	AKIRIN2|55122	894.6188
AKNA|80709	672.6115	AKNA|80709	726.8251
AKR1A1|10327	2795.5414	AKR1A1|10327	1825.9161
AKR1B10|57016	36.3057	AKR1B10|57016	729.7762
AKR1B15|441282	8.2803	lowly_expressed	lowly_expressed
AKR1B1|231	623.5669	AKR1B1|231	1116.7979
AKR1C1|1645	554.1401	AKR1C1|1645	2030.3884
AKR1C2|1646	738.8535	AKR1C2|1646	620.5838
AKR1C3|8644	651.5924	AKR1C3|8644	911.4825
AKR1E2|83592	20.3822	AKR1E2|83592	19.8148
AKR7A2|8574	1008.9172	AKR7A2|8574	1153.8980000000001
AKR7A3|22977	263.0573	AKR7A3|22977	167.7937
AKR7L|246181	22.293000000000003	AKR7L|246181	13.0694
AKT1S1|84335	1033.758	AKT1S1|84335	809.4572
AKT1|207	4250.3185	AKT1|207	3281.6742
AKT2|208	1840.1274	AKT2|208	1935.9517
AKT3|10000	424.2038	AKT3|10000	979.7804
AKTIP|64400	557.8025	AKTIP|64400	614.437
ALAD|210	2614.0127	ALAD|210	1663.6031
ALAS1|211	826.7516	ALAS1|211	1004.6544
ALB|213	63.6943	ALB|213	1452.3854
ALCAM|214	6445.2229	ALCAM|214	4033.7948
ALDH16A1|126133	450.9554	ALDH16A1|126133	581.7973
ALDH18A1|5832	2357.3248	ALDH18A1|5832	1733.5874
ALDH1A1|216	1386.6242	ALDH1A1|216	951.1122
ALDH1A2|8854	98.0892	ALDH1A2|8854	191.4029
ALDH1A3|220	494.8153	ALDH1A3|220	2285.2114
ALDH1B1|219	758.5987	ALDH1B1|219	496.2141
ALDH1L1|10840	152.8662	lowly_expressed	lowly_expressed
ALDH1L2|160428	311.465	ALDH1L2|160428	122.2618
ALDH2|217	8488.535	ALDH2|217	2604.1754
ALDH3A1|218	13.3758	ALDH3A1|218	827.164
ALDH3A2|224	1081.5287	ALDH3A2|224	3084.369
ALDH3B1|221	99.3631	ALDH3B1|221	202.3643
ALDH3B2|222	2193.6306	ALDH3B2|222	1825.9161
ALDH4A1|8659	535.0318	ALDH4A1|8659	795.9662
ALDH5A1|7915	367.5159	ALDH5A1|7915	487.7823
ALDH6A1|4329	449.1274	ALDH6A1|4329	308.243
ALDH7A1|501	2035.0318	ALDH7A1|501	2800.6374
ALDH8A1|64577	5.7325	ALDH8A1|64577	20.658
ALDH9A1|223	4719.7452	ALDH9A1|223	2640.4324
ALDOA|226	30367.5159	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ALDOB|229	5.0591
ALDOC|230	318.4713	ALDOC|230	1156.4276
ALG10B|144245	363.6943	ALG10B|144245	258.4361
ALG10|84920	105.0955	ALG10|84920	96.12299999999999
lowly_expressed	lowly_expressed	ALG11|440138	10.5398
ALG12|79087	909.5541	ALG12|79087	597.8178
ALG13|79868	659.2357	ALG13|79868	465.0163
ALG14|199857	356.051	ALG14|199857	159.7835
lowly_expressed	lowly_expressed	ALG1L|200810	9.958
ALG1|56052	355.5669	ALG1|56052	358.81300000000005
ALG2|85365	1452.8662	ALG2|85365	1067.05
ALG3|10195	600.6369	ALG3|10195	601.1906
ALG5|29880	911.465	ALG5|29880	544.2756
ALG6|29929	420.3822	ALG6|29929	219.6496
ALG8|79053	1180.8917	ALG8|79053	731.041
ALG9|79796	678.9809	ALG9|79796	586.4348
ALKBH1|8846	277.707	ALKBH1|8846	202.3643
ALKBH2|121642	410.82800000000003	ALKBH2|121642	383.2274
ALKBH3|221120	260.5096	ALKBH3|221120	381.541
ALKBH4|54784	333.121	ALKBH4|54784	299.7479
ALKBH5|54890	1687.8981	ALKBH5|54890	2681.9845
ALKBH6|84964	98.0892	ALKBH6|84964	46.7967
ALKBH7|84266	896.8153	ALKBH7|84266	618.0543
ALKBH8|91801	335.6688	ALKBH8|91801	239.0428
ALMS1|7840	655.414	ALMS1|7840	695.2057
lowly_expressed	lowly_expressed	ALOX12B|242	7.5844
lowly_expressed	lowly_expressed	ALOX12P2|245	15.5989
ALOX12|239	6.4076	ALOX12|239	11.8046
ALOX15B|247	51.5924	ALOX15B|247	356.2455
ALOX15|246	58.5987	ALOX15|246	545.962
ALOX5AP|241	133.75799999999998	ALOX5AP|241	237.778
ALOX5|240	321.6561	ALOX5|240	609.6224
lowly_expressed	lowly_expressed	ALOXE3|59344	19.8148
