gene_id	TCGA-E9-A1RI-01A-11R-A169-07	gene_id	TCGA-E9-A1RI-11A-41R-A169-07
AKR1C2|1646	51.1172	AKR1C2|1646	9612.9843
AKR1C3|8644	1399.132	AKR1C3|8644	4560.7188
AKR1D1|6718	6.7513	removed	removed
AKR1E2|83592	16.7176	AKR1E2|83592	32.4606
AKR7A2|8574	967.0471	AKR7A2|8574	1298.4253
AKR7A3|22977	680.2765	removed	removed
AKR7L|246181	48.5452	removed	removed
AKT1S1|84335	1085.999	AKT1S1|84335	809.5836
AKT1|207	2376.4668	AKT1|207	2141.6288
AKT2|208	3203.3435	AKT2|208	3344.6044
AKT3|10000	979.2638	AKT3|10000	1704.9560000000001
AKTIP|64400	629.7926	AKTIP|64400	1262.1892
ALAD|210	1420.0289	ALAD|210	2621.5825
ALAS1|211	668.3813	ALAS1|211	1187.9046
removed	removed	ALAS2|212	7.7287
removed	removed	ALB|213	142.2085
ALCAM|214	9402.0254	ALCAM|214	967.2495
ALDH16A1|126133	439.1577	ALDH16A1|126133	245.3869
ALDH18A1|5832	3622.2472	ALDH18A1|5832	1154.2846
ALDH1A1|216	893.4255	ALDH1A1|216	16188.1944
ALDH1A2|8854	130.5256	ALDH1A2|8854	401.8935
ALDH1A3|220	859.8167	ALDH1A3|220	462.5292
ALDH1B1|219	1657.6113	ALDH1B1|219	534.8276
removed	removed	ALDH1L1|10840	3118.1528
ALDH1L2|160428	1106.253	ALDH1L2|160428	630.6637
ALDH2|217	2548.1434	ALDH2|217	30588.7354
removed	removed	ALDH3A1|218	6.5694
ALDH3A2|224	1170.2299	ALDH3A2|224	6370.0126
ALDH3B1|221	197.3959	ALDH3B1|221	222.9736
ALDH3B2|222	1866.9024	ALDH3B2|222	186.6486
ALDH4A1|8659	891.4965	ALDH4A1|8659	5525.2633
ALDH5A1|7915	398.6497	ALDH5A1|7915	1242.392
ALDH6A1|4329	767.2432	ALDH6A1|4329	1583.0316
ALDH7A1|501	1467.9312	ALDH7A1|501	1440.2473
ALDH8A1|64577	17.0391	ALDH8A1|64577	11.9795
ALDH9A1|223	2479.9871	ALDH9A1|223	5413.9697
ALDOA|226	21837.9682	ALDOA|226	12526.326000000001
removed	removed	ALDOB|229	69.5585
ALDOC|230	76.1935	ALDOC|230	3156.41
ALG10B|144245	515.0297	ALG10B|144245	405.3715
ALG10|84920	150.1366	ALG10|84920	130.6154
ALG11|440138	24.1119	ALG11|440138	10.0473
ALG12|79087	383.2181	ALG12|79087	289.4406
ALG13|79868	754.5411	ALG13|79868	505.8448
ALG14|199857	269.4101	ALG14|199857	375.2294
removed	removed	ALG1L|200810	6.438
ALG1|56052	653.6859	ALG1|56052	352.9978
ALG2|85365	1067.031	ALG2|85365	749.2996
ALG3|10195	697.637	ALG3|10195	507.777
ALG5|29880	730.1077	ALG5|29880	704.4730000000001
ALG6|29929	446.55199999999996	ALG6|29929	310.3082
ALG8|79053	1415.8495	ALG8|79053	1121.8239999999998
ALG9|79796	560.3601	ALG9|79796	1071.5873
ALKBH1|8846	523.3885	ALKBH1|8846	199.40099999999998
ALKBH2|121642	267.1596	ALKBH2|121642	84.6295
ALKBH3|221120	315.7049	ALKBH3|221120	361.7042
ALKBH4|54784	197.965	ALKBH4|54784	100.7709
ALKBH5|54890	1768.1529999999998	ALKBH5|54890	2352.99
ALKBH6|84964	136.9555	ALKBH6|84964	35.5521
ALKBH7|84266	289.9855	ALKBH7|84266	199.7875
ALKBH8|91801	403.4721	ALKBH8|91801	272.051
removed	removed	ALK|238	6.5694
ALMS1P|200420	6.7513	removed	removed
ALMS1|7840	767.7222	ALMS1|7840	1127.6205
ALOX15B|247	829.7701	ALOX15B|247	27.0505
ALOX5AP|241	588.9728	ALOX5AP|241	482.6587
ALOX5|240	452.9818	ALOX5|240	176.2149
ALOXE3|59344	12.8597	removed	removed
ALPK1|80216	586.7224	ALPK1|80216	427.3983
ALPK2|115701	67.5133	ALPK2|115701	23.5726
ALPK3|57538	140.4919	ALPK3|57538	1675.2005
ALPL|249	63.9769	ALPL|249	901.169
ALS2CL|259173	104.1633	ALS2CL|259173	175.8284
removed	removed	ALS2CR11|151254	39.4165
removed	removed	ALS2CR12|130540	17.3896
ALS2CR4|65062	515.0297	ALS2CR4|65062	819.6310000000001
ALS2CR8|79800	261.0513	ALS2CR8|79800	211.3805
ALS2|57679	700.209	ALS2|57679	752.0046
ALX3|257	9.0018	ALX3|257	5.4101
AMACR|23600	798.5854	AMACR|23600	363.2499
AMBRA1|55626	756.1485	AMBRA1|55626	548.7393
AMD1|262	988.9085	AMD1|262	1279.8763
AMDHD1|144193	35.0426	AMDHD1|144193	7.3423
AMDHD2|51005	123.4078	AMDHD2|51005	57.3703
AMFR|267	2788.6192	AMFR|267	3371.2685
