gene_id	TCGA-BH-A18S-01A-11R-A12D-07	gene_id	TCGA-BH-A18S-11A-43R-A12D-07
lowly_expressed	lowly_expressed	ADRA1D|146	5.6926
ADRA2A|150	74.4625	ADRA2A|150	1445.4459
ADRA2B|151	7.5116	ADRA2B|151	26.5655
lowly_expressed	lowly_expressed	ADRA2C|152	97.723
lowly_expressed	lowly_expressed	ADRB1|153	55.9772
ADRB2|154	17.9624	ADRB2|154	481.9734
ADRBK1|156	1493.4951	ADRBK1|156	1617.1727
ADRBK2|157	986.3012	ADRBK2|157	1514.2315
ADRM1|11047	1299.8274	ADRM1|11047	1259.962
ADSL|158	717.1912	ADSL|158	700.6641
ADSSL1|122622	106.7949	ADSSL1|122622	202.5617
ADSS|159	3140.8141	ADSS|159	1231.9734
AEBP1|165	3398.82	AEBP1|165	3820.6831
AEBP2|121536	691.3906	AEBP2|121536	829.6964
AEN|64782	283.1534	AEN|64782	562.6186
AES|166	7120.6374	AES|166	6236.7173
AFAP1L1|134265	135.8614	AFAP1L1|134265	610.5313
AFAP1L2|84632	124.1041	AFAP1L2|84632	904.649
AFAP1|60312	742.9885	AFAP1|60312	1311.1622
AFARP1|246182	8.1647	AFARP1|246182	6.167
AFF1|4299	2074.1718	AFF1|4299	2439.7533
AFF2|2334	5.552	AFF2|2334	43.1689
AFF3|3899	4371.0779	AFF3|3899	948.7666
AFF4|27125	4234.8899	AFF4|27125	3484.8197
AFG3L1|172	208.0377	AFG3L1|172	259.0133
AFG3L2|10939	1459.3077	AFG3L2|10939	1147.9696
AFMID|125061	2120.5476	AFMID|125061	605.3131
AFP|174	150.8845	AFP|174	109.1082
AFTPH|54812	3992.2337	AFTPH|54812	1657.4953
AG2|387763	103.8556	AG2|387763	1935.0047
AGAP11|119385	74.1783	AGAP11|119385	207.7846
AGAP1|116987	657.0987	AGAP1|116987	475.8065
AGAP2|116986	30.3631	AGAP2|116986	98.4725
AGAP3|116988	988.9139	AGAP3|116988	1559.2979
AGAP4|119016	122.1446	AGAP4|119016	241.4611
AGAP5|729092	116.8963	AGAP5|729092	76.0579
AGAP6|414189	46.0492	AGAP6|414189	71.6319
lowly_expressed	lowly_expressed	AGAP7|653268	15.1803
AGAP8|728404	28.7399	AGAP8|728404	49.3359
AGA|175	756.0554	AGA|175	384.7249
AGBL2|79841	35.5983	AGBL2|79841	18.9753
AGBL3|340351	14.0434	lowly_expressed	lowly_expressed
AGBL4|84871	14.6965	lowly_expressed	lowly_expressed
AGBL5|60509	677.0337	AGBL5|60509	608.6765
AGER|177	6.5318	AGER|177	38.425
AGFG1|3267	1499.7004	AGFG1|3267	2027.9886
AGFG2|3268	468.0032	AGFG2|3268	454.4592
AGGF1|55109	1319.7494	AGGF1|55109	644.6869
AGK|55750	657.0987	AGK|55750	534.63
AGL|178	833.4572	AGL|178	1117.1727
AGMAT|79814	34.6185	AGMAT|79814	9.962
AGPAT1|10554	1667.316	AGPAT1|10554	1441.3567
AGPAT2|10555	667.8761	AGPAT2|10555	3948.2922
AGPAT3|56894	1930.4723	AGPAT3|56894	1691.1765
AGPAT4|56895	19.2688	AGPAT4|56895	232.9222
AGPAT5|55326	1000.6711	AGPAT5|55326	645.6357
AGPAT6|137964	2385.7385	AGPAT6|137964	1634.2505
AGPAT9|84803	28.0867	AGPAT9|84803	185.0095
AGPHD1|123688	44.4162	AGPHD1|123688	50.2846
AGPS|8540	2143.4088	AGPS|8540	1104.3643
AGR2|10551	12056.0624	AGR2|10551	2469.1651
AGR3|155465	1972.6024	AGR3|155465	723.4345
AGRN|375790	1966.3972	AGRN|375790	2750.9488
AGTPBP1|23287	229.5926	AGTPBP1|23287	436.4326
AGTR1|185	865.7896	AGTR1|185	234.8197
AGTRAP|57085	897.4688	AGTRAP|57085	575.9013
AGT|183	193.0146	AGT|183	28.463
AGXT2L2|85007	310.0807	AGXT2L2|85007	603.1214
lowly_expressed	lowly_expressed	AGXT|189	10.9108
AHCTF1|25909	2736.8225	AHCTF1|25909	1386.6224
AHCYL1|10768	8075.2594	AHCYL1|10768	3901.3283
AHCYL2|23382	649.9137	AHCYL2|23382	644.6869
AHCY|191	2689.7936	AHCY|191	1886.6224
AHDC1|27245	870.0352	AHDC1|27245	839.6584
AHI1|54806	259.9655	AHI1|54806	383.3017
AHNAK2|113146	339.6534	AHNAK2|113146	1109.1082
AHNAK|79026	37484.9973	AHNAK|79026	76152.7514
lowly_expressed	lowly_expressed	AHRR|57491	5.6926
AHR|196	883.752	AHR|196	4113.3776
AHSA1|10598	1725.3739	AHSA1|10598	1144.2125
AHSA2|130872	137.1677	AHSA2|130872	562.1442
AIDA|64853	1510.5464	AIDA|64853	908.4535
AIF1L|83543	134.8816	AIF1L|83543	1615.2751
AIF1|199	335.0811	AIF1|199	657.9696
AIFM1|9131	1094.0758	AIFM1|9131	710.6262
AIFM2|84883	196.2805	AIFM2|84883	1537.9507
AIFM3|150209	64.4035	AIFM3|150209	22.7704
AIG1|51390	637.5033	AIG1|51390	954.9336
AIM1|202	902.6942	AIM1|202	4072.1063
lowly_expressed	lowly_expressed	AIM2|9447	9.962
AIMP1|9255	1419.4507	AIMP1|9255	914.5161
AIMP2|7965	417.2642	AIMP2|7965	232.4763
AIP|9049	583.2894	AIP|9049	794.592
AJAP1|55966	18.6156	AJAP1|55966	11.3852
AK1|203	454.2864	AK1|203	449.7154
AK2|204	2354.7124	AK2|204	1904.1746
AK3L1|205	321.3644	AK3L1|205	398.482
AK3|50808	1356.0008	AK3|50808	1865.2751
AK5|26289	14.37	AK5|26289	1581.1195
AK7|122481	96.0174	AK7|122481	45.0664
AKAP10|11216	829.2115	AKAP10|11216	524.1935
AKAP11|11215	910.5324	AKAP11|11215	1738.6148
AKAP12|9590	184.8498	AKAP12|9590	3921.2524
AKAP13|11214	1328.8939	AKAP13|11214	3340.1328
AKAP1|8165	1662.3421	AKAP1|8165	2120.019
AKAP2|11217	187.6977	AKAP2|11217	2185.3368
AKAP3|10566	18.9422	AKAP3|10566	29.4118
AKAP5|9495	427.506	AKAP5|9495	84.9146
AKAP6|9472	57.4798	AKAP6|9472	141.8406
AKAP7|9465	61.7255	AKAP7|9465	241.4611
AKAP8L|26993	681.5929	AKAP8L|26993	894.2125
AKAP8|10270	753.4427	AKAP8|10270	739.0892
AKAP9|10142	2017.9984	AKAP9|10142	2495.7306
AKD1|221264	72.5029	AKD1|221264	141.8406
AKIRIN1|79647	1196.625	AKIRIN1|79647	1592.5047
AKIRIN2|55122	251.4741	AKIRIN2|55122	750.9488
AKNAD1|254268	5.2254	lowly_expressed	lowly_expressed
AKNA|80709	284.7863	AKNA|80709	856.7362
AKR1A1|10327	2294.9465	AKR1A1|10327	1670.778
AKR1B10|57016	78.7081	AKR1B10|57016	5.2182
lowly_expressed	lowly_expressed	AKR1B15|441282	71.1575
AKR1B1|231	581.9830000000001	AKR1B1|231	1585.8634
AKR1C1|1645	8.8179	AKR1C1|1645	1831.5939
lowly_expressed	lowly_expressed	AKR1C2|1646	1844.8767
AKR1C3|8644	218.4886	AKR1C3|8644	1822.1063
lowly_expressed	lowly_expressed	AKR1D1|6718	27.0398
lowly_expressed	lowly_expressed	AKR1E2|83592	33.2068
AKR7A2|8574	2537.2761	AKR7A2|8574	1018.0266
AKR7A3|22977	5178.0813	AKR7A3|22977	129.5066
AKR7L|246181	168.8469	AKR7L|246181	18.5009
AKT1S1|84335	804.7173	AKT1S1|84335	666.0342
AKT1|207	3614.0427	AKT1|207	3401.8027
AKT2|208	1869.4	AKT2|208	3188.8046
AKT3|10000	138.4741	AKT3|10000	1137.0968
AKTIP|64400	794.4232	AKTIP|64400	617.1347
ALAD|210	2475.2241	ALAD|210	2047.4383
ALAS1|211	746.9109	ALAS1|211	1335.8634
ALB|213	9.4711	ALB|213	644.6869
ALCAM|214	5856.7349	ALCAM|214	2902.277
ALDH16A1|126133	287.0724	ALDH16A1|126133	478.6528
ALDH18A1|5832	3668.9098	ALDH18A1|5832	1225.3321
ALDH1A1|216	266.1707	ALDH1A1|216	2433.112
lowly_expressed	lowly_expressed	ALDH1A2|8854	359.1082
ALDH1A3|220	45.1543	ALDH1A3|220	2797.6423
ALDH1B1|219	859.5843	ALDH1B1|219	591.0816
lowly_expressed	lowly_expressed	ALDH1L1|10840	1144.6869
ALDH1L2|160428	88.8324	ALDH1L2|160428	174.5731
ALDH2|217	916.7376	ALDH2|217	9181.6888
lowly_expressed	lowly_expressed	ALDH3A1|218	26.0911
ALDH3A2|224	1930.1457	ALDH3A2|224	2583.0171
ALDH3B1|221	145.6591	ALDH3B1|221	341.556
ALDH3B2|222	2053.2701	ALDH3B2|222	3267.0778
ALDH4A1|8659	457.5523	ALDH4A1|8659	1983.3966
ALDH5A1|7915	796.8791	ALDH5A1|7915	522.7704
ALDH6A1|4329	922.8742	ALDH6A1|4329	462.0731
ALDH7A1|501	2426.8888	ALDH7A1|501	1751.8975
lowly_expressed	lowly_expressed	ALDH8A1|64577	6.167000000000001
ALDH9A1|223	4304.4535	ALDH9A1|223	3251.8975
ALDOA|226	49046.2761	ALDOA|226	17738.1404
lowly_expressed	lowly_expressed	ALDOB|229	10.4364
ALDOC|230	13.0636	ALDOC|230	1940.2277
ALG10B|144245	431.4251	ALG10B|144245	302.1822
ALG10|84920	176.6851	ALG10|84920	91.0816
ALG11|440138	6.2052	ALG11|440138	10.9108
ALG12|79087	759.3213	ALG12|79087	367.6471
ALG13|79868	522.2171	ALG13|79868	506.6414
ALG14|199857	309.9337	ALG14|199857	184.5351
lowly_expressed	lowly_expressed	ALG1L|200810	7.0256
ALG1|56052	770.7323	ALG1|56052	367.1347
ALG2|85365	1620.2120000000002	ALG2|85365	691.6509
ALG3|10195	872.6479	ALG3|10195	381.8786
ALG5|29880	528.0957	ALG5|29880	530.3605
ALG6|29929	338.0204	ALG6|29929	252.3719
ALG8|79053	1784.1601	ALG8|79053	544.1176
ALG9|79796	422.2806	ALG9|79796	563.0930000000001
ALKBH1|8846	360.5551	ALKBH1|8846	246.2049
ALKBH2|121642	371.9858	ALKBH2|121642	245.7306
ALKBH3|221120	409.8702	ALKBH3|221120	360.5313
ALKBH4|54784	275.1617	ALKBH4|54784	177.5664
ALKBH5|54890	1805.6823	ALKBH5|54890	1850.5693
ALKBH6|84964	91.4451	ALKBH6|84964	86.8121
ALKBH7|84266	583.2894	ALKBH7|84266	338.2353
ALKBH8|91801	403.9916	ALKBH8|91801	242.4099
lowly_expressed	lowly_expressed	ALK|238	31.3093
ALMS1|7840	1080.0325	ALMS1|7840	750.4744
ALOX12P2|245	36.5781	ALOX12P2|245	45.5408
ALOX15B|247	97.6503	ALOX15B|247	772.7704
lowly_expressed	lowly_expressed	ALOX15|246	26.0911
ALOX5AP|241	350.1043	ALOX5AP|241	461.575
ALOX5|240	174.0724	ALOX5|240	1195.4459
