gene_id	TCGA-E9-A1N6-01A-11R-A144-07	gene_id	TCGA-E9-A1N6-11A-32R-A144-07
ADAM10|102	1625.1781	ADAM10|102	1294.2817
lowly_expressed	lowly_expressed	ADAM11|4185	21.3854
ADAM12|8038	4848.4561	ADAM12|8038	424.9186
ADAM15|8751	5540.6176	ADAM15|8751	2894.9326
ADAM17|6868	685.5107	ADAM17|6868	928.4054
ADAM19|8728	1159.1449	ADAM19|8728	124.5932
ADAM22|53616	12.3515	ADAM22|53616	99.0237
ADAM23|8745	48.4561	ADAM23|8745	35.7973
ADAM28|10863	65.0831	ADAM28|10863	172.013
ADAM29|11086	5.2257	lowly_expressed	lowly_expressed
ADAM32|203102	11.4014	ADAM32|203102	41.841
ADAM33|80332	45.6057	ADAM33|80332	692.4686
ADAM6|8755	1609.7055	ADAM6|8755	104073.7889
ADAM7|8756	6.6508	lowly_expressed	lowly_expressed
ADAM8|101	290.7363	ADAM8|101	116.225
ADAM9|8754	4133.0166	ADAM9|8754	1697.3501
ADAMDEC1|27299	79.81	ADAMDEC1|27299	59.0423
ADAMTS10|81794	108.3135	ADAMTS10|81794	158.5309
ADAMTS12|81792	995.2494	ADAMTS12|81792	152.4872
ADAMTS13|11093	54.1568	ADAMTS13|11093	63.2264
ADAMTS14|140766	557.2447	ADAMTS14|140766	6.0437
ADAMTS15|170689	179.5724	ADAMTS15|170689	241.2831
ADAMTS16|170690	219.4774	ADAMTS16|170690	46.0251
ADAMTS17|170691	97.3872	ADAMTS17|170691	43.7006
lowly_expressed	lowly_expressed	ADAMTS18|170692	132.9614
ADAMTS19|171019	9.9762	lowly_expressed	lowly_expressed
ADAMTS1|9510	863.1829	ADAMTS1|9510	8449.5583
ADAMTS2|9509	1511.639	ADAMTS2|9509	503.0219
ADAMTS3|9508	20.9026	ADAMTS3|9508	112.5058
ADAMTS4|9507	1329.2162	ADAMTS4|9507	1607.6244
ADAMTS5|11096	231.3539	ADAMTS5|11096	1847.0479
ADAMTS6|11174	93.1116	ADAMTS6|11174	18.596
ADAMTS7|11173	535.867	ADAMTS7|11173	53.9284
ADAMTS8|11095	245.6057	ADAMTS8|11095	93.9098
ADAMTS9|56999	361.9952	ADAMTS9|56999	708.0428
ADAMTSL1|92949	120.19	ADAMTSL1|92949	63.6913
ADAMTSL2|9719	288.8361	ADAMTSL2|9719	52.0688
ADAMTSL3|57188	101.1876	ADAMTSL3|57188	231.9851
ADAMTSL4|54507	118.7648	ADAMTSL4|54507	633.6588
ADAMTSL5|339366	78.3848	ADAMTSL5|339366	29.2887
ADAP1|11033	547.6865	ADAP1|11033	96.9549
ADAP2|55803	339.1924	ADAP2|55803	292.887
ADARB1|104	611.4014	ADARB1|104	856.3459
ADAR|103	9966.7458	ADAR|103	6374.2445
ADAT1|23536	325.4157	ADAT1|23536	256.1599
ADAT2|134637	47.0309	ADAT2|134637	168.2938
ADAT3|113179	55.5819	ADAT3|113179	12.0874
ADA|100	133.9667	ADA|100	94.3747
ADCK1|57143	129.6912	ADCK1|57143	151.5574
ADCK2|90956	597.6247	ADCK2|90956	609.9489
ADCK4|79934	558.6698	ADCK4|79934	500.2325
ADCK5|203054	288.361	ADCK5|203054	92.5151
ADCY1|107	263.658	ADCY1|107	417.4802
ADCY2|108	223.753	ADCY2|108	105.0674
ADCY3|109	523.639	ADCY3|109	1518.8099
ADCY4|196883	63.1829	ADCY4|196883	616.4575
ADCY5|111	9.0261	ADCY5|111	414.6908
ADCY6|112	1599.5249	ADCY6|112	3103.2078
ADCY7|113	747.2684	ADCY7|113	627.6151
ADCY9|115	630.8789	ADCY9|115	798.2334
lowly_expressed	lowly_expressed	ADCYAP1R1|117	30.6834
lowly_expressed	lowly_expressed	ADCYAP1|116	59.5072
ADC|113451	180.5226	ADC|113451	154.8117
ADD1|118	5166.7458	ADD1|118	6569.0377
ADD2|119	14.2518	ADD2|119	56.7178
ADD3|120	1632.7791	ADD3|120	2642.9568
lowly_expressed	lowly_expressed	ADH1A|124	222.6127
ADH1B|125	29.4537	ADH1B|125	25676.4296
ADH1C|126	9.5012	ADH1C|126	252.4407
lowly_expressed	lowly_expressed	ADH4|127	53.9284
ADH5|128	2126.8409	ADH5|128	3246.8619
ADHFE1|137872	18.5273	ADHFE1|137872	274.7559
ADI1|55256	800.9501	ADI1|55256	1455.602
ADIPOQ|9370	38.0048	ADIPOQ|9370	23970.2464
ADIPOR1|51094	2900.7126	ADIPOR1|51094	2171.5481
ADIPOR2|79602	2485.0356	ADIPOR2|79602	2929.8001
ADK|132	616.6271	ADK|132	273.3612
ADM2|79924	591.4489	ADM2|79924	71.5946
ADM|133	217.1021	ADM|133	713.1567
ADNP2|22850	907.3634	ADNP2|22850	705.2534
ADNP|23394	3278.8599	ADNP|23394	2589.0284
ADORA1|134	71.2589	ADORA1|134	755.4626
ADORA2A|135	202.3753	ADORA2A|135	81.8224
ADORA2B|136	12.3515	ADORA2B|136	161.7852
ADORA3|140	235.6295	ADORA3|140	235.7043
ADO|84890	832.304	ADO|84890	616.4575
ADPGK|83440	965.829	ADPGK|83440	859.549
ADPRHL1|113622	63.1829	ADPRHL1|113622	85.5416
ADPRHL2|54936	758.6698	ADPRHL2|54936	701.0693
ADPRH|141	202.3753	ADPRH|141	445.8391
lowly_expressed	lowly_expressed	ADRA1A|148	82.7522
ADRA1B|147	7.1259	ADRA1B|147	13.947
ADRA1D|146	5.2257	lowly_expressed	lowly_expressed
ADRA2A|150	358.6698	ADRA2A|150	1227.3361
lowly_expressed	lowly_expressed	ADRA2B|151	25.1046
