gene_id	TCGA-E9-A1RD-01A-11R-A157-07	gene_id	TCGA-E9-A1RD-11A-33R-A157-07
ADAMTS9|56999	260.3718	ADAMTS9|56999	983.2142
ADAMTSL1|92949	73.326	ADAMTSL1|92949	354.3674
ADAMTSL2|9719	199.6527	ADAMTSL2|9719	81.1315
ADAMTSL3|57188	80.2727	ADAMTSL3|57188	270.7491
ADAMTSL4|54507	102.1419	ADAMTSL4|54507	1686.9754
ADAMTSL5|339366	206.8566	ADAMTSL5|339366	28.2872
ADAP1|11033	85.1122	ADAP1|11033	74.3301
ADAP2|55803	409.854	ADAP2|55803	305.5642
ADARB1|104	516.3697	ADARB1|104	1076.4688
ADAR|103	21558.886	ADAR|103	6341.3118
ADAT1|23536	437.1261	ADAT1|23536	342.5552
ADAT2|134637	79.7582	ADAT2|134637	143.3012
ADAT3|113179	22.641	removed	removed
ADA|100	93.1369	ADA|100	249.9223
ADCK1|57143	261.9155	ADCK1|57143	199.8757
ADCK2|90956	966.4167	ADCK2|90956	494.5601
ADCK4|79934	602.56	ADCK4|79934	345.042
ADCK5|203054	68.1804	ADCK5|203054	53.1551
ADCY1|107	12488.583	ADCY1|107	608.3307
ADCY2|108	246.7357	ADCY2|108	94.1871
ADCY3|109	584.7533	ADCY3|109	1494.4078
ADCY4|196883	95.9671	ADCY4|196883	794.2182
ADCY5|111	158.4872	ADCY5|111	742.3065
ADCY6|112	2442.6577	ADCY6|112	4173.1427
ADCY7|113	447.9321	ADCY7|113	927.8831
ADCY9|115	1801.5051	ADCY9|115	713.3976
removed	removed	ADCYAP1R1|117	47.8707
removed	removed	ADCYAP1|116	14.299
ADC|113451	209.944	ADC|113451	95.4305
ADD1|118	5346.8836	ADD1|118	7955.5486
ADD2|119	11.0632	ADD2|119	70.5626
ADD3|120	626.4874	ADD3|120	3836.1828
removed	removed	ADH1A|124	596.4625
ADH1B|125	6.1748	ADH1B|125	64075.2254
removed	removed	ADH1C|126	359.0302
removed	removed	ADH4|127	46.0056
ADH5|128	1776.5485	ADH5|128	5411.2527
ADHFE1|137872	81.0446	ADHFE1|137872	613.3043
ADI1|55256	2248.1508	ADI1|55256	2211.3771
ADIPOQ|9370	5.9175	ADIPOQ|9370	69074.2928
ADIPOR1|51094	5015.7587	ADIPOR1|51094	2338.5141
ADIPOR2|79602	4575.8024	ADIPOR2|79602	5111.2838
ADK|132	418.8589	ADK|132	461.2993
ADM2|79924	107.5449	ADM2|79924	25.1787
ADM|133	23.9274	ADM|133	1160.087
ADNP2|22850	892.2622	ADNP2|22850	533.4162
ADNP|23394	3999.7427	ADNP|23394	2332.2972
ADORA1|134	277.3525	ADORA1|134	189.9285
ADORA2A|135	141.8383	ADORA2A|135	47.5598
ADORA2B|136	64.8357	ADORA2B|136	72.4277
ADORA3|140	287.3866	ADORA3|140	134.2866
ADO|84890	625.201	ADO|84890	663.3509
ADPGK|83440	1058.4859	ADPGK|83440	801.8806
ADPRHL1|113622	76.1562	ADPRHL1|113622	73.6711
ADPRHL2|54936	507.1075	ADPRHL2|54936	441.405
ADPRH|141	169.5504	ADPRH|141	711.5325
removed	removed	ADRA1A|148	169.7233
ADRA1B|147	9.005	ADRA1B|147	39.7886
removed	removed	ADRA1D|146	6.8387
ADRA2A|150	309.2558	ADRA2A|150	1740.1306
removed	removed	ADRA2B|151	30.1523
ADRA2C|152	7.9758	ADRA2C|152	78.9555
removed	removed	ADRB1|153	195.5238
ADRB2|154	20.3255	ADRB2|154	548.337
ADRBK1|156	1105.8082	ADRBK1|156	1255.5176
ADRBK2|157	608.7348	ADRBK2|157	3217.2832
ADRM1|11047	689.2648	ADRM1|11047	870.687
ADSL|158	526.1465	ADSL|158	700.9636
ADSSL1|122622	103.6856	ADSSL1|122622	376.4377
ADSS|159	3331.3179	ADSS|159	1121.231
AEBP1|165	8215.0897	AEBP1|165	9723.6556
AEBP2|121536	487.2966	AEBP2|121536	580.9761
AEN|64782	288.4158	AEN|64782	248.368
AES|166	6654.4028	AES|166	6036.6801
AFAP1L1|134265	242.8764	AFAP1L1|134265	1723.9664
AFAP1L2|84632	456.937	AFAP1L2|84632	548.6478
AFAP1|60312	1001.0806	AFAP1|60312	1271.3522
AFF1|4299	2693.51	AFF1|4299	3721.7905
AFF2|2334	21.8692	AFF2|2334	57.1961
AFF3|3899	5926.0307	AFF3|3899	620.7647
AFF4|27125	5343.2817	AFF4|27125	3042.2754
AFG3L1|172	239.789	AFG3L1|172	186.1983
AFG3L2|10939	1822.4712	AFG3L2|10939	1201.3304
AFMID|125061	880.1698	AFMID|125061	290.3326
AFTPH|54812	2701.7431	AFTPH|54812	1271.9925
AG2|387763	76.928	AG2|387763	226.9195
AGAP11|119385	50.1705	AGAP11|119385	495.5051
AGAP1|116987	573.4868	AGAP1|116987	454.4607
AGAP2|116986	30.0199	AGAP2|116986	81.6506
AGAP3|116988	440.7281	AGAP3|116988	1134.9083
AGAP4|119016	270.6632	AGAP4|119016	202.6733
AGAP5|729092	95.2981	AGAP5|729092	51.0196
AGAP6|414189	128.3849	AGAP6|414189	93.8763
AGAP7|653268	9.5195	AGAP7|653268	6.8387
AGAP8|728404	85.1611	AGAP8|728404	20.2052
AGA|175	619.5407	AGA|175	460.9885
AGBL2|79841	47.3403	AGBL2|79841	6.8387
AGBL3|340351	5.403	removed	removed
AGBL4|84871	17.4953	removed	removed
AGBL5|60509	648.1173	AGBL5|60509	672.9935
AGER|177	29.0731	AGER|177	37.6127
AGFG1|3267	1474.754	AGFG1|3267	2817.8427
AGFG2|3268	333.1833	AGFG2|3268	386.3848
AGGF1|55109	1449.0255	AGGF1|55109	1047.5598
AGK|55750	643.7255	AGK|55750	458.1909
AGL|178	704.4446	AGL|178	1311.1595
AGMAT|79814	30.3596	AGMAT|79814	5.2844
AGPAT1|10554	1803.0951	AGPAT1|10554	1830.2331
AGPAT2|10555	454.6215	AGPAT2|10555	4851.1035
AGPAT3|56894	3858.4936	AGPAT3|56894	2358.0976
AGPAT4|56895	97.2535	AGPAT4|56895	375.5051
AGPAT5|55326	714.2214	AGPAT5|55326	445.7569
AGPAT6|137964	1988.2936	AGPAT6|137964	1658.3774
AGPAT9|84803	20.0682	AGPAT9|84803	165.9932
AGPHD1|123688	35.248	AGPHD1|123688	77.0905
AGPS|8540	2536.8238	AGPS|8540	1829.0333
AGR2|10551	5351.0002	AGR2|10551	501.088
AGR3|155465	6112.8192	AGR3|155465	364.9363
AGRN|375790	2986.8142	AGRN|375790	1355.6108
AGTPBP1|23287	324.4356	AGTPBP1|23287	592.1666
AGTR1|185	3436.29	AGTR1|185	785.5145
AGTRAP|57085	780.858	AGTRAP|57085	397.8862
AGT|183	79.5009	AGT|183	448.5546
AGXT2L1|64850	214.5752	removed	removed
AGXT2L2|85007	449.2005	AGXT2L2|85007	715.3901
removed	removed	AGXT|189	7.7712
AHCTF1|25909	2219.8495	AHCTF1|25909	1675.7849
AHCYL1|10768	7886.7949	AHCYL1|10768	5890.5813
AHCYL2|23382	1012.1567	AHCYL2|23382	810.3823
AHCY|191	2317.8748	AHCY|191	1621.0755
AHDC1|27245	603.0745	AHDC1|27245	511.9677
AHI1|54806	545.1856	AHI1|54806	465.6512
AHNAK2|113146	459.5099	AHNAK2|113146	2643.1458
