gene_id	TCGA-GI-A2C8-01A-11R-A16F-07	gene_id	TCGA-GI-A2C8-11A-22R-A16F-07
AFF3|3899	2296.8541	AFF3|3899	103.4126
AFF4|27125	6677.3762	AFF4|27125	3254.9121
AFG3L1|172	209.17	AFG3L1|172	163.909
AFG3L2|10939	1722.5535	AFG3L2|10939	5490.5067
AFMID|125061	286.4793	AFMID|125061	130.2999
AFTPH|54812	2411.3119	AFTPH|54812	599.2761
AG2|387763	188.0857	AG2|387763	558.9452
AGAP11|119385	71.9545	AGAP11|119385	31.546
AGAP1|116987	871.1513	AGAP1|116987	519.6484
AGAP2|116986	105.1037	AGAP2|116986	193.0145
AGAP3|116988	1703.8153	AGAP3|116988	817.9938
AGAP4|119016	125.1673	AGAP4|119016	113.2368
AGAP5|729092	39.8862	AGAP5|729092	100.243
AGAP6|414189	76.6399	AGAP6|414189	47.0527
AGAP8|728404	18.407	AGAP8|728404	6.2048
AGA|175	360.1071	AGA|175	268.3557
lowly_expressed	lowly_expressed	AGBL1|123624	1740.4343
lowly_expressed	lowly_expressed	AGBL3|340351	8.7901
AGBL5|60509	336.6867	AGBL5|60509	211.4891
AGER|177	27.4431	AGER|177	11.3754
AGFG1|3267	1489.2905	AGFG1|3267	1572.9059
AGFG2|3268	717.5368	AGFG2|3268	270.424
AGGF1|55109	997.6573	AGGF1|55109	971.0445
AGK|55750	746.3186	AGK|55750	331.4374
AGL|178	4251.004	AGL|178	48768.3557
AGMAT|79814	23.0924	AGMAT|79814	498.9659
AGPAT1|10554	1349.7423	AGPAT1|10554	2306.1996
AGPAT2|10555	365.4618	AGPAT2|10555	341.2616
AGPAT3|56894	2353.4137	AGPAT3|56894	3626.1634
AGPAT4|56895	188.0857	AGPAT4|56895	80.1448
AGPAT5|55326	726.573	AGPAT5|55326	1073.423
AGPAT6|137964	2315.5957	AGPAT6|137964	1809.7208
AGPAT9|84803	62.249	AGPAT9|84803	1005.6877
AGPHD1|123688	48.5274	AGPHD1|123688	59.4623
AGPS|8540	1084.672	AGPS|8540	1511.3754
AGR2|10551	2033.4672	lowly_expressed	lowly_expressed
AGR3|155465	2830.656	lowly_expressed	lowly_expressed
AGRN|375790	3566.5997	AGRN|375790	553.7746
AGTPBP1|23287	304.8862	AGTPBP1|23287	846.4323
AGTR1|185	122.49	AGTR1|185	293.6918
AGTRAP|57085	723.8956	AGTRAP|57085	304.0331
AGT|183	208.8353	AGT|183	1630.2999
lowly_expressed	lowly_expressed	AGXT2L1|64850	45.5016
AGXT2L2|85007	528.4672	AGXT2L2|85007	440.8687
AHCTF1|25909	1760.3748	AHCTF1|25909	1688.728
AHCYL1|10768	3943.7751	AHCYL1|10768	3041.8821
AHCYL2|23382	1002.008	AHCYL2|23382	2840.2275
