gene_id	TCGA-BH-A0HA-01A-11R-A12P-07	gene_id	TCGA-BH-A0HA-11A-31R-A12P-07
ADCYAP1|116	10.6691	lowly_expressed	lowly_expressed
ADC|113451	322.8575	lowly_expressed	lowly_expressed
ADD1|118	5495.0713	ADD1|118	5557.5831
ADD2|119	26.4409	ADD2|119	55.9611
ADD3|120	1156.4421	ADD3|120	2008.5158
lowly_expressed	lowly_expressed	ADH1A|124	6.5004
ADH1B|125	240.7515	ADH1B|125	613.9497
ADH1C|126	6.0304	ADH1C|126	25.1419
ADH5|128	1970.5439	ADH5|128	3044.6067
ADHFE1|137872	71.9007	ADHFE1|137872	230.738
ADI1|55256	950.4813	ADI1|55256	1180.8597
ADIPOQ|9370	261.6259	ADIPOQ|9370	257.9075
ADIPOR1|51094	3885.4227	ADIPOR1|51094	2094.485
ADIPOR2|79602	2495.1873	ADIPOR2|79602	1590.4298
ADK|132	445.7845	ADK|132	361.7194
ADM2|79924	483.8223	ADM2|79924	97.3236
ADM|133	79.7866	ADM|133	70.9651
ADNP2|22850	566.3922	ADNP2|22850	875.5069
ADNP|23394	2259.5384	ADNP|23394	3824.412
ADORA1|134	140.0905	ADORA1|134	763.1792
ADORA2A|135	196.6833	ADORA2A|135	62.4493
ADORA2B|136	14.844	ADORA2B|136	53.9335
ADORA3|140	282.0364	ADORA3|140	71.3706
ADO|84890	617.4185	ADO|84890	705.1906
ADPGK|83440	1164.4115	ADPGK|83440	997.1168
ADPRHL1|113622	144.7292	ADPRHL1|113622	72.1817
ADPRHL2|54936	1244.5785	ADPRHL2|54936	649.635
ADPRH|141	412.3855	ADPRH|141	337.794
lowly_expressed	lowly_expressed	ADRA1A|148	6.0827
ADRA1B|147	25.0493	ADRA1B|147	8.9213
ADRA2A|150	970.8918	ADRA2A|150	379.1565
ADRA2B|151	6.4943	ADRA2B|151	32.4412
ADRA2C|152	147.9763	ADRA2C|152	15.4096
ADRB2|154	42.2127	ADRB2|154	193.8362
ADRBK1|156	2382.4655	ADRBK1|156	1436.7397
ADRBK2|157	348.8345	ADRBK2|157	1068.9376
ADRM1|11047	1852.7195	ADRM1|11047	701.1354
ADSL|158	566.8561	ADSL|158	1072.9927
ADSSL1|122622	181.8393	ADSSL1|122622	96.5126
ADSS|159	1159.6892	ADSS|159	1448.9051
AEBP1|165	31052.302	AEBP1|165	2641.5247
AEBP2|121536	501.4496	AEBP2|121536	1218.1671
AEN|64782	489.8527	AEN|64782	379.1565
AES|166	13767.8302	AES|166	4249.3917
AFAP1L1|134265	337.7015	AFAP1L1|134265	206.0016
AFAP1L2|84632	675.8669	AFAP1L2|84632	1502.8386
AFAP1|60312	1079.8979	AFAP1|60312	1823.1509
AFARP1|246182	8.8136	lowly_expressed	lowly_expressed
AFF1|4299	1669.0247	AFF1|4299	2552.3114
AFF2|2334	32.4713	AFF2|2334	83.5361
AFF3|3899	1443.5811	AFF3|3899	1735.1987
AFF4|27125	2161.6607	AFF4|27125	4972.8305
AFG3L1|172	264.873	AFG3L1|172	343.0657
AFG3L2|10939	1159.3599	AFG3L2|10939	1672.2263
AFMID|125061	707.4104	AFMID|125061	686.5369
AFP|174	9.2775	AFP|174	53.9335
AFTPH|54812	2126.4061	AFTPH|54812	2112.7332
AG2|387763	160.0371	AG2|387763	20.2758
AGAP11|119385	8.8136	AGAP11|119385	184.1727
AGAP1|116987	384.5529	AGAP1|116987	523.5199
AGAP2|116986	83.1126	AGAP2|116986	95.5434
AGAP3|116988	1709.8458	AGAP3|116988	1693.0251
AGAP4|119016	116.8967	AGAP4|119016	373.0738
AGAP5|729092	33.5939	AGAP5|729092	129.5783
AGAP6|414189	57.5206	AGAP6|414189	167.0722
AGAP7|653268	6.0304	AGAP7|653268	10.5434
AGAP8|728404	29.688	AGAP8|728404	100.1622
AGA|175	1077.5832	AGA|175	612.7332
AGBL2|79841	27.3687	AGBL2|79841	24.7364
AGBL3|340351	7.422	AGBL3|340351	12.1655
lowly_expressed	lowly_expressed	AGBL4|84871	9.7324
AGBL5|60509	636.4699	AGBL5|60509	974.8783
AGER|177	20.4105	AGER|177	40.146
AGFG1|3267	1164.7918	AGFG1|3267	1678.0211
AGFG2|3268	278.3254	AGFG2|3268	422.9521
AGGF1|55109	863.2726	AGGF1|55109	923.3577
AGK|55750	596.5441	AGK|55750	594.8905
AGL|178	752.8702	AGL|178	1892.944
AGMAT|79814	26.9048	AGMAT|79814	24.3309
AGPAT1|10554	2452.0469	AGPAT1|10554	1558.1711
AGPAT2|10555	3171.9819	AGPAT2|10555	182.4818
AGPAT3|56894	2181.1435	AGPAT3|56894	1244.9311
AGPAT4|56895	154.4706	AGPAT4|56895	316.7072
AGPAT5|55326	552.9398	AGPAT5|55326	755.0689
AGPAT6|137964	1973.3271	AGPAT6|137964	2514.5985
AGPAT9|84803	30.1519	AGPAT9|84803	98.1346
AGPHD1|123688	53.8096	AGPHD1|123688	72.9927
AGPS|8540	718.5434	AGPS|8540	903.8929
AGR2|10551	1550.7364	AGR2|10551	2131.7924
AGR3|155465	1282.6163	AGR3|155465	181.6707
AGRN|375790	7131.6247	AGRN|375790	4615.1663
AGTPBP1|23287	168.3869	AGTPBP1|23287	410.7867
AGTR1|185	1769.6857	AGTR1|185	144.7689
AGTRAP|57085	1999.7681	AGTRAP|57085	357.2587
AGT|183	127.5658	AGT|183	6.4882
AGXT2L2|85007	375.6187	AGXT2L2|85007	449.0268
AHCTF1|25909	1156.9059	AHCTF1|25909	1979.3187
AHCYL1|10768	4403.5718	AHCYL1|10768	3549.8783
AHCYL2|23382	552.0121	AHCYL2|23382	639.4972
AHCY|191	3201.67	AHCY|191	4212.8954
AHDC1|27245	818.2767	AHDC1|27245	2141.9303
AHI1|54806	108.5469	AHI1|54806	619.6269
AHNAK2|113146	1486.7216	AHNAK2|113146	341.8491
AHNAK|79026	21418.5318	AHNAK|79026	62224.6553
AHRR|57491	43.6043	AHRR|57491	58.7997
AHR|196	877.6528	AHR|196	3151.2571
AHSA1|10598	2091.6154	AHSA1|10598	1494.3228
AHSA2|130872	228.2268	AHSA2|130872	748.5807
AIDA|64853	1211.1794	AIDA|64853	633.4509
AIF1L|83543	1052.5339	AIF1L|83543	3298.0535
AIF1|199	584.4834	AIF1|199	184.9148
AIFM1|9131	1246.434	AIFM1|9131	526.764
AIFM2|84883	764.0032	AIFM2|84883	360.9084
AIFM3|150209	41.169	AIFM3|150209	12.571
AIG1|51390	508.4077	AIG1|51390	636.6586
AIM1L|55057	69.1175	lowly_expressed	lowly_expressed
AIM1|202	766.7865	AIM1|202	2381.1841
AIM2|9447	39.8933	lowly_expressed	lowly_expressed
AIMP1|9255	1207.872	AIMP1|9255	1455.7989
AIMP2|7965	356.1869	AIMP2|7965	248.605
AIP|9049	1261.278	AIP|9049	609.0835
AJAP1|55966	12.9885	AJAP1|55966	23.9254
AK1|203	1085.4691	AK1|203	248.1752
AK2|204	4072.3646	AK2|204	2057.1776
AK3L1|205	148.9041	AK3L1|205	658.5564
AK3|50808	1333.6426	AK3|50808	1750.2028
AK5|26289	155.3984	AK5|26289	1384.8337
AK7|122481	7.8859	AK7|122481	25.953
AKAP10|11216	222.6603	AKAP10|11216	756.2855
AKAP11|11215	881.8277	AKAP11|11215	2359.6918
AKAP12|9590	749.1592	AKAP12|9590	437.9562
AKAP13|11214	2591.2096	AKAP13|11214	5355.2311
AKAP1|8165	620.2018	AKAP1|8165	5007.2993
AKAP2|11217	653.3921	AKAP2|11217	1574.6513
AKAP3|10566	30.1519	AKAP3|10566	69.3431
AKAP5|9495	172.5618	AKAP5|9495	127.7372
AKAP6|9472	22.7299	AKAP6|9472	659.3674
AKAP7|9465	87.2086	AKAP7|9465	356.4477
AKAP8L|26993	1321.1179	AKAP8L|26993	904.2985
AKAP8|10270	550.6204	AKAP8|10270	1087.9968
AKAP9|10142	955.5839	AKAP9|10142	3865.7745
AKD1|221264	75.6117	AKD1|221264	187.3479
AKIRIN1|79647	887.3942	AKIRIN1|79647	1029.6026
AKIRIN2|55122	684.2166	AKIRIN2|55122	630.9813
AKNA|80709	719.0073	AKNA|80709	792.7818
AKR1A1|10327	3641.888	AKR1A1|10327	1431.8735
AKR1B15|441282	8.3498	lowly_expressed	lowly_expressed
AKR1B1|231	883.2193	AKR1B1|231	703.5685
AKR1C1|1645	57.0567	AKR1C1|1645	60.0162
AKR1C2|1646	47.7792	AKR1C2|1646	13.7875
AKR1C3|8644	948.6258	AKR1C3|8644	208.4347
AKR1E2|83592	17.6273	AKR1E2|83592	56.7721
AKR7A2|8574	1675.9828	AKR7A2|8574	809.8135
AKR7A3|22977	1786.3852	AKR7A3|22977	59.2052
AKR7L|246181	104.8359	AKR7L|246181	22.3033
AKT1S1|84335	1707.5264	AKT1S1|84335	691.8086
AKT1|207	5131.8567	AKT1|207	2510.5434
AKT2|208	3346.863	AKT2|208	1826.0341
AKT3|10000	531.6015	AKT3|10000	698.2968
AKTIP|64400	730.312	AKTIP|64400	552.2749
ALAD|210	1018.671	ALAD|210	1480.9408
ALAS1|211	506.0884	ALAS1|211	609.4891
ALB|213	20.4105	ALB|213	385.6448
ALCAM|214	6937.7247	ALCAM|214	3454.1768
ALDH16A1|126133	797.4023	ALDH16A1|126133	310.219
ALDH18A1|5832	2942.3634	ALDH18A1|5832	1609.0835
ALDH1A1|216	761.22	ALDH1A1|216	379.9676
ALDH1A2|8854	115.505	ALDH1A2|8854	103.4063
ALDH1A3|220	386.3667	ALDH1A3|220	2526.6991
ALDH1B1|219	989.4468	ALDH1B1|219	446.8775
ALDH1L1|10840	8.3498	ALDH1L1|10840	130.5758
ALDH1L2|160428	638.7568	ALDH1L2|160428	393.3496
ALDH2|217	1091.9634	ALDH2|217	749.7972
lowly_expressed	lowly_expressed	ALDH3A1|218	70.1541
ALDH3A2|224	491.7082	ALDH3A2|224	1967.9643
ALDH3B1|221	168.3869	ALDH3B1|221	104.6229
ALDH3B2|222	1701.0321	ALDH3B2|222	398.2157
ALDH4A1|8659	1308.1294	ALDH4A1|8659	390.9165
ALDH5A1|7915	827.0903	lowly_expressed	lowly_expressed
ALDH6A1|4329	307.7908	ALDH6A1|4329	439.4647
ALDH7A1|501	1894.4683	ALDH7A1|501	5388.0779
lowly_expressed	lowly_expressed	ALDH8A1|64577	16.6261
ALDH9A1|223	2406.587	ALDH9A1|223	3494.7283
ALDOA|226	20602.1106	ALDOA|226	8696.6748
ALDOC|230	433.7238	ALDOC|230	675.5880000000001
ALG10B|144245	281.5725	ALG10B|144245	494.3228
ALG10|84920	70.973	ALG10|84920	111.9221
ALG11|440138	15.7718	ALG11|440138	12.9765
ALG12|79087	666.5894	ALG12|79087	436.3341
ALG13|79868	398.0053	ALG13|79868	607.056
ALG14|199857	269.0479	ALG14|199857	132.1979
ALG1|56052	787.6609	ALG1|56052	397.8629
ALG2|85365	1117.4765	ALG2|85365	718.1671
ALG3|10195	1152.2672	ALG3|10195	568.1265
ALG5|29880	1121.6514	ALG5|29880	495.9448
ALG6|29929	257.45099999999996	ALG6|29929	325.223
ALG8|79053	967.6447	ALG8|79053	607.867
ALG9|79796	595.6164	ALG9|79796	570.5596
ALKBH1|8846	378.5226	ALKBH1|8846	356.4477
ALKBH2|121642	389.6556	ALKBH2|121642	426.1963
ALKBH3|221120	511.6549	ALKBH3|221120	451.3382
ALKBH4|54784	422.6047	ALKBH4|54784	228.6659
